Region code,Region name (en),Region name (fi),Year,Total,6 Bachelor's or equivalent level,7 Master's or equivalent level,8 Doctoral or equivalent level,Bachelor's Percentage,Master's Percentage,Doctoral Percentage,Bachelor's absolute growth (person),Bachelor's relative growth (%),Master's absolute growth (person),Master's relative growth (%),Doctoral absolute growth (person),Doctoral relative growth (%),Bachelor's ratio growth (%),Master's ratio growth (%),Doctoral ratio growth (%)
MK01,Uusimaa,Uusimaa,2018,1206163,181144,206256,23612,15.018202349102069,17.10017634432494,1.9576126941383543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK01,Uusimaa,Uusimaa,2019,1225411,187318,213765,24287,15.286136651294955,17.444351323759946,1.9819472813611108,6174.0,3.295999316670048,7509.0,3.5127359483545013,675.0,2.779264627166797,0.26793430219288616,0.34417497943500663,0.0243345872227565
MK01,Uusimaa,Uusimaa,2020,1239634,192142,221822,24869,15.499897550406008,17.894152628921116,2.0061566559161816,4824.0,2.510643170155406,8057.0,3.6321915770302313,582.0,2.340262978004745,0.2137608991110529,0.44980130516117,0.024209374555070884
MK01,Uusimaa,Uusimaa,2021,1251592,196265,227784,25288,15.681228387525648,18.199541064500252,2.020466733568128,4123.0,2.1007311543066773,5962.0,2.617391915147684,419.0,1.6569123695033217,0.18133083711964026,0.3053884355791361,0.014310077651946251
MK01,Uusimaa,Uusimaa,2022,1268209,200152,233489,25668,15.78225671005331,18.410924382337612,2.023956619137697,3887.0,1.942024061713098,5705.0,2.443369923208374,380.0,1.480442574411719,0.1010283225276627,0.21138331783735964,0.0034898855695693065
MK02,Southwest Finland,Varsinais-Suomi,2018,351801,44012,36427,5106,12.510481778050659,10.354433330206565,1.4513887112316337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK02,Southwest Finland,Varsinais-Suomi,2019,353919,45506,37547,5215,12.857744286121967,10.608924640948917,1.4735009988161134,1494.0,3.283083549422054,1120.0,2.9829280634937545,109.0,2.090124640460211,0.3472625080713083,0.25449131074235254,0.022112287584479695
MK02,Southwest Finland,Varsinais-Suomi,2020,356800,46864,39087,5338,13.134529147982063,10.95487668161435,1.4960762331838564,1358.0,2.897746671218846,1540.0,3.9399288766085907,123.0,2.3042337954289995,0.27678486186009543,0.3459520406654324,0.022575234367743002
MK02,Southwest Finland,Varsinais-Suomi,2021,359218,48258,40537,5442,13.434182028740208,11.284790851237966,1.5149574909943266,1394.0,2.888640225454847,1450.0,3.576979056170906,104.0,1.9110621095185594,0.29965288075814556,0.32991416962361697,0.01888125781047023
MK02,Southwest Finland,Varsinais-Suomi,2022,361563,49536,41981,5548,13.700516922362077,11.610977893202568,1.5344490448414245,1278.0,2.5799418604651163,1444.0,3.439651270812987,106.0,1.910598413842826,0.2663348936218686,0.3261870419646016,0.019491553847097887
MK04,Satakunta,Satakunta,2018,164031,18119,10449,584,11.046082752650413,6.370137352085886,0.3560302625723186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK04,Satakunta,Satakunta,2019,163462,18468,10619,581,11.298038687890763,6.496311069239334,0.3554342905384738,349.0,1.8897552523283518,170.0,1.6009040399284302,-3.0,-0.5163511187607573,0.25195593524034976,0.12617371715344738,-0.000595972033844816
MK04,Satakunta,Satakunta,2020,163246,18893,10878,594,11.573331046396236,6.663562966320767,0.36386802739423935,425.0,2.2495104006774995,259.0,2.380952380952381,13.0,2.1885521885521886,0.27529235850547273,0.1672518970814334,0.008433736855765539
MK04,Satakunta,Satakunta,2021,162941,19365,11159,596,11.88466991119485,6.848491171651089,0.3657765694331077,472.0,2.4373870384714693,281.0,2.5181467873465366,2.0,0.33557046979865773,0.31133886479861417,0.18492820533032184,0.001908542038868366
MK04,Satakunta,Satakunta,2022,162051,19681,11409,597,12.14494202442441,7.04037617786993,0.36840253994112965,316.0,1.605609471063462,250.0,2.191252519940398,1.0,0.16750418760469013,0.26027211322955957,0.19188500621884064,0.0026259705080219353
MK05,Kanta-Häme,Kanta-Häme,2018,127293,13876,9668,752,10.900835081269197,7.595075927191597,0.5907630427439058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK05,Kanta-Häme,Kanta-Häme,2019,127571,14317,9896,767,11.222770065296972,7.757248904531594,0.6012338227340069,441.0,3.0802542432073756,228.0,2.3039611964430073,15.0,1.955671447196871,0.32193498402777543,0.16217297733999736,0.010470779990101153
MK05,Kanta-Häme,Kanta-Häme,2020,127893,14663,10202,793,11.465052817589703,7.97698075735185,0.6200495726896703,346.0,2.3596808292982336,306.0,2.9994118800235245,26.0,3.278688524590164,0.24228275229273066,0.21973185282025565,0.018815749955663374
MK05,Kanta-Häme,Kanta-Häme,2021,128188,15258,10457,811,11.90283021811714,8.157549848659782,0.6326645239804037,595.0,3.899593655787128,255.0,2.4385579037965,18.0,2.219482120838471,0.4377774005274375,0.18056909130793208,0.012614951290733423
MK05,Kanta-Häme,Kanta-Häme,2022,128223,15603,10742,814,12.168643691069466,8.377592163652386,0.6348315044882744,345.0,2.211113247452413,285.0,2.6531372183950848,3.0,0.36855036855036855,0.2658134729523258,0.22004231499260385,0.002166980507870675
MK06,Pirkanmaa,Pirkanmaa,2018,374489,50631,43914,4621,13.520023285063113,11.726379145982927,1.2339481266472445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK06,Pirkanmaa,Pirkanmaa,2019,377931,52735,45385,4747,13.953605287737709,12.00880584021951,1.2560493846760388,2104.0,3.989760121361525,1471.0,3.2411589732290405,126.0,2.6543079839898884,0.433582002674596,0.28242669423658384,0.022101258028794257
MK06,Pirkanmaa,Pirkanmaa,2020,381304,54593,47350,4853,14.317447495961227,12.41791326605543,1.2727377630447096,1858.0,3.4033667319986076,1965.0,4.149947201689546,106.0,2.184215948897589,0.3638422082235184,0.40910742583591997,0.016688378368670875
MK06,Pirkanmaa,Pirkanmaa,2021,385712,56725,49557,5025,14.706568631517817,12.848187248517029,1.3027854979881361,2132.0,3.758483913618334,2207.0,4.453457634642937,172.0,3.422885572139304,0.38912113555658934,0.430273982461598,0.030047734943426496
MK06,Pirkanmaa,Pirkanmaa,2022,390620,58720,51585,5169,15.032512416158927,13.205929035891659,1.3232809379960064,1995.0,3.3974795640326976,2028.0,3.9313753998255305,144.0,2.7858386535113175,0.32594378464110996,0.35774178737463025,0.02049544000787029
MK07,Päijät-Häme,Päijät-Häme,2018,155497,17726,11036,709,11.399576840710754,7.097243033627658,0.4559573496594789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK07,Päijät-Häme,Päijät-Häme,2019,155725,18073,11351,720,11.605715203082356,7.289131481778776,0.4623535077861615,347.0,1.919991147014884,315.0,2.7750858955158137,11.0,1.5277777777777777,0.2061383623716022,0.1918884481511185,0.006396158126682594
MK07,Päijät-Häme,Päijät-Häme,2020,156137,18534,11713,740,11.870344633238759,7.501745262173603,0.4739427554007058,461.0,2.487320599978418,362.0,3.090583112780671,20.0,2.7027027027027026,0.2646294301564023,0.21261378039482715,0.011589247614544274
MK07,Päijät-Häme,Päijät-Häme,2021,156135,18960,12164,771,12.143337496397349,7.79069395074775,0.4938034393313479,426.0,2.2468354430379747,451.0,3.707661953304834,31.0,4.020752269779507,0.2729928631585903,0.2889486885741466,0.01986068393064211
MK07,Päijät-Häme,Päijät-Häme,2022,156202,19475,12473,787,12.467830117412069,7.985173045159473,0.503834778043815,515.0,2.6444159178433893,309.0,2.4773510783291908,16.0,2.0330368487928845,0.3244926210147199,0.19447909441172317,0.010031338712467142
MK08,Kymenlaakso,Kymenlaakso,2018,127758,13331,8069,341,10.434571611953851,6.315847148515162,0.2669108783794361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK08,Kymenlaakso,Kymenlaakso,2019,126836,13611,8176,354,10.73118042196222,6.446119398278091,0.2791005708158567,280.0,2.0571596502828595,107.0,1.3087084148727983,13.0,3.672316384180791,0.2966088100083688,0.13027224976292917,0.012189692436420596
