Region code,Region name (en),Region name (fi),Year,GDP per capita (EUR),Population,GDP (EUR),GDP absolute growth (EUR),GDP relative growth (%),GDP per capita  absolute growth (EUR),GDP per capita  relative growth (%)
MK01,Uusimaa,Uusimaa,2016,52146.9,1629277.0,84961744791.3,,,,
MK01,Uusimaa,Uusimaa,2017,53659.9,1646959.0,88375655244.1,3413910452.800003,3.8629534834797354,1513.0,2.8196101744505673
MK01,Uusimaa,Uusimaa,2018,55083.8,1663324.0,91622206551.20001,3246551307.100006,3.543410958221989,1423.9000000000015,2.5849705358018173
MK01,Uusimaa,Uusimaa,2019,56807.8,1680375.0,95458406925.0,3836200373.799988,4.0187140110289326,1724.0,3.034794517654266
MK01,Uusimaa,Uusimaa,2020,55537.6,1696202.0,94202988195.2,-1255418729.800003,-1.3326739988317817,-1270.2000000000044,-2.287099190458364
MK02,Southwest Finland,Varsinais-Suomi,2016,36350.1,474933.0,17263862043.3,,,,
MK02,Southwest Finland,Varsinais-Suomi,2017,38604.9,476610.0,18399481389.0,1135619345.7000008,6.172018230790585,2254.800000000003,5.840709340006069
MK02,Southwest Finland,Varsinais-Suomi,2018,39727.3,478130.0,18994813949.0,595332560.0,3.134184739047375,1122.4000000000015,2.8252612183561463
MK02,Southwest Finland,Varsinais-Suomi,2019,40628.8,478962.0,19459651305.600002,464837356.6000023,2.3887239771158373,901.5,2.2188693734493756
MK02,Southwest Finland,Varsinais-Suomi,2020,39987.5,480372.0,19208875350.0,-250775955.6000023,-1.3055212813383283,-641.3000000000029,-1.6037511722413327
MK04,Satakunta,Satakunta,2016,35301.8,222349.0,7849319928.200001,,,,
MK04,Satakunta,Satakunta,2017,36473.8,221069.0,8063226492.200001,213906564.0,2.6528656265196506,1172.0,3.213265412433034
MK04,Satakunta,Satakunta,2018,37173.3,219511.0,8159948256.3,96721764.09999943,1.1853232528199436,699.5,1.881726938420856
MK04,Satakunta,Satakunta,2019,36896.9,217688.0,8032012367.200001,-127935889.09999943,-1.5928248519940778,-276.40000000000146,-0.7491144242470273
MK04,Satakunta,Satakunta,2020,37368.1,216084.0,8074648520.4,42636153.199998856,0.5280248804920955,471.1999999999971,1.2609685801525823
MK05,Kanta-Häme,Kanta-Häme,2016,32378.5,174246.0,5641824111.0,,,,
MK05,Kanta-Häme,Kanta-Häme,2017,33354.0,173251.0,5778613854.0,136789743.0,2.367172239849754,975.5,2.9246866942495653
MK05,Kanta-Häme,Kanta-Häme,2018,33499.0,172042.0,5763234958.0,-15378896.0,-0.2668448555728656,145.0,0.4328487417534852
