Region code,Region name (en),Region name (fi),Area (km2),Year,Population,Population Density,Population absolute growth (persons),Population relative growth (%),Population Density absolute growth (persons/km2),Population Density relative growth (%)
MK01,Uusimaa,Uusimaa,9102.75,2017,1655624.0,181.88173903490704,,,,
MK01,Uusimaa,Uusimaa,9102.75,2018,1671024.0,183.57353547005025,15400.0,0.9215905935522171,1.6917964351432033,0.9215905935522049
MK01,Uusimaa,Uusimaa,9102.75,2019,1689725.0,185.62796956963555,18701.0,1.1067481394901537,2.0544340995853076,1.106748139490163
MK01,Uusimaa,Uusimaa,9102.75,2020,1702678.0,187.0509461426492,12953.0,0.7607427828397384,1.422976573013642,0.7607427828397343
MK01,Uusimaa,Uusimaa,9102.75,2021,1714741.0,188.37615006454092,12063.0,0.7034881652681075,1.3252039218917275,0.7034881652681031
MK02,Southwest Finland,Varsinais-Suomi,10667.89,2017,477677.0,44.77708337825006,,,,
MK02,Southwest Finland,Varsinais-Suomi,10667.89,2018,478582.0,44.86191739884832,905.0,0.18910030047097467,0.08483402059825806,0.1891003004709645
MK02,Southwest Finland,Varsinais-Suomi,10667.89,2019,479341.0,44.93306548905173,759.0,0.15834239090751678,0.07114809020340829,0.15834239090752453
MK02,Southwest Finland,Varsinais-Suomi,10667.89,2020,481403.0,45.126355821066774,2062.0,0.42833135647264353,0.19329033201504586,0.4283313564726409
MK02,Southwest Finland,Varsinais-Suomi,10667.89,2021,483477.0,45.32077102407318,2074.0,0.42897593887609964,0.19441520300640747,0.4289759388761046
MK04,Satakunta,Satakunta,7822.97,2017,220398.0,28.173187421145677,,,,
MK04,Satakunta,Satakunta,7822.97,2018,218624.0,27.946419326675162,-1774.0,-0.8114388173302107,-0.22676809447051482,-0.8114388173302123
MK04,Satakunta,Satakunta,7822.97,2019,216752.0,27.707124020672456,-1872.0,-0.8636598508894958,-0.2392953060027061,-0.8636598508894912
MK04,Satakunta,Satakunta,7822.97,2020,215416.0,27.536344892029497,-1336.0,-0.6201953429643109,-0.17077912864295897,-0.620195342964315
MK04,Satakunta,Satakunta,7822.97,2021,214281.0,27.391259329896446,-1135.0,-0.5296783195896977,-0.14508556213305113,-0.5296783195896952
MK05,Kanta-Häme,Kanta-Häme,5199.25,2017,172720.0,33.22017598692119,,,,
MK05,Kanta-Häme,Kanta-Häme,5199.25,2018,171364.0,32.959369139779774,-1356.0,-0.7912980556009429,-0.2608068471414171,-0.7912980556009506
MK05,Kanta-Häme,Kanta-Häme,5199.25,2019,170925.0,32.874933884694904,-439.0,-0.25683779435424897,-0.08443525508486971,-0.25683779435425413
MK05,Kanta-Häme,Kanta-Häme,5199.25,2020,170577.0,32.8080011540126,-348.0,-0.20401343674704095,-0.06693273068230354,-0.20401343674702138
MK05,Kanta-Häme,Kanta-Häme,5199.25,2021,170213.0,32.737991056402365,-364.0,-0.2138497059566543,-0.07001009761023624,-0.21384970595666655
MK06,Pirkanmaa,Pirkanmaa,13249.22,2017,514333.0,38.81987015084662,,,,
MK06,Pirkanmaa,Pirkanmaa,13249.22,2018,517333.0,39.046298574557596,3000.0,0.57989728086165,0.2264284237109777,0.5798972808616423
MK06,Pirkanmaa,Pirkanmaa,13249.22,2019,519872.0,39.237932497158326,2539.0,0.48838944971069803,0.19163392260072953,0.48838944971070525
MK06,Pirkanmaa,Pirkanmaa,13249.22,2020,522852.0,39.46285139804456,2980.0,0.5699509612662856,0.22491890088623734,0.5699509612662768
MK06,Pirkanmaa,Pirkanmaa,13249.22,2021,527478.0,39.8120040274069,4626.0,0.8770034010897136,0.3491526293623366,0.8770034010897244
MK07,Päijät-Häme,Päijät-Häme,5714.65,2017,208048.0,36.40607911245658,,,,
MK07,Päijät-Häme,Päijät-Häme,5714.65,2018,207394.0,36.29163640817898,-654.0,-0.31534181316720833,-0.11444270427760017,-0.31534181316720244
MK07,Päijät-Häme,Päijät-Häme,5714.65,2019,206315.0,36.102823445005384,-1079.0,-0.5229866951021497,-0.18881296317359642,-0.5229866951021461
MK07,Päijät-Häme,Päijät-Häme,5714.65,2020,205771.0,36.00762951361851,-544.0,-0.2643715586744488,-0.09519393138687349,-0.26437155867444706
MK07,Päijät-Häme,Päijät-Häme,5714.65,2021,205124.0,35.894411731252134,-647.0,-0.3154189660888048,-0.1132177823663767,-0.3154189660888119
MK08,Kymenlaakso,Kymenlaakso,4559.38,2017,168691.0,36.998670871916794,,,,
MK08,Kymenlaakso,Kymenlaakso,4559.38,2018,166623.0,36.54510043032167,-2068.0,-1.2411251747957965,-0.45357044159512583,-1.2411251747957872
MK08,Kymenlaakso,Kymenlaakso,4559.38,2019,164456.0,36.06981651013954,-2167.0,-1.3176776767037992,-0.47528392018212884,-1.3176776767037959
MK08,Kymenlaakso,Kymenlaakso,4559.38,2020,162812.0,35.7092411687554,-1644.0,-1.009753580817139,-0.36057534138414127,-1.0097535808171547
MK08,Kymenlaakso,Kymenlaakso,4559.38,2021,161391.0,35.39757598620865,-1421.0,-0.8804704103698472,-0.31166518254674713,-0.8804704103698398
MK09,South Karelia,Etelä-Karjala,5326.37,2017,129865.0,24.381520622863228,,,,
MK09,South Karelia,Etelä-Karjala,5326.37,2018,128756.0,24.173311279539348,-1109.0,-0.8613190841591848,-0.20820934332387964,-0.8613190841591947
MK09,South Karelia,Etelä-Karjala,5326.37,2019,127757.0,23.985753899935602,-999.0,-0.7819532393528339,-0.18755737960374574,-0.7819532393528364
MK09,South Karelia,Etelä-Karjala,5326.37,2020,126921.0,23.8287989756626,-836.0,-0.658677445024858,-0.15695492427300195,-0.6586774450248496
MK09,South Karelia,Etelä-Karjala,5326.37,2021,126107.0,23.675974444133622,-814.0,-0.645483597262642,-0.152824531528978,-0.6454835972626441
MK10,South Savo,Etelä-Savo,12651.95,2017,138822.0,10.972379751737874,,,,
MK10,South Savo,Etelä-Savo,12651.95,2018,136474.0,10.786795711333035,-2348.0,-1.7204742295235724,-0.185584040404839,-1.7204742295235744
MK10,South Savo,Etelä-Savo,12651.95,2019,134314.0,10.616071040432502,-2160.0,-1.6081718957070743,-0.17072467090053323,-1.6081718957070759
MK10,South Savo,Etelä-Savo,12651.95,2020,132702.0,10.488659850853029,-1612.0,-1.2147518500097965,-0.1274111895794725,-1.214751850009802
MK10,South Savo,Etelä-Savo,12651.95,2021,131688.0,10.40851410256917,-1014.0,-0.7700018224895206,-0.08014574828385967,-0.7700018224895043
MK11,North Savo,Pohjois-Savo,17345.53,2017,251570.0,14.503448438877337,,,,
MK11,North Savo,Pohjois-Savo,17345.53,2018,250414.0,14.436803026485787,-1156.0,-0.46163553155973713,-0.06664541239154964,-0.46163553155973547
MK11,North Savo,Pohjois-Savo,17345.53,2019,249003.0,14.355456420184337,-1411.0,-0.5666598394396855,-0.08134660630144985,-0.5666598394396803
MK11,North Savo,Pohjois-Savo,17345.53,2020,248265.0,14.31290943545686,-738.0,-0.29726300525648,-0.04254698472747798,-0.2972630052564844
MK11,North Savo,Pohjois-Savo,17345.53,2021,248363.0,14.318559306057526,98.0,0.0394583734292145,0.005649870600667128,0.039458373429210346
MK12,North Karelia,Pohjois-Karjala,18793.14,2017,166441.0,8.856476352541407,,,,
MK12,North Karelia,Pohjois-Karjala,18793.14,2018,165569.0,8.810076442787102,-872.0,-0.5266686396608061,-0.04639990975430486,-0.5266686396608162
MK12,North Karelia,Pohjois-Karjala,18793.14,2019,164465.0,8.75133160291468,-1104.0,-0.6712674429209862,-0.058744839872421295,-0.6712674429209835
MK12,North Karelia,Pohjois-Karjala,18793.14,2020,163537.0,8.701951882442211,-928.0,-0.5674556828118407,-0.0493797204724693,-0.5674556828118296
MK12,North Karelia,Pohjois-Karjala,18793.14,2021,163281.0,8.688329890587736,-256.0,-0.1567849290486952,-0.013621991854474658,-0.15678492904869634
MK13,Central Finland,Keski-Suomi,16042.57,2017,273779.0,17.06578185415429,,,,
MK13,Central Finland,Keski-Suomi,16042.57,2018,273283.0,17.03486411466492,-496.0,-0.18149683661259575,-0.0309177394893716,-0.18149683661259872
MK13,Central Finland,Keski-Suomi,16042.57,2019,272898.0,17.01086546606934,-385.0,-0.14107835161855345,-0.023998648595579652,-0.14107835161854915
MK13,Central Finland,Keski-Suomi,16042.57,2020,272617.0,16.993349569302175,-281.0,-0.10307500999570827,-0.017515896767164918,-0.10307500999571445
MK13,Central Finland,Keski-Suomi,16042.57,2021,272683.0,16.997463623347134,66.0,0.024203929104491297,0.0041140540449582375,0.024203929104500706
MK14,South Ostrobothnia,Etelä-Pohjanmaa,13798.45,2017,195583.0,14.174273197351877,,,,
MK14,South Ostrobothnia,Etelä-Pohjanmaa,13798.45,2018,194316.0,14.082451289818783,-1267.0,-0.652030712859466,-0.0918219075330935,-0.6520307128594732
MK14,South Ostrobothnia,Etelä-Pohjanmaa,13798.45,2019,193207.0,14.002079943761798,-1109.0,-0.5739957661989472,-0.08037134605698526,-0.5739957661989515
MK14,South Ostrobothnia,Etelä-Pohjanmaa,13798.45,2020,192150.0,13.9254771369248,-1057.0,-0.5500910746812386,-0.07660280683699838,-0.5500910746812284
MK14,South Ostrobothnia,Etelä-Pohjanmaa,13798.45,2021,191762.0,13.897358036591065,-388.0,-0.20233414336521313,-0.028119100333734437,-0.20233414336522249
MK15,Ostrobothnia,Pohjanmaa,7402.91,2017,176272.0,23.81117695608889,,,,
MK15,Ostrobothnia,Pohjanmaa,7402.91,2018,176193.0,23.8005054769003,-79.0,-0.044837195575306625,-0.010671479188587796,-0.04483719557530008
MK15,Ostrobothnia,Pohjanmaa,7402.91,2019,175923.0,23.764033332838032,-270.0,-0.15347623676267458,-0.03647214406226951,-0.15347623676268343
MK15,Ostrobothnia,Pohjanmaa,7402.91,2020,175816.0,23.74957955722817,-107.0,-0.060859079947217544,-0.014453775609862163,-0.06085907994722022
MK15,Ostrobothnia,Pohjanmaa,7402.91,2021,176041.0,23.779973010613393,225.0,0.12781113490607302,0.030393453385222813,0.1278111349060729
MK16,Central Ostrobothnia,Keski-Pohjanmaa,5020.44,2017,68780.0,13.699994422799596,,,,
MK16,Central Ostrobothnia,Keski-Pohjanmaa,5020.44,2018,68437.0,13.631673717841466,-343.0,-0.5011908762803746,-0.06832070495813092,-0.5011908762803728
MK16,Central Ostrobothnia,Keski-Pohjanmaa,5020.44,2019,68158.0,13.576100899522752,-279.0,-0.40934299715367234,-0.05557281831871386,-0.4093429971536779
MK16,Central Ostrobothnia,Keski-Pohjanmaa,5020.44,2020,67988.0,13.542239325636798,-170.0,-0.25004412543390014,-0.03386157388595379,-0.2500441254338969
MK16,Central Ostrobothnia,Keski-Pohjanmaa,5020.44,2021,67915.0,13.52769876743871,-73.0,-0.1074873003018479,-0.014540558198087083,-0.10748730030185424
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,36830.22,2017,411856.0,11.182556064014822,,,,
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,36830.22,2018,412161.0,11.190837306972371,305.0,0.07400020865632605,0.008281242957549395,0.07400020865632481
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,36830.22,2019,412830.0,11.209001738246473,669.0,0.16205217644066564,0.01816443127410139,0.162052176440674
