Region code,Region name (en),Region name (fi),Year,Tax Revenue (EUR),Tax Revenue Absolute Growth (EUR),Tax Revenue Relative Growth (%)
MK01,Uusimaa,Uusimaa,2017,19762159633.25,,
MK01,Uusimaa,Uusimaa,2018,19624382820.26,-137776812.99000168,-0.702069533864588
MK01,Uusimaa,Uusimaa,2019,19952841519.66,328458699.4000015,1.6461750526929386
MK01,Uusimaa,Uusimaa,2020,18203566339.28,-1749275180.380001,-9.609519078716911
MK01,Uusimaa,Uusimaa,2021,25013883791.51,6810317452.23,27.226149721465887
MK02,Southwest Finland,Varsinais-Suomi,2017,2074112286.15,,
MK02,Southwest Finland,Varsinais-Suomi,2018,2184246664.09,110134377.94000006,5.042213397903216
MK02,Southwest Finland,Varsinais-Suomi,2019,1555142258.99,-629104405.1000001,-40.45317407222778
MK02,Southwest Finland,Varsinais-Suomi,2020,1934031419.81,378889160.81999993,19.59064144145198
MK02,Southwest Finland,Varsinais-Suomi,2021,2490696727.08,556665307.27,22.349782742221436
MK04,Satakunta,Satakunta,2017,575411065.34,,
MK04,Satakunta,Satakunta,2018,556024773.11,-19386292.23000002,-3.4865878585889507
MK04,Satakunta,Satakunta,2019,501092076.02,-54932697.09000003,-10.96259544279992
MK04,Satakunta,Satakunta,2020,558455957.3,57363881.27999997,10.271872030399768
MK04,Satakunta,Satakunta,2021,756771428.07,198315470.7700001,26.205464875407035
MK05,Kanta-Häme,Kanta-Häme,2017,402423620.56,,
MK05,Kanta-Häme,Kanta-Häme,2018,398728218.05,-3695402.5099999905,-0.9267973378138469
MK05,Kanta-Häme,Kanta-Häme,2019,402744866.24,4016648.1899999976,0.9973182842773801
MK05,Kanta-Häme,Kanta-Häme,2020,414601366.06,11856499.819999993,2.8597348659686164
MK05,Kanta-Häme,Kanta-Häme,2021,919129497.63,504528131.57,54.89195296973269
MK06,Pirkanmaa,Pirkanmaa,2017,1595312001.84,,
MK06,Pirkanmaa,Pirkanmaa,2018,1792653365.29,197341363.45000005,11.008339217775985
MK06,Pirkanmaa,Pirkanmaa,2019,1712679524.95,-79973840.33999991,-4.669515760243276
MK06,Pirkanmaa,Pirkanmaa,2020,1670971117.44,-41708407.50999999,-2.496057955442047
MK06,Pirkanmaa,Pirkanmaa,2021,2212021296.7599998,541050179.3199997,24.459537533046756
MK07,Päijät-Häme,Päijät-Häme,2017,463883765.29,,
MK07,Päijät-Häme,Päijät-Häme,2018,480216163.41,16332398.120000005,3.401051310731433
MK07,Päijät-Häme,Päijät-Häme,2019,462551952.96,-17664210.450000048,-3.818859770661825
MK07,Päijät-Häme,Päijät-Häme,2020,435772794.87,-26779158.089999974,-6.14521108367693
MK07,Päijät-Häme,Päijät-Häme,2021,619900924.77,184128129.89999998,29.702831943397484
MK08,Kymenlaakso,Kymenlaakso,2017,376749909.90999997,,
MK08,Kymenlaakso,Kymenlaakso,2018,349521865.94,-27228043.96999997,-7.790083145949449
MK08,Kymenlaakso,Kymenlaakso,2019,498093581.25,148571715.31,29.82807265597543
MK08,Kymenlaakso,Kymenlaakso,2020,524460113.09,26366531.839999974,5.02736646351509
MK08,Kymenlaakso,Kymenlaakso,2021,387040967.12,-137419145.96999997,-35.50506474612903
MK09,South Karelia,Etelä-Karjala,2017,174885567.79,,
MK09,South Karelia,Etelä-Karjala,2018,209358388.62,34472820.83000001,16.465937217624738
MK09,South Karelia,Etelä-Karjala,2019,190530991.2,-18827397.420000017,-9.881540688694017
MK09,South Karelia,Etelä-Karjala,2020,218163379.48,27632388.28,12.665915033890087
MK09,South Karelia,Etelä-Karjala,2021,400359438.51,182196059.03,45.50812132919134
MK10,South Savo,Etelä-Savo,2017,202131978.6,,
MK10,South Savo,Etelä-Savo,2018,237889961.71,35757983.110000014,15.031312314720878
MK10,South Savo,Etelä-Savo,2019,226650973.26,-11238988.450000018,-4.9587205774348675
MK10,South Savo,Etelä-Savo,2020,222959210.61,-3691762.649999976,-1.6558018123133753
MK10,South Savo,Etelä-Savo,2021,255590155.71,32630945.099999994,12.766902156053305
MK11,North Savo,Pohjois-Savo,2017,541462687.72,,
MK11,North Savo,Pohjois-Savo,2018,616704636.87,75241949.14999998,12.200645925394722
MK11,North Savo,Pohjois-Savo,2019,609222289.8199999,-7482347.0500000715,-1.2281801199707902
MK11,North Savo,Pohjois-Savo,2020,550612576.21,-58609713.609999895,-10.64445603720583
MK11,North Savo,Pohjois-Savo,2021,819167497.49,268554921.28,32.78388389467056
MK12,North Karelia,Pohjois-Karjala,2017,371810996.27,,
MK12,North Karelia,Pohjois-Karjala,2018,371099473.92,-711522.3499999642,-0.1917335916658699
MK12,North Karelia,Pohjois-Karjala,2019,359086996.19,-12012477.73000002,-3.3452834152880273
MK12,North Karelia,Pohjois-Karjala,2020,454085372.16,94998375.97000003,20.920818373450427
MK12,North Karelia,Pohjois-Karjala,2021,465263202.95,11177830.789999962,2.402474710900617
MK13,Central Finland,Keski-Suomi,2017,500963540.52,,
MK13,Central Finland,Keski-Suomi,2018,527611810.86,26648270.340000033,5.050734231397079
MK13,Central Finland,Keski-Suomi,2019,511400617.87,-16211192.99000001,-3.1699596018323457
MK13,Central Finland,Keski-Suomi,2020,514191796.94,2791179.069999993,0.5428283933369885
MK13,Central Finland,Keski-Suomi,2021,685954948.64,171763151.7,25.040004746746714
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2017,480005212.82,,
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2018,494882572.38,14877359.560000002,3.006240346765796
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2019,546180380.48,51297808.100000024,9.39210010709611
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2020,500490702.34,-45689678.140000045,-9.128976407829756
MK14,South Ostrobothnia,Etelä-Pohjanmaa,2021,693435420.68,192944718.33999997,27.82446823249865
MK15,Ostrobothnia,Pohjanmaa,2017,506997073.87,,
MK15,Ostrobothnia,Pohjanmaa,2018,527943670.29,20946596.420000017,3.9675816945573055
MK15,Ostrobothnia,Pohjanmaa,2019,555651117.58,27707447.29000002,4.986482779099393
MK15,Ostrobothnia,Pohjanmaa,2020,457496565.11,-98154552.47000003,-21.454708068988417
MK15,Ostrobothnia,Pohjanmaa,2021,615915594.34,158419029.23000002,25.720899208560866
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2017,286739566.14,,
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2018,263451582.56,-23287983.579999983,-8.839568680403065
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2019,217306586.56,-46144996.0,-21.234973467893028
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2020,259409876.07,42103289.50999999,16.230411173180894
MK16,Central Ostrobothnia,Keski-Pohjanmaa,2021,238753127.4,-20656748.669999987,-8.651927995645591
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2017,920686549.25,,
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2018,1008004578.28,87318029.02999997,8.662463535532185
MK17,North Ostrobothnia,Pohjois-Pohjanmaa,2019,1004100178.89,-3904399.3899999857,-0.3888456024692847
