Region code,Region name (en),Region name (fi),Year,Working Age Population,Working Age Population absolute growth (persons),Working Age Population relative growth (%)
MK01,Uusimaa,Uusimaa,2017,1078359.0,,
MK01,Uusimaa,Uusimaa,2018,1085345.0,6986.0,0.6436662996558697
MK01,Uusimaa,Uusimaa,2019,1096025.0,10680.0,0.9744303277753701
MK01,Uusimaa,Uusimaa,2020,1102795.0,6770.0,0.6138946948435566
MK01,Uusimaa,Uusimaa,2021,1108121.0,5326.0,0.4806334326305521
MK02,Southwest Finland,Varsinais-Suomi,2017,293018.0,,
MK02,Southwest Finland,Varsinais-Suomi,2018,292438.0,-580.0,-0.1983326380292575
MK02,Southwest Finland,Varsinais-Suomi,2019,291761.0,-677.0,-0.23203923759515496
MK02,Southwest Finland,Varsinais-Suomi,2020,292224.0,463.0,0.15844010074463427
MK02,Southwest Finland,Varsinais-Suomi,2021,292518.0,294.0,0.10050663548909812
MK04,Satakunta,Satakunta,2017,128027.0,,
MK04,Satakunta,Satakunta,2018,125963.0,-2064.0,-1.6385764073577163
MK04,Satakunta,Satakunta,2019,124031.0,-1932.0,-1.5576750973546936
MK04,Satakunta,Satakunta,2020,122634.0,-1397.0,-1.139162059461487
MK04,Satakunta,Satakunta,2021,121402.0,-1232.0,-1.014810299665574
MK05,Kanta-Häme,Kanta-Häme,2017,102201.0,,
MK05,Kanta-Häme,Kanta-Häme,2018,100511.0,-1690.0,-1.68140800509397
MK05,Kanta-Häme,Kanta-Häme,2019,99698.0,-813.0,-0.8154626973459849
MK05,Kanta-Häme,Kanta-Häme,2020,99119.0,-579.0,-0.5841463291598987
MK05,Kanta-Häme,Kanta-Häme,2021,98493.0,-626.0,-0.635578162915131
MK06,Pirkanmaa,Pirkanmaa,2017,317608.0,,
MK06,Pirkanmaa,Pirkanmaa,2018,318590.0,982.0,0.3082331523274428
MK06,Pirkanmaa,Pirkanmaa,2019,319420.0,830.0,0.2598459708221151
MK06,Pirkanmaa,Pirkanmaa,2020,321107.0,1687.0,0.5253700479902338
MK06,Pirkanmaa,Pirkanmaa,2021,324044.0,2937.0,0.9063583957734135
MK07,Päijät-Häme,Päijät-Häme,2017,122107.0,,
MK07,Päijät-Häme,Päijät-Häme,2018,120754.0,-1353.0,-1.1204597777299303
MK07,Päijät-Häme,Päijät-Häme,2019,119166.0,-1588.0,-1.3325948676635953
MK07,Päijät-Häme,Päijät-Häme,2020,118143.0,-1023.0,-0.8658997993956477
MK07,Päijät-Häme,Päijät-Häme,2021,117280.0,-863.0,-0.7358458390177353
MK08,Kymenlaakso,Kymenlaakso,2017,98782.0,,
MK08,Kymenlaakso,Kymenlaakso,2018,96775.0,-2007.0,-2.0738827176440195
MK08,Kymenlaakso,Kymenlaakso,2019,94782.0,-1993.0,-2.1027199257242937
MK08,Kymenlaakso,Kymenlaakso,2020,93283.0,-1499.0,-1.6069380272932903
MK08,Kymenlaakso,Kymenlaakso,2021,91892.0,-1391.0,-1.5137335132546903
MK09,South Karelia,Etelä-Karjala,2017,76809.0,,
