"12bg -- Employment and hours worked by area, annually, 2000-2021*",,,,,,,,,
,,,,,,,,,
Area,Transaction,Industry,Sector,2015 Original series,2016 Original series,2017 Original series,2018 Original series,2019 Original series,2020 Original series
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","A Agriculture, forestry and fishing (01-03)",S1 Total economy,6.463,6.364,5.65,5.649,5.686,5.607
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","01 Crop and animal production, hunting and related service activities",S1 Total economy,5.184,4.814,4.377,4.459,4.448,4.509
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","02, 03 Forestry; Fishing",S1 Total economy,1.278,1.55,1.273,1.19,1.237,1.098
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",B-F Secondary production (05-43),S1 Total economy,147.32,149.507,152.788,156.661,158.854,157.133
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",B Mining and quarrying (05-09),S1 Total economy,0.378,0.357,0.349,0.361,0.486,0.476
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",10-12 Food industry etc.,S1 Total economy,9.975,9.892,9.934,9.669,9.501,9.976
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","13-15 Textile, clothing and leather industry",S1 Total economy,1.556,1.472,1.56,1.555,1.575,1.533
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","16-18 Manufacture of wood products, paper and paper products; printing and reproduction of recorded media",S1 Total economy,7.927,7.061,7.049,7.021,7.094,7.542
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",S1 Total economy,1.331,1.383,1.377,1.417,1.688,1.877
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","17, 18 Paper industry; Printing",S1 Total economy,6.596,5.678,5.672,5.604,5.406,5.665
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",19-22 Chemical industry,S1 Total economy,11.558,11.355,11.512,11.673,11.811,11.936
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",23 Manufacture of other non-metallic mineral products,S1 Total economy,2.768,2.661,2.474,2.5,2.453,2.474
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",24-30 Metal industry,S1 Total economy,36.901,36.5,35.378,36.09,36.362,36.099
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",S1 Total economy,6.684,6.597,6.666,6.741,6.736,6.637
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","26, 27 Manufacture of electrical and electronic products",S1 Total economy,18.693,18.035,16.713,17.308,17.124,16.578
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",28 Manufacture of machinery and equipment n.e.c.,S1 Total economy,10.183,10.458,10.528,10.73,11.178,11.687
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","29, 30 Manufacture of transport equipment",S1 Total economy,1.341,1.411,1.47,1.311,1.323,1.197
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",S1 Total economy,6.868,6.798,6.959,7.049,7.396,7.136
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","05-09, 13-15, 19-23, 31-39 Other industry",S1 Total economy,30.857,31.546,31.868,32.358,33.216,32.846
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",S1 Total economy,7.73,8.903,9.014,9.22,9.496,9.291
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",F Construction (41-43),S1 Total economy,61.66,64.508,68.56,71.523,72.681,70.671
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",G-T Services (45-98),S1 Total economy,708.464,719.827,733.068,757.866,784.482,765.968
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),S1 Total economy,115.077,113.148,112.12,114.734,115.921,110.254
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",H Transportation and storage (49-53),S1 Total economy,55.185,54.295,54.725,55.155,55.828,50.915
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",I Accommodation and food service activities (55-56),S1 Total economy,30.334,31.22,32.385,33.9,35.495,29.395
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",J Information and communication (58-63),S1 Total economy,59.963,60.774,62.757,66.918,69.539,70.262
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)",K Financial and insurance activities (64-66),S1 Total economy,25.627,26.402,26.025,28.767,27.057,25.733
SA1 Helsinki-Uusimaa,"E1 Employment, domestic (1 000 persons)","681, 68209, 683, M, N Real estate activities; Professional, scientific and technical activities;  Office administrative and other",S1 Total economy,149.097,158.359,163.362,171.511,183.747,178.491
