"12bc -- Gross domestic product per capita by area, annually, 2000-2020",,,,,,
,,,,,,
Area,"2015 At current prices, euro","2016 At current prices, euro","2017 At current prices, euro","2018 At current prices, euro","2019 At current prices, euro","2020 At current prices, euro"
SA1 Helsinki-Uusimaa,51175.2,52146.9,53659.9,55083.8,56807.8,55537.6
SA2 Southern Finland,33770.8,34793.9,36602.9,37625,38451.4,38157.4
SA3 Western Finland,34400.2,34986.3,36154.5,37402.1,38175,38176
SA4 Northern and Eastern Finland,31421.5,32761.3,34153.9,35254.3,35932.1,36123.3
MK01 Uusimaa,51175.2,52146.9,53659.9,55083.8,56807.8,55537.6
MK02 Southwest Finland,34551.2,36350.1,38604.9,39727.3,40628.8,39987.5
MK04 Satakunta,36400.8,35301.8,36473.8,37173.3,36896.9,37368.1
MK05 Kanta-Häme,31633.9,32378.5,33354,33499,34987,35862.6
MK06 Pirkanmaa,34778.7,36221.7,37468.7,39011.6,40085.6,40407.7
MK07 Päijät-Häme,30886.5,31909.9,32339.9,33014.9,33193,33090.5
MK08 Kymenlaakso,35041.5,35022.8,37634.9,40207.6,41794.9,41978.3
MK09 South Karelia,36719.2,36659.4,39072.8,39398.2,39108.5,37618.9
MK10 South Savo,29757.6,30823.8,31654.3,32728.3,33316.5,33471.8
MK11 North Savo,31643.4,32467.2,34086.5,35660.8,36419.5,36186.3
MK12 North Karelia,29525,30770.8,31214.4,33680.7,33922,33143.7
MK13 Central Finland,31961.9,33100.3,34174.9,35819.5,36258.9,35557.5
MK14 South Ostrobothnia,30374.2,30495.2,32093.1,32644.1,34298.1,34635.5
MK15 Ostrobothnia,39064,38947.9,39518.2,40695.9,41366.1,40492.6
MK16 Central Ostrobothnia,35489.9,34803.7,37135.7,38207.7,38223,38724.7
MK17 North Ostrobothnia,31046.4,33225.8,34228.2,34788.5,36027.8,36648.3
MK18 Kainuu,26997.4,28797.4,31229.5,33083.7,33825.6,34923.4
MK19 Lapland,35327.4,36349.6,38819.1,38920.5,38863,39058.3
MA2 ÅLAND,47917.5,47022.3,47500.4,43976.8,45606.3,40050
SA5 Åland,47917.5,47022.3,47500.4,43976.8,45606.3,40050
MK21 Åland,47917.5,47022.3,47500.4,43976.8,45606.3,40050
HVA01 East Uusimaa wellbeing services county,37941.9,38805.3,44756.5,48388.2,54391,46333.3
HVA02 Central Uusimaa wellbeing services county,28577.7,29426.5,30538.6,30327.6,31672.4,30621.5
HVA03 West Uusimaa wellbeing services county,41636.8,42051.4,45062.9,44488.1,44988.4,45114.8
HVA04 Vantaa and Kerava wellbeing services county,45453.2,47215.2,47606.3,49998.1,50797.2,48437.8
HVA05 Southwest Finland wellbeing services county,34551.2,36350.1,38604.9,39727.3,40628.8,39987.5
HVA06 Satakunta wellbeing services county,36400.8,35301.8,36473.8,37173.3,36896.9,37368.1
HVA06 Kanta-Häme wellbeing services county,31633.9,32378.5,33354,33499,34987,35862.6
HVA08 Pirkanmaa wellbeing services county,34778.7,36221.7,37468.7,39011.6,40085.6,40407.7
HVA09 Päijät-Häme wellbeing services county,30886.5,31909.9,32339.9,33014.9,33193,33090.5
HVA10 Kymenlaakso wellbeing services county,35041.5,35022.8,37634.9,40207.6,41794.9,41978.3
HVA11 South Karelia wellbeing services county,36719.2,36659.4,39072.8,39398.2,39108.5,37618.9
HVA12 South Savo wellbeing services county,29757.6,30823.8,31654.3,32728.3,33316.5,33471.8
HVA13 North Savo wellbeing services county,31643.4,32467.2,34086.5,35660.8,36419.5,36186.3
HVA14 North Karelia wellbeing services county,29525,30770.8,31214.4,33680.7,33922,33143.7
HVA15 Central Finland wellbeing services county,31961.9,33100.3,34174.9,35819.5,36258.9,35557.5
HVA16 South Ostrobothnia wellbeing services county,30374.2,30495.2,32093.1,32644.1,34298.1,34635.5
HVA17 Ostrobothnia wellbeing services county,39064,38947.9,39518.2,40695.9,41366.1,40492.6
HVA18 Central Ostrobothnia wellbeing services county,35489.9,34803.7,37135.7,38207.7,38223,38724.7
HVA19 North Ostrobothnia wellbeing services county,31046.4,33225.8,34228.2,34788.5,36027.8,36648.3
HVA20 Kainuu wellbeing services county,26997.4,28797.4,31229.5,33083.7,33825.6,34923.4
HVA21 Lapland wellbeing services county,35327.4,36349.6,38819.1,38920.5,38863,39058.3
HVA90 City of Helsinki,69345,70403.4,70677,73275.7,75740.8,74915.2
HVA91 Åland,47917.5,47022.3,47500.4,43976.8,45606.3,40050
SK011 Helsinki,52483.6,53358.5,54560.6,55855.9,57291.3,56407
SK014 Raasepori,26651.3,29019,29687.1,31375.3,32124.1,32370.5
SK015 Porvoo,40128.2,43380.5,52850,56162,65622.9,52550.9
SK016 Loviisa,37634.4,34014.6,35787.6,39805.7,42041,41383.9
SK021 Åboland-Turunmaa,29370.9,30248.4,31702.1,32977.3,33225.6,32290.2
SK022 Salo,24615.8,26526.1,27185.1,27468.1,29376.5,29320.5
SK023 Turku,38071.3,39975.6,42279.5,43248.2,44002.9,43135.2
SK024 Vakka-Suomi,32524.4,33050.9,38758.5,42022.8,42465.3,41300.2
SK025 Loimaa,25222.8,27101.6,28684.7,30137,30946.4,31682
SK041 Rauma,44453.6,41881.7,41217.8,43577.9,41751.5,42193.8
SK043 Pori,33027.5,32417.6,34083.7,34227.9,34496.4,35054.6
SK044 Pohjois-Satakunta,31540.9,32223.4,36347.8,34962.7,36392,36316.1
SK051 Hämeenlinna,33699.1,34783.4,35364.9,34434.4,35181.1,35647.3
SK052 Riihimäki,28626.7,28834.5,30491.6,32269.9,35332.5,37180.6
