"12bf -- Household income and expenditure by area, annually, 2000-2020",,,,,,,,
,,,,,,,,
Sector,Area,Transaction,"2015 At current prices, millions of euro","2016 At current prices, millions of euro","2017 At current prices, millions of euro","2018 At current prices, millions of euro","2019 At current prices, millions of euro","2020 At current prices, millions of euro"
S14 Households,SA1 Helsinki-Uusimaa,"B2N Operating surplus, net",2659,2776,2815,2962,3099,3025
S14 Households,SA1 Helsinki-Uusimaa,"B3N Mixed income, net",2194,2221,2193,2334,2418,2416
S14 Households,SA1 Helsinki-Uusimaa,"D11R Wages and salaries received, income",31315,31930,32972,34581,35853,35812
S14 Households,SA1 Helsinki-Uusimaa,"D12R Employer's social security contributions, income",7240,7461,7053,7110,7194,6766
S14 Households,SA1 Helsinki-Uusimaa,"D4OMR  Property income, (incl. holding gains and losses), income",4613,4413,4665,5246,4844,5249
S14 Households,SA1 Helsinki-Uusimaa,"D4K Property income, expenditure",271,189,160,182,186,153
S14 Households,SA1 Helsinki-Uusimaa,B5N Net national income,47749,48611,49539,52051,53222,53114
S14 Households,SA1 Helsinki-Uusimaa,"D62R Social benefits other than social transfers in kind, income",12201,12494,12682,12965,13322,14117
S14 Households,SA1 Helsinki-Uusimaa,"D7R Other current transfers, income",542,532,608,556,602,577
S14 Households,SA1 Helsinki-Uusimaa,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",11008,11219,11509,11620,11970,12233
S14 Households,SA1 Helsinki-Uusimaa,D61K Employer's social security contributions,10465,10861,10682,10963,11266,10848
S14 Households,SA1 Helsinki-Uusimaa,"D7K Other current transfers, expenditure",1094,1040,1085,1073,1111,1098
S14 Households,SA1 Helsinki-Uusimaa,"B6N Disposable income, net",37927,38517,39553,41915,42799,43629
S14 Households,SA2 Southern Finland,"B2N Operating surplus, net",1928,1987,1978,1998,1957,2132
S14 Households,SA2 Southern Finland,"B3N Mixed income, net",1573,1624,1639,1685,1686,1685
S14 Households,SA2 Southern Finland,"D11R Wages and salaries received, income",16069,16197,16436,17120,17703,17567
S14 Households,SA2 Southern Finland,"D12R Employer's social security contributions, income",3717,3786,3527,3524,3566,3334
S14 Households,SA2 Southern Finland,"D4OMR  Property income, (incl. holding gains and losses), income",2256,2188,2632,2499,2690,2293
S14 Households,SA2 Southern Finland,"D4K Property income, expenditure",190,139,116,130,132,105
S14 Households,SA2 Southern Finland,B5N Net national income,25352,25644,26096,26697,27469,26906
S14 Households,SA2 Southern Finland,"D62R Social benefits other than social transfers in kind, income",9537,9638,9708,9771,9964,10411
S14 Households,SA2 Southern Finland,"D7R Other current transfers, income",478,486,550,499,536,508
S14 Households,SA2 Southern Finland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",5752,5835,5835,5877,6045,6063
S14 Households,SA2 Southern Finland,D61K Employer's social security contributions,5441,5575,5418,5511,5648,5402
S14 Households,SA2 Southern Finland,"D7K Other current transfers, expenditure",886,831,870,861,889,867
S14 Households,SA2 Southern Finland,"B6N Disposable income, net",23289,23526,24231,24717,25389,25492
S14 Households,SA3 Western Finland,"B2N Operating surplus, net",2294,2360,2357,2357,2277,2398
S14 Households,SA3 Western Finland,"B3N Mixed income, net",2074,2128,2235,2129,2270,2273
S14 Households,SA3 Western Finland,"D11R Wages and salaries received, income",18857,19114,19485,20370,21057,20992
S14 Households,SA3 Western Finland,"D12R Employer's social security contributions, income",4368,4475,4187,4197,4245,3988
S14 Households,SA3 Western Finland,"D4OMR  Property income, (incl. holding gains and losses), income",2603,2510,2788,2884,2593,2810
S14 Households,SA3 Western Finland,"D4K Property income, expenditure",239,178,149,168,171,134
S14 Households,SA3 Western Finland,B5N Net national income,29957,30409,30902,31770,32272,32327
S14 Households,SA3 Western Finland,"D62R Social benefits other than social transfers in kind, income",10625,10749,10805,10852,11100,11612
S14 Households,SA3 Western Finland,"D7R Other current transfers, income",572,585,669,609,662,626
S14 Households,SA3 Western Finland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",6596,6735,6711,6821,6971,7121
S14 Households,SA3 Western Finland,D61K Employer's social security contributions,6379,6574,6418,6549,6706,6443
S14 Households,SA3 Western Finland,"D7K Other current transfers, expenditure",1141,1091,1129,1107,1146,1127
S14 Households,SA3 Western Finland,"B6N Disposable income, net",27038,27342,28119,28754,29211,29873
S14 Households,SA4 Northern and Eastern Finland,"B2N Operating surplus, net",2102,2141,2126,2136,2086,2240
S14 Households,SA4 Northern and Eastern Finland,"B3N Mixed income, net",1989,2078,2212,2261,2246,2205
S14 Households,SA4 Northern and Eastern Finland,"D11R Wages and salaries received, income",16230,16450,16750,17498,18081,18014
S14 Households,SA4 Northern and Eastern Finland,"D12R Employer's social security contributions, income",3759,3849,3598,3604,3644,3421
S14 Households,SA4 Northern and Eastern Finland,"D4OMR  Property income, (incl. holding gains and losses), income",2342,2106,2542,2465,2675,2283
S14 Households,SA4 Northern and Eastern Finland,"D4K Property income, expenditure",220,162,137,153,154,121
S14 Households,SA4 Northern and Eastern Finland,B5N Net national income,26201,26463,27092,27812,28578,28043
S14 Households,SA4 Northern and Eastern Finland,"D62R Social benefits other than social transfers in kind, income",10296,10376,10408,10419,10605,11089
S14 Households,SA4 Northern and Eastern Finland,"D7R Other current transfers, income",535,555,629,573,620,589
S14 Households,SA4 Northern and Eastern Finland,"D5K Income, property and other direct taxes excl. capital taxes, expenditure",5830,5884,5868,5951,6093,6195
S14 Households,SA4 Northern and Eastern Finland,D61K Employer's social security contributions,5512,5685,5542,5649,5772,5543
S14 Households,SA4 Northern and Eastern Finland,"D7K Other current transfers, expenditure",1018,965,1002,984,1016,999
S14 Households,SA4 Northern and Eastern Finland,"B6N Disposable income, net",24672,24860,25716,26219,26922,26983
S14 Households,MK01 Uusimaa,"B2N Operating surplus, net",2659,2776,2815,2962,3099,3025
S14 Households,MK01 Uusimaa,"B3N Mixed income, net",2194,2221,2193,2334,2418,2416
S14 Households,MK01 Uusimaa,"D11R Wages and salaries received, income",31315,31930,32972,34581,35853,35812
S14 Households,MK01 Uusimaa,"D12R Employer's social security contributions, income",7240,7461,7053,7110,7194,6766
