"Area","2015 At current prices, euro","2015 Population","2016 At current prices, euro","2016 Population","2017 At current prices, euro","2017 Population","2018 At current prices, euro","2018 Population","2019 At current prices, euro","2019 Population","2020 At current prices, euro","2020 Population"
"MK01 Uusimaa",51175.2,1611825,52146.9,1629277,53659.9,1646959,55083.8,1663324,56807.8,1680375,55537.6,1696202
"MK02 Southwest Finland",34551.2,473524,36350.1,474933,38604.9,476610,39727.3,478130,40628.8,478962,39987.5,480372
"MK04 Satakunta",36400.8,223470,35301.8,222349,36473.8,221069,37173.3,219511,36896.9,217688,37368.1,216084
"MK05 Kanta-Häme",31633.9,175030,32378.5,174246,33354.0,173251,33499.0,172042,34987.0,171145,35862.6,170751
"MK06 Pirkanmaa",34778.7,507102,36221.7,510045,37468.7,512988,39011.6,515833,40085.6,518603,40407.7,521362
"MK07 Päijät-Häme",30886.5,208742,31909.9,208550,32339.9,208311,33014.9,207721,33193.0,206855,33090.5,206043
"MK08 Kymenlaakso",35041.5,172343,35022.8,171274,37634.9,169731,40207.6,167657,41794.9,165540,41978.3,163634
"MK09 South Karelia",36719.2,131460,36659.4,130831,39072.8,130186,39398.2,129311,39108.5,128257,37618.9,127339
"MK10 South Savo",29757.6,142184,30823.8,141022,31654.3,139622,32728.3,137648,33316.5,135394,33471.8,133508
"MK11 North Savo",31643.4,253412,32467.2,253027,34086.5,252193,35660.8,250992,36419.5,249709,36186.3,248634
"MK12 North Karelia",29525.0,168613,30770.8,167964,31214.4,167020,33680.7,166005,33922.0,165017,33143.7,164001
"MK13 Central Finland",31961.9,273216,33100.3,273678,34174.9,273845,35819.5,273531,36258.9,273091,35557.5,272758
"MK14 South Ostrobothnia",30374.2,197807,30495.2,196972,32093.1,196078,32644.1,194950,34298.1,193762,34635.5,192679
"MK15 Ostrobothnia",39064.0,176604,38947.9,176812,39518.2,176501,40695.9,176233,41366.1,176058,40492.6,175870
"MK16 Central Ostrobothnia",35489.9,68932,34803.7,69030,37135.7,68904,38207.7,68609,38223.0,68298,38724.7,68073
"MK17 North Ostrobothnia",31046.4,409295,33225.8,410602,34228.2,411503,34788.5,412009,36027.8,412496,36648.3,413330
"MK18 Kainuu",26997.4,75722,28797.4,75064,31229.5,74381,33083.7,73510,33825.6,72684,34923.4,71985
"MK19 Lapland",35327.4,181303,36349.6,180533,38819.1,179715,38920.5,178873,38863.0,177842,39058.3,176913
"MK21 Åland",47917.5,28950,47022.3,29099,47500.4,29352,43976.8,29639,45606.3,29837,40050.0,30007
