Area,Time,Industry,Direction,Trade value
MK01 Uusimaa,201512,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,107018782.44613889
MK01 Uusimaa,201512,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,54068878.79336503
MK01 Uusimaa,201512,B Mining and quarrying (05-09),Imports by countries of origin,5731471.228458711
MK01 Uusimaa,201512,B Mining and quarrying (05-09),Exports by countries of destination,2895699.3910406204
MK01 Uusimaa,201512,10-12 Food industry etc.,Imports by countries of origin,315653731.0165089
MK01 Uusimaa,201512,10-12 Food industry etc.,Exports by countries of destination,159477083.67542565
MK01 Uusimaa,201512,"13-15 Textile, clothing and leather industry",Imports by countries of origin,24758076.536047056
MK01 Uusimaa,201512,"13-15 Textile, clothing and leather industry",Exports by countries of destination,12508471.959659074
MK01 Uusimaa,201512,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,38616961.883549675
MK01 Uusimaa,201512,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,19510368.028158933
MK01 Uusimaa,201512,"17, 18 Paper industry; Printing",Imports by countries of origin,223480398.63752532
MK01 Uusimaa,201512,"17, 18 Paper industry; Printing",Exports by countries of destination,112908541.00967403
MK01 Uusimaa,201512,19-22 Chemical industry,Imports by countries of origin,825754670.3493341
MK01 Uusimaa,201512,19-22 Chemical industry,Exports by countries of destination,417194329.4780409
MK01 Uusimaa,201512,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,117870994.36231892
MK01 Uusimaa,201512,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,59551719.44361407
MK01 Uusimaa,201512,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,195104918.12941825
MK01 Uusimaa,201512,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,98572455.49993193
MK01 Uusimaa,201512,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,1825426606.9917352
MK01 Uusimaa,201512,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,922256520.8055274
MK01 Uusimaa,201512,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,597153531.0240874
MK01 Uusimaa,201512,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,301698647.20915836
MK01 Uusimaa,201512,"29, 30 Manufacture of transport equipment",Imports by countries of origin,39039775.33482942
MK01 Uusimaa,201512,"29, 30 Manufacture of transport equipment",Exports by countries of destination,19723985.196350455
MK01 Uusimaa,201512,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,209104741.29401413
MK01 Uusimaa,201512,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,105645557.29116231
MK01 Uusimaa,201512,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,976323238.2772863
MK01 Uusimaa,201512,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,493265776.5951325
MK01 Uusimaa,201512,F Construction (41-43),Imports by countries of origin,1937425192.308502
MK01 Uusimaa,201512,F Construction (41-43),Exports by countries of destination,978841335.1353703
MK01 Uusimaa,201512,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,3951050764.3920865
MK01 Uusimaa,201512,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,1996181231.027035
MK01 Uusimaa,201512,H Transportation and storage (49-53),Imports by countries of origin,1734944528.4178708
MK01 Uusimaa,201512,H Transportation and storage (49-53),Exports by countries of destination,876542446.812542
MK01 Uusimaa,201512,I Accommodation and food service activities (55-56),Imports by countries of origin,570469304.3210994
MK01 Uusimaa,201512,I Accommodation and food service activities (55-56),Exports by countries of destination,288217030.3721824
MK01 Uusimaa,201512,J Information and communication (58-63),Imports by countries of origin,3223905586.7356606
MK01 Uusimaa,201512,J Information and communication (58-63),Exports by countries of destination,1628807172.2194388
MK01 Uusimaa,201512,K Financial and insurance activities (64-66),Imports by countries of origin,1657334770.4718559
MK01 Uusimaa,201512,K Financial and insurance activities (64-66),Exports by countries of destination,837331828.8289427
MK01 Uusimaa,201512,"681, 68209, 683 Other real estate activities",Imports by countries of origin,1010946962.0098608
MK01 Uusimaa,201512,"681, 68209, 683 Other real estate activities",Exports by countries of destination,510758649.14592713
MK01 Uusimaa,201512,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,2954714356.0875587
MK01 Uusimaa,201512,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,1492804241.8041701
MK01 Uusimaa,201512,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,2331487328.901221
MK01 Uusimaa,201512,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,1177932535.8898683
MK01 Uusimaa,201512,N Administrative and support service activities (77-82),Imports by countries of origin,1338486448.9345667
MK01 Uusimaa,201512,N Administrative and support service activities (77-82),Exports by countries of destination,676240748.7716255
MK01 Uusimaa,201512,O Public administration and defence; compulsory social security (84),Imports by countries of origin,2028564980.6954684
MK01 Uusimaa,201512,O Public administration and defence; compulsory social security (84),Exports by countries of destination,1024887702.5010982
MK01 Uusimaa,201512,P Education (85),Imports by countries of origin,1685240458.2563188
MK01 Uusimaa,201512,P Education (85),Exports by countries of destination,851430561.9295831
MK01 Uusimaa,201512,Q Human health and social work activities (86-88),Imports by countries of origin,2418352003.503025
MK01 Uusimaa,201512,Q Human health and social work activities (86-88),Exports by countries of destination,1221818996.3327706
MK01 Uusimaa,201512,"R, S Other service activities (90-96)",Imports by countries of origin,1102415605.3033779
MK01 Uusimaa,201512,"R, S Other service activities (90-96)",Exports by countries of destination,556971163.1980262
MK01 Uusimaa,201512,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,27623812.150276408
MK01 Uusimaa,201512,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,13956321.655179381
MK01 Uusimaa,201612,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,110622786.40461014
MK01 Uusimaa,201612,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,50909415.07253189
MK01 Uusimaa,201612,B Mining and quarrying (05-09),Imports by countries of origin,25173624.298794735
MK01 Uusimaa,201612,B Mining and quarrying (05-09),Exports by countries of destination,11585085.948024057
MK01 Uusimaa,201612,10-12 Food industry etc.,Imports by countries of origin,331915412.71719265
MK01 Uusimaa,201612,10-12 Food industry etc.,Exports by countries of destination,152749899.58385363
MK01 Uusimaa,201612,"13-15 Textile, clothing and leather industry",Imports by countries of origin,27432192.460181925
MK01 Uusimaa,201612,"13-15 Textile, clothing and leather industry",Exports by countries of destination,12624495.528407523
MK01 Uusimaa,201612,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,37972177.213322155
MK01 Uusimaa,201612,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,17475073.57019704
MK01 Uusimaa,201612,"17, 18 Paper industry; Printing",Imports by countries of origin,227644849.26648396
MK01 Uusimaa,201612,"17, 18 Paper industry; Printing",Exports by countries of destination,104763823.95615025
MK01 Uusimaa,201612,19-22 Chemical industry,Imports by countries of origin,874018824.9534807
MK01 Uusimaa,201612,19-22 Chemical industry,Exports by countries of destination,402229853.24214363
MK01 Uusimaa,201612,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,134855340.63616022
MK01 Uusimaa,201612,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,62061413.69539617
MK01 Uusimaa,201612,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,188637494.97919267
MK01 Uusimaa,201612,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,86812354.32827745
MK01 Uusimaa,201612,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,1650260469.9202409
MK01 Uusimaa,201612,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,759461933.4001863
MK01 Uusimaa,201612,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,600543863.4121816
MK01 Uusimaa,201612,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,276374676.55071217
MK01 Uusimaa,201612,"29, 30 Manufacture of transport equipment",Imports by countries of origin,32372810.313216403
MK01 Uusimaa,201612,"29, 30 Manufacture of transport equipment",Exports by countries of destination,14898203.985496355
MK01 Uusimaa,201612,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,207929431.35770828
MK01 Uusimaa,201612,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,95690644.4940529
MK01 Uusimaa,201612,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,1053339726.2669513
MK01 Uusimaa,201612,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,484754643.0513393
MK01 Uusimaa,201612,F Construction (41-43),Imports by countries of origin,2218760897.542742
