Time,Area,Industry,Direction,Trade value
201512,MK01 Uusimaa,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,250905438.92875245
201512,MK01 Uusimaa,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,126764437.56835338
201512,MK01 Uusimaa,B Mining and quarrying (05-09),Imports by countries of origin,14674648.911506796
201512,MK01 Uusimaa,B Mining and quarrying (05-09),Exports by countries of destination,7414042.611919787
201512,MK01 Uusimaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,300092688.05806226
201512,MK01 Uusimaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,151615210.02682525
201512,MK01 Uusimaa,F Construction (41-43),Imports by countries of origin,2393753576.4114
201512,MK01 Uusimaa,F Construction (41-43),Exports by countries of destination,1209391183.7327356
201512,MK01 Uusimaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,4467498869.813406
201512,MK01 Uusimaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,2257105242.465326
201512,MK01 Uusimaa,H Transportation and storage (49-53),Imports by countries of origin,2142382275.6124406
201512,MK01 Uusimaa,H Transportation and storage (49-53),Exports by countries of destination,1082391379.7322576
201512,MK01 Uusimaa,I Accommodation and food service activities (55-56),Imports by countries of origin,1177621164.2371616
201512,MK01 Uusimaa,I Accommodation and food service activities (55-56),Exports by countries of destination,594967112.671891
201512,MK01 Uusimaa,J Information and communication (58-63),Imports by countries of origin,2327872943.599688
201512,MK01 Uusimaa,J Information and communication (58-63),Exports by countries of destination,1176106447.4564714
201512,MK01 Uusimaa,K Financial and insurance activities (64-66),Imports by countries of origin,994886845.6486367
201512,MK01 Uusimaa,K Financial and insurance activities (64-66),Exports by countries of destination,502644629.67108035
201512,MK01 Uusimaa,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,2841679764.6150117
201512,MK01 Uusimaa,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,1435696008.2203822
201512,MK01 Uusimaa,N Administrative and support service activities (77-82),Imports by countries of origin,2646600106.4660125
201512,MK01 Uusimaa,N Administrative and support service activities (77-82),Exports by countries of destination,1337136314.768274
201512,MK01 Uusimaa,O Public administration and defence; compulsory social security (84),Imports by countries of origin,2062914004.919704
201512,MK01 Uusimaa,O Public administration and defence; compulsory social security (84),Exports by countries of destination,1042241789.1856974
201512,MK01 Uusimaa,P Education (85),Imports by countries of origin,1992141822.4708233
201512,MK01 Uusimaa,P Education (85),Exports by countries of destination,1006485705.3721266
201512,MK01 Uusimaa,Q Human health and social work activities (86-88),Imports by countries of origin,4419320988.069544
201512,MK01 Uusimaa,Q Human health and social work activities (86-88),Exports by countries of destination,2232764430.609791
201512,MK01 Uusimaa,"R, S Other service activities (90-96)",Imports by countries of origin,1916866308.609946
201512,MK01 Uusimaa,"R, S Other service activities (90-96)",Exports by countries of destination,968454412.7146862
201512,MK01 Uusimaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,92628868.526072
201512,MK01 Uusimaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,46798692.25407569
201512,MK02 Southwest Finland,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,152925147.1904737
201512,MK02 Southwest Finland,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,207124208.3923437
201512,MK02 Southwest Finland,B Mining and quarrying (05-09),Imports by countries of origin,5557959.653468864
201512,MK02 Southwest Finland,B Mining and quarrying (05-09),Exports by countries of destination,7527787.382591026
201512,MK02 Southwest Finland,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,19972901.795652732
201512,MK02 Southwest Finland,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,27051610.21404787
201512,MK02 Southwest Finland,F Construction (41-43),Imports by countries of origin,276532869.7760999
201512,MK02 Southwest Finland,F Construction (41-43),Exports by countries of destination,374540438.89523065
201512,MK02 Southwest Finland,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,392811236.2105143
201512,MK02 Southwest Finland,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,532029674.9257534
201512,MK02 Southwest Finland,H Transportation and storage (49-53),Imports by countries of origin,203418073.04815722
201512,MK02 Southwest Finland,H Transportation and storage (49-53),Exports by countries of destination,275512615.98798794
201512,MK02 Southwest Finland,I Accommodation and food service activities (55-56),Imports by countries of origin,122258861.03229901
201512,MK02 Southwest Finland,I Accommodation and food service activities (55-56),Exports by countries of destination,165589311.34278446
201512,MK02 Southwest Finland,J Information and communication (58-63),Imports by countries of origin,85400812.8040318
201512,MK02 Southwest Finland,J Information and communication (58-63),Exports by countries of destination,115668195.0161282
201512,MK02 Southwest Finland,K Financial and insurance activities (64-66),Imports by countries of origin,54084472.88521747
201512,MK02 Southwest Finland,K Financial and insurance activities (64-66),Exports by countries of destination,73252854.99784483
201512,MK02 Southwest Finland,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,185704108.0707272
201512,MK02 Southwest Finland,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,251520545.09025627
201512,MK02 Southwest Finland,N Administrative and support service activities (77-82),Imports by countries of origin,216289137.50882193
201512,MK02 Southwest Finland,N Administrative and support service activities (77-82),Exports by countries of destination,292945386.768725
201512,MK02 Southwest Finland,O Public administration and defence; compulsory social security (84),Imports by countries of origin,181673774.7547615
201512,MK02 Southwest Finland,O Public administration and defence; compulsory social security (84),Exports by countries of destination,246061798.6841669
201512,MK02 Southwest Finland,P Education (85),Imports by countries of origin,230086528.57839814
201512,MK02 Southwest Finland,P Education (85),Exports by countries of destination,311632788.77989393
201512,MK02 Southwest Finland,Q Human health and social work activities (86-88),Imports by countries of origin,582951961.197607
201512,MK02 Southwest Finland,Q Human health and social work activities (86-88),Exports by countries of destination,789559243.2775518
201512,MK02 Southwest Finland,"R, S Other service activities (90-96)",Imports by countries of origin,146310850.17596543
201512,MK02 Southwest Finland,"R, S Other service activities (90-96)",Exports by countries of destination,198165701.18557605
201512,MK02 Southwest Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,16738884.336470556
201512,MK02 Southwest Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,22671406.444645487
201512,MK04 Satakunta,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,59419603.177724466
201512,MK04 Satakunta,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,164819247.25685295
201512,MK04 Satakunta,B Mining and quarrying (05-09),Imports by countries of origin,3809405.356510796
