Time,Area,Industry,Direction,Trade value
201512,MK01 Uusimaa,10-12 Food industry etc.,Imports by countries of origin,387247679.60920715
201512,MK01 Uusimaa,10-12 Food industry etc.,Exports by countries of destination,195648346.70343882
201512,MK01 Uusimaa,"13-15 Textile, clothing and leather industry",Imports by countries of origin,60406755.836784594
201512,MK01 Uusimaa,"13-15 Textile, clothing and leather industry",Exports by countries of destination,30519180.698802084
201512,MK01 Uusimaa,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,51671845.77041149
201512,MK01 Uusimaa,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,26106060.096468877
201512,MK01 Uusimaa,"17, 18 Paper industry; Printing",Imports by countries of origin,256068741.32354188
201512,MK01 Uusimaa,"17, 18 Paper industry; Printing",Exports by countries of destination,129373082.19106591
201512,MK01 Uusimaa,19-22 Chemical industry,Imports by countries of origin,448702624.6539565
201512,MK01 Uusimaa,19-22 Chemical industry,Exports by countries of destination,226697101.87452087
201512,MK01 Uusimaa,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,107458804.72764765
201512,MK01 Uusimaa,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,54291190.34337029
201512,MK01 Uusimaa,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,259485061.7050567
201512,MK01 Uusimaa,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,131099102.69331178
201512,MK01 Uusimaa,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,725696328.3142766
201512,MK01 Uusimaa,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,366642059.6418428
201512,MK01 Uusimaa,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,395322618.6927876
201512,MK01 Uusimaa,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,199728031.52692905
201512,MK01 Uusimaa,"29, 30 Manufacture of transport equipment",Imports by countries of origin,52060063.99558363
201512,MK01 Uusimaa,"29, 30 Manufacture of transport equipment",Exports by countries of destination,26302198.78990591
201512,MK01 Uusimaa,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,266628277.04822406
201512,MK01 Uusimaa,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,134708054.65255317
201512,MK01 Uusimaa,"681, 68209, 683 Other real estate activities",Imports by countries of origin,299937400.7679934
201512,MK01 Uusimaa,"681, 68209, 683 Other real estate activities",Exports by countries of destination,151536754.54945046
201512,MK01 Uusimaa,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,121512304.47887902
201512,MK01 Uusimaa,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,61391411.04579082
201512,MK01 Uusimaa,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,250905438.92875245
201512,MK01 Uusimaa,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,126764437.56835338
201512,MK01 Uusimaa,B Mining and quarrying (05-09),Imports by countries of origin,14674648.911506796
201512,MK01 Uusimaa,B Mining and quarrying (05-09),Exports by countries of destination,7414042.611919787
201512,MK01 Uusimaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,300092688.05806226
201512,MK01 Uusimaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,151615210.02682525
201512,MK01 Uusimaa,F Construction (41-43),Imports by countries of origin,2393753576.4114
201512,MK01 Uusimaa,F Construction (41-43),Exports by countries of destination,1209391183.7327356
