Year,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
2000,72363.0,17049.0,8321.0,5592.0,18559.0,7500.0,6287.0,4583.0,4967.0,8471.0,5670.0,9788.0,5978.0,7084.0,2140.0,14090.0,2555.0,5839.0,1116.0
2001,77612.0,18030.0,8793.0,5952.0,19866.0,7984.0,6622.0,4870.0,5279.0,9084.0,6020.0,10463.0,6339.0,7529.0,2253.0,15309.0,2689.0,6183.0,1188.0
2002,79252.0,18334.0,8948.0,6110.0,20545.0,8171.0,6714.0,4981.0,5346.0,9236.0,6110.0,10714.0,6358.0,7478.0,2317.0,15893.0,2724.0,6445.0,1185.0
2003,85450.0,19856.0,9613.0,6688.0,22408.0,8763.0,7248.0,5404.0,5783.0,10096.0,6607.0,11821.0,6891.0,8018.0,2536.0,17346.0,2897.0,6994.0,1223.0
2004,91443.0,21507.0,10366.0,7322.0,24248.0,9456.0,7782.0,5774.0,6249.0,10994.0,7093.0,12702.0,7515.0,8604.0,2782.0,18913.0,3120.0,7576.0,1270.0
2005,97371.0,23163.0,11040.0,7934.0,26260.0,10091.0,8303.0,6156.0,6679.0,11781.0,7595.0,13585.0,8239.0,9131.0,3032.0,20371.0,3343.0,8135.0,1349.0
2006,103678.0,25027.0,11697.0,8602.0,28124.0,10791.0,8847.0,6576.0,7095.0,12616.0,8132.0,14649.0,8917.0,9721.0,3215.0,21819.0,3585.0,8596.0,1408.0
2007,109606.0,26520.0,12297.0,9249.0,30117.0,11545.0,9296.0,6930.0,7469.0,13312.0,8509.0,15566.0,9541.0,10316.0,3485.0,23243.0,3833.0,9164.0,1474.0
2008,116626.0,28492.0,12927.0,9817.0,32271.0,12262.0,9754.0,7362.0,7812.0,14129.0,9015.0,16587.0,10196.0,10996.0,3718.0,24759.0,4105.0,9722.0,1527.0
2009,123177.0,30072.0,13555.0,10406.0,34153.0,12938.0,10221.0,7717.0,8233.0,14907.0,9587.0,17490.0,10844.0,11683.0,3933.0,26252.0,4382.0,10289.0,1593.0
2010,129417.0,31555.0,14167.0,10904.0,36109.0,13586.0,10632.0,8063.0,8649.0,15672.0,10205.0,18361.0,11522.0,12330.0,4160.0,27610.0,4635.0,10838.0,1643.0
2011,135908.0,33120.0,14739.0,11392.0,38050.0,14210.0,11024.0,8452.0,9016.0,16411.0,10688.0,19231.0,12094.0,12880.0,4393.0,28743.0,4795.0,11409.0,1675.0
2012,141976.0,34540.0,15369.0,11806.0,39854.0,14755.0,11384.0,8772.0,9429.0,17105.0,11083.0,20034.0,12581.0,13361.0,4554.0,30115.0,4907.0,11842.0,1744.0
2013,148512.0,35963.0,15987.0,12174.0,41696.0,15353.0,11786.0,9144.0,9813.0,18046.0,11569.0,20858.0,13078.0,14006.0,4746.0,31357.0,5064.0,12348.0,1828.0
2014,153989.0,37336.0,16461.0,12559.0,43404.0,15876.0,12137.0,9384.0,10133.0,18806.0,12016.0,21493.0,13579.0,14590.0,4963.0,32576.0,5183.0,12788.0,1880.0
2015,159184.0,38888.0,16888.0,12891.0,44973.0,16217.0,12411.0,9645.0,10393.0,19506.0,12491.0,22122.0,14019.0,15163.0,5195.0,33804.0,5347.0,13237.0,1905.0
2016,165129.0,40264.0,17214.0,13292.0,46425.0,16654.0,12664.0,9862.0,10554.0,20225.0,12843.0,22854.0,14547.0,15575.0,5315.0,34986.0,5470.0,13662.0,1975.0
2017,171661.0,42054.0,17644.0,13549.0,48078.0,17129.0,12931.0,10208.0,10785.0,20894.0,13253.0,23656.0,14969.0,16192.0,5452.0,36140.0,5652.0,14184.0,2624.0
2018,181144.0,44012.0,18119.0,13876.0,50631.0,17726.0,13331.0,10572.0,10930.0,21628.0,13760.0,24538.0,15522.0,16832.0,5618.0,37669.0,5849.0,14733.0,2735.0
2019,187318.0,45506.0,18468.0,14317.0,52735.0,18073.0,13611.0,10764.0,11012.0,22156.0,14122.0,25171.0,15999.0,17278.0,5734.0,38855.0,5944.0,15222.0,2814.0
2020,192142.0,46864.0,18893.0,14663.0,54593.0,18534.0,13965.0,11059.0,11182.0,22836.0,14409.0,25891.0,16481.0,17660.0,5941.0,40052.0,6112.0,15679.0,2862.0
2021,196265.0,48258.0,19365.0,15258.0,56725.0,18960.0,14323.0,11374.0,11480.0,23720.0,14766.0,26568.0,17003.0,17990.0,6162.0,41392.0,6250.0,16229.0,2968.0
2022,200152.0,49536.0,19681.0,15603.0,58720.0,19475.0,14590.0,11555.0,11706.0,24247.0,15015.0,27215.0,17386.0,18354.0,6317.0,42391.0,6308.0,16657.0,3002.0
2023,211519.052631579,51496.94736842107,20445.044412089705,16084.823655385051,59929.94736842107,20115.339802236293,15096.106758297621,12065.26315789474,11969.683368603053,25037.052631578947,15901.368421052633,28409.52631578948,18056.637238592815,19424.105263157893,6422.111957803608,44068.68421052632,6537.284436448391,17182.71729142183,3171.4736842105267
2024,217569.31578947374,52994.684210526335,20963.72193919943,16527.096507408583,61728.684210526335,20662.735685016283,15478.82583114292,12390.578947368425,12257.792954086353,25757.315789473683,16346.210526315792,29219.15789473685,18580.070735602287,19960.631578947367,6604.953969368816,45372.1052631579,6703.08480522784,17674.31683907404,3260.8421052631584
2025,223619.57894736849,54492.4210526316,21483.25214555805,16969.403446258784,63527.4210526316,21210.131567796274,15861.544903988219,12715.89473684211,12550.63443585727,26477.57894736842,16791.05263157895,30028.78947368422,19103.50423261176,20497.15789473684,6788.283436191007,46675.52631578948,6870.734563646134,18165.916386726247,3350.21052631579
