Year,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
2000,11638.0,2576.0,290.0,353.0,2042.0,294.0,155.0,260.0,210.0,863.0,586.0,1169.0,151.0,406.0,88.0,1768.0,87.0,274.0,34.0
2001,12187.0,2690.0,314.0,377.0,2180.0,323.0,164.0,292.0,229.0,920.0,631.0,1222.0,163.0,424.0,94.0,1841.0,95.0,298.0,32.0
2002,12652.0,2834.0,332.0,402.0,2319.0,348.0,181.0,316.0,243.0,987.0,656.0,1273.0,178.0,449.0,100.0,1931.0,97.0,311.0,35.0
2003,13131.0,2987.0,359.0,423.0,2446.0,382.0,184.0,346.0,264.0,1066.0,689.0,1350.0,193.0,468.0,101.0,2007.0,99.0,328.0,37.0
2004,13631.0,3135.0,377.0,436.0,2602.0,397.0,192.0,373.0,287.0,1103.0,730.0,1445.0,206.0,488.0,112.0,2127.0,114.0,341.0,39.0
2005,14205.0,3268.0,409.0,455.0,2713.0,415.0,215.0,402.0,307.0,1157.0,785.0,1514.0,225.0,500.0,121.0,2203.0,114.0,369.0,46.0
2006,14786.0,3389.0,428.0,486.0,2838.0,451.0,222.0,423.0,319.0,1231.0,809.0,1585.0,238.0,513.0,129.0,2307.0,125.0,386.0,53.0
2007,15420.0,3533.0,450.0,520.0,2976.0,463.0,226.0,450.0,336.0,1287.0,847.0,1672.0,255.0,544.0,138.0,2385.0,136.0,409.0,59.0
2008,16103.0,3650.0,471.0,554.0,3115.0,507.0,232.0,473.0,347.0,1362.0,874.0,1734.0,270.0,559.0,136.0,2491.0,145.0,425.0,62.0
2009,16769.0,3795.0,478.0,570.0,3244.0,529.0,251.0,504.0,359.0,1435.0,900.0,1800.0,286.0,576.0,140.0,2583.0,147.0,450.0,58.0
2010,17350.0,3901.0,484.0,600.0,3383.0,557.0,257.0,534.0,376.0,1490.0,912.0,1847.0,284.0,607.0,143.0,2681.0,157.0,473.0,58.0
2011,17905.0,4042.0,512.0,634.0,3536.0,573.0,264.0,551.0,393.0,1566.0,960.0,1929.0,305.0,638.0,149.0,2764.0,159.0,486.0,58.0
2012,18538.0,4128.0,513.0,653.0,3684.0,585.0,262.0,585.0,399.0,1622.0,990.0,2008.0,320.0,664.0,153.0,2870.0,156.0,507.0,62.0
2013,19291.0,4274.0,524.0,671.0,3864.0,607.0,279.0,613.0,409.0,1677.0,1032.0,2114.0,332.0,698.0,158.0,2948.0,158.0,532.0,68.0
2014,19873.0,4432.0,547.0,693.0,4036.0,630.0,290.0,655.0,426.0,1729.0,1043.0,2168.0,346.0,709.0,167.0,3097.0,159.0,549.0,66.0
2015,20521.0,4509.0,543.0,710.0,4164.0,652.0,297.0,671.0,441.0,1767.0,1072.0,2224.0,343.0,725.0,169.0,3191.0,164.0,550.0,65.0
2016,21108.0,4630.0,555.0,712.0,4275.0,674.0,306.0,695.0,458.0,1837.0,1116.0,2309.0,352.0,749.0,178.0,3294.0,169.0,556.0,66.0
2017,21965.0,4851.0,562.0,739.0,4419.0,686.0,315.0,721.0,473.0,1890.0,1141.0,2387.0,365.0,789.0,177.0,3393.0,170.0,590.0,101.0
2018,23612.0,5106.0,584.0,752.0,4621.0,709.0,341.0,753.0,475.0,2004.0,1177.0,2486.0,369.0,842.0,182.0,3559.0,184.0,639.0,107.0
2019,24287.0,5215.0,581.0,767.0,4747.0,720.0,354.0,764.0,469.0,2052.0,1185.0,2510.0,380.0,851.0,178.0,3642.0,182.0,643.0,105.0
2020,24869.0,5338.0,594.0,793.0,4853.0,740.0,352.0,806.0,487.0,2093.0,1203.0,2590.0,394.0,867.0,186.0,3722.0,182.0,658.0,106.0
2021,25288.0,5442.0,596.0,811.0,5025.0,771.0,351.0,826.0,507.0,2135.0,1224.0,2645.0,398.0,884.0,190.0,3803.0,186.0,665.0,109.0
2022,25668.0,5548.0,597.0,814.0,5169.0,787.0,361.0,834.0,509.0,2175.0,1246.0,2709.0,402.0,895.0,198.0,3907.0,181.0,680.0,107.0
2023,26949.947368421053,5770.57894736842,624.1678041665367,854.1578947368421,5316.473684210527,809.6842105263158,395.8947368421052,875.6753862304831,444.9999999999625,2302.315789473685,1311.105263157895,2792.315789473685,428.2105263157896,944.6842105263158,196.9473684210526,4036.8196090058223,202.0,720.6842105263158,119.94736842105266
2024,27615.684210526317,5909.473684210525,631.6431514250296,875.9473684210526,5458.842105263158,832.1052631578948,406.3684210526315,902.8092890870882,438.9999999999531,2364.8947368421063,1342.6315789473688,2862.8947368421063,440.263157894737,968.1052631578948,201.68421052631575,4151.633012197892,207.0,740.1052631578948,123.68421052631582
2025,28281.42105263158,6048.36842105263,640.5467174943999,897.7368421052631,5601.21052631579,854.5263157894738,416.8421052631578,929.3067537519553,432.9999999999437,2427.4736842105276,1374.1578947368425,2933.4736842105276,452.3157894736844,991.5263157894738,206.4210526315789,4235.343863283617,212.0,759.5263157894738,127.42105263157899
