Year,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
2000,50328749763.2,11650413901.3,5445992213.2,3414920159.7,11283230527.800001,4242901999.5,4940176655.7,3541501061.6,2772091125.0,5080635135.2,3350867248.6,5833169101.2,3580526966.3999996,4137045931.4,1316002003.5,8806760459.0,1501668450.0,4276182470.0,807461706.7
2001,53902128104.2,11900822214.8,5987340307.200001,3680940009.6,12460086510.199999,4535222508.8,5148854294.400001,3658742733.0,2920864789.2000003,5411586148.8,3449947621.5,6351645148.0,3761794349.7000003,4314322419.2,1394801617.0,8762492111.7,1633403741.6999998,4277506022.4,958547732.0
2002,54544382622.399994,13313614613.2,6054410110.4,3706067747.2000003,12912360344.4,4488513248.799999,5025746444.4,3620061017.9,2990733275.4,5507423958.400001,3456621760.8999996,6490800388.5,3847413302.5,4123673789.6000004,1348719820.8,9968751124.4,1661363644.4,4341990403.2,978693916.5
2003,55080091591.200005,13131319273.0,6078045760.5,3942689371.0,13331702120.800001,4758925694.0,4991476135.0,3757260261.6000004,3138932266.0,5697148472.4,3653198402.0,6584912907.7,4042508457.0000005,4405934747.2,1447797030.3,10573217891.6,1667913103.5,4412134258.2,992532272.0
2004,57844052809.49999,13877846755.0,6059751585.0,4196693151.0,14009768363.4,4956485945.6,5419570509.2,3773062092.0,3293012455.2000003,5823456043.0,3875069619.3999996,6621031506.0,4220303372.5,4663674565.2,1528516223.0,11109432592.8,1733213706.0,4667261352.0,1024767708.3
2005,60305657749.2,14252338288.5,6386923771.2,4284169800.6,14681702660.4,5155027113.5,5568756177.6,3761961392.0,3419944199.4,6169303126.8,3993392320.8,6808609088.4,4412513419.299999,4938284958.400001,1611367872.3,11431309220.0,1724781240.0,4671364404.8,1050338914.4000001
2006,64226872464.0,15039022590.9,6679960294.5,4436725992.3,15126526067.1,5242539296.7,5566162487.6,3864566019.0,3513433467.2999997,6384520688.8,4228841026.7999997,7127146755.0,4651433734.5,5164630189.400001,1874407455.8000002,11466100800.0,1861555980.6,5296408643.2,1077657626.5
2007,69884343194.40001,16518307460.800001,7069113014.599999,4749089591.099999,16664651938.8,5502047500.0,5597201685.599999,4232406067.0,3891410546.4,6901325090.599999,4364366865.3,7811604290.0,5210793617.4,5724021718.900001,2013643751.5,12610806758.699999,1935471756.6000001,5218317851.8,1101522712.4
2008,73010217894.5,16811877427.199999,7261077809.5,5179493272.5,17417657549.6,5842440670.5,5437234826.2,4227735137.4,3846754343.4,7338446161.200001,4400981943.0,8178835325.6,5371896079.900001,6069638055.8,2177297525.0,13101056565.0,2039986333.0,5393365597.2,1089035350.5
2009,70383697004.4,15423742344.400002,6777585422.3,4635917550.0,15672555985.699999,5418544819.599999,4942226332.400001,3868133395.8,3590228779.6,6689460974.400001,4058369991.0,7678124978.400001,5115385035.0,5903943642.000001,1964907457.8,11622749157.3,1804597912.4,4970418260.8,1154180191.5
2010,73052799970.8,14690816837.1,7199749580.1,4776083352.0,16346267524.300001,5781533988.0,5152360347.900001,4164794471.5,3762162477.5,7018916155.2,4243953087.4,7420596613.2,5334100806.1,6435084074.099999,2086064530.8,12187917638.0,1973924917.8,5282139006.0,1156345493.1999998
2011,74930858203.2,15817326839.999998,7617952236.4,5159221074.9,17740714504.8,6115594980.799999,5565652090.400001,4692731680.0,3935053568.0,7626958349.5,4763115701.599999,7994377852.5,5681643696.0,6587538994.400001,2282245574.1,12548717520.0,2117520804.0,5531890553.5,1199225546.4
2012,75693166584.4,15899405497.5,7830887212.599999,5637710001.0,17587103734.8,6393980969.0,5609399669.5,4667472477.900001,4093517000.7000003,7638781983.0,4750916150.0,8218773487.1,5850998963.200001,6757569941.4,2250500830.5,12813838678.8,2130738261.0,5820354038.7,1306454224.8
2013,78508703586.20001,15993976651.2,7716327406.499999,5596435317.900001,17544261182.1,6262863108.6,5613947527.5,4716386222.4,4138558988.7999997,7694752896.0,4902772953.6,8178207927.3,5944046323.200001,6746389102.6,2256980398.0,12985120240.0,2021828823.6000001,6091376451.299999,1344048264.0
2014,79118217309.59999,16301312633.3,7924804720.0,5522218471.2,17512609342.800003,6407683942.2,5713588858.0,4940518207.2,4304337200.8,7894648760.4,5062497919.6,8377186938.6,6045054576.0,6788319806.2,2392784008.0,12938827258.8,2087754488.4,6129108838.2,1369939120.1999998
2015,82485466740.0,16360822428.8,8134486776.000001,5536881517.0,17636348327.399998,6447309783.0,6039157234.5,4827106032.0,4231054598.3999996,8018817280.8,4978298825.0,8732502470.4,6008229379.400001,6898858656.0,2446389786.8,12707136288.0,2044297122.8000002,6404963602.2,1387211625.0
2016,84961744791.3,17263862043.3,7849319928.200001,5641824111.0,18474696976.5,6654809645.0,5998495047.200001,4796185961.400001,4346833923.599999,8215078214.400001,5168386651.2,9058823903.400002,6006700534.400001,6886456094.8,2402499411.0,13642579931.6,2161648033.6,6562302336.8,1368301907.7
2017,88375655244.1,18399481389.0,8063226492.200001,5778613854.0,19220993475.6,6736756908.900001,6387809211.900001,5086731540.8,4419636674.599999,8596376694.5,5213429088.0,9358625490.5,6292750861.8,6975001818.2,2558798272.7999997,14085006984.599998,2322881439.5,6976374556.5,1394231740.8
2018,91622206551.20001,18994813949.0,8159948256.3,5763234958.0,20123470662.8,6857888042.900001,6741085593.2,5094620640.2,4504985038.4,8950575513.6,5591164603.499999,9797743654.5,6363967295.0,7171960544.7,2621392089.2999997,14333175096.5,2431982787.0,6961826596.5,1303428375.2
2019,95458406925.0,19459651305.600002,8032012367.200001,5987850115.0,20788512416.8,6866138015.0,6918727746.0,5015938884.5,4510854201.0,9094276925.5,5597706674.0,9901979259.9,6645668452.2,7282832833.8,2610554454.0,14861323388.800001,2458579910.4,6911473646.0,1360755173.1000001
2020,94202988195.2,19208875350.0,8074648520.4,6123574812.599999,21067039287.399998,6818065891.5,6869077142.200001,4790353107.1,4468753074.400001,8997144514.2,5435599943.7,9698592585.0,6673533504.5,7121433562.0,2636106503.1,15147841839.000002,2513960949.0,6909921027.900001,1201780350.0
2021,97327868298.42941,19987497268.458817,8679046322.552944,6334777076.188236,21088702404.494118,7323546299.34706,6728428636.888236,5450315182.964707,4807294450.976468,9423610002.570587,5651678932.564705,10188144640.92353,6930921190.129411,7642756144.505881,2851220924.4,15326947343.564705,2516108025.2647057,7611713870.970589,1510291991.1811907
2022,99565921562.01176,20384501238.32352,8833001280.14118,6473817881.735295,21555629636.717648,7470243646.958825,6813583493.135295,5541211093.505884,4904208895.070585,9630418329.588234,5761241393.705881,10395524428.529413,7090463772.211763,7809694726.082352,2924326587.3,15637432433.305882,2564414671.705882,7770548699.588236,1539132288.0384212
2023,101803974825.59412,20781505208.188225,8986956237.729416,6612858687.282354,22022556868.941177,7616940994.57059,6898738349.382354,5632107004.047061,5001123339.164702,9837226656.60588,5870803854.847057,10602904216.135296,7250006354.294116,7976633307.658822,2997432250.2000003,15947917523.047058,2612721318.1470585,7929383528.205883,1567972584.8956516
