Year,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
2000,36287.2,26103.1,23333.2,20665.3,24931.9,20708.7,27364.7,25961.8,17687.5,19502.2,18962.2,22282.8,17779.6,24595.7,19296.5,23723.0,17392.5,22149.5,31368.7
2001,38464.1,26552.6,25814.4,22253.7,27339.8,22123.9,28665.9,26857.1,18777.9,20881.9,19629.3,24194.9,18789.9,25675.6,20553.5,23434.7,19190.1,22450.8,37021.0
2002,38568.2,29577.2,26221.6,22366.4,28123.6,21866.6,28074.6,26617.9,19367.4,21330.4,19777.1,24668.5,19293.5,24552.4,19956.2,26504.6,19781.2,23030.4,37450.5
2003,38655.3,29070.5,26403.9,23713.0,28836.4,23145.4,27957.5,27698.4,20460.4,22133.1,21006.5,24961.1,20303.4,26228.3,21458.7,27973.4,20068.5,23550.6,37736.0
2004,40319.7,30629.0,26386.9,25109.0,30065.3,24073.7,30400.4,27905.2,21583.9,22667.3,22360.6,24995.4,21198.5,27726.3,22676.6,29208.6,21014.0,25001.4,38759.7
2005,41712.6,31346.9,27886.6,25500.1,31237.2,25008.5,31273.2,27892.0,22531.8,24078.9,23106.7,25613.8,22173.1,29312.2,23875.3,29823.4,21059.6,25098.4,39415.3
2006,43998.0,32930.7,29251.5,26226.9,31905.3,25404.7,31365.2,28708.5,23278.1,24999.2,24558.3,26739.0,23404.5,30582.2,27718.9,29700.0,22936.3,28572.4,40143.7
2007,47360.4,36025.9,31060.6,27821.1,34832.1,26596.0,31680.6,31545.1,25985.7,27092.6,25473.9,29207.5,26220.6,33755.9,29715.1,32445.3,24049.7,28258.6,40739.8
2008,48914.3,36531.2,32023.1,30070.5,36088.6,28142.1,30891.8,31603.8,25910.7,28876.4,25805.4,30455.2,27039.7,35602.6,32045.0,33477.0,25514.5,29283.6,39884.1
2009,46623.7,33381.4,29957.9,26730.0,32217.1,26034.8,28155.7,28990.2,24351.1,26362.2,23863.5,28474.2,25771.5,34417.3,28869.8,29493.3,22710.2,27034.3,41825.7
2010,47905.8,31657.9,31865.9,27418.5,33358.3,27722.0,29363.7,31301.3,25667.5,27691.2,24985.3,27418.8,26875.7,37297.7,30575.8,30706.0,24996.2,28767.0,41489.2
2011,48634.8,33928.2,33777.7,29499.3,35949.2,29260.1,31785.2,35360.0,26996.8,30097.9,28058.6,29447.5,28612.8,37951.9,33364.7,31390.0,27028.5,30161.5,42554.4
2012,48585.2,33967.5,34785.7,32151.0,35377.7,30539.0,32118.5,35241.9,28255.9,30133.5,28010.0,30182.9,29430.4,38731.1,32831.5,31830.8,27419.1,31790.1,45956.6
2013,49810.3,34036.4,34333.7,31892.7,35033.1,29900.9,32233.5,35648.1,28736.8,30344.0,28958.4,29976.9,29886.4,38516.9,32879.5,32046.2,26220.4,33344.7,47021.0
2014,49621.6,34551.1,35336.0,31480.7,34735.8,30632.1,32953.0,37425.9,30059.9,31128.6,29954.9,30691.4,30448.0,38587.1,34801.6,31751.1,27308.4,33652.2,47582.2
2015,51175.2,34551.2,36400.8,31633.9,34778.7,30886.5,35041.5,36719.2,29757.6,31643.4,29525.0,31961.9,30374.2,39064.0,35489.9,31046.4,26997.4,35327.4,47917.5
2016,52146.9,36350.1,35301.8,32378.5,36221.7,31909.9,35022.8,36659.4,30823.8,32467.2,30770.8,33100.3,30495.2,38947.9,34803.7,33225.8,28797.4,36349.6,47022.3
2017,53659.9,38604.9,36473.8,33354.0,37468.7,32339.9,37634.9,39072.8,31654.3,34086.5,31214.4,34174.9,32093.1,39518.2,37135.7,34228.2,31229.5,38819.1,47500.4
2018,55083.8,39727.3,37173.3,33499.0,39011.6,33014.9,40207.6,39398.2,32728.3,35660.8,33680.7,35819.5,32644.1,40695.9,38207.7,34788.5,33083.7,38920.5,43976.8
2019,56807.8,40628.8,36896.9,34987.0,40085.6,33193.0,41794.9,39108.5,33316.5,36419.5,33922.0,36258.9,34298.1,41366.1,38223.0,36027.8,33825.6,38863.0,45606.3
2020,55537.6,39987.5,37368.1,35862.6,40407.7,33090.5,41978.3,37618.9,33471.8,36186.3,33143.7,35557.5,34635.5,40492.6,38724.7,36648.3,34923.4,39058.3,40050.0
2021,57747.59411764707,41546.50000000001,39565.70588235294,36339.57647058825,40418.53529411765,35076.65294117647,40051.41764705882,42157.741176470605,34940.60588235293,37518.100000000006,34097.2705882353,36973.041176470586,35460.98235294117,43029.37647058822,41333.15882352942,36700.011764705865,34485.26470588235,42741.35882352941,50414.87676049665
2022,58769.51764705884,42281.90000000001,40338.68235294117,37085.97058823531,41155.99411764707,35760.84117647059,40655.547058823526,42928.976470588255,35762.18235294116,38376.00000000001,34817.98823529412,37672.57647058823,36302.95294117647,43907.170588235276,42382.523529411774,37317.96470588233,35299.20588235294,43721.92352941176,51128.11672949153
2023,59791.44117647061,43017.30000000001,41111.658823529404,37832.36470588237,41893.45294117648,36445.029411764706,41259.67647058823,43700.211764705906,36583.758823529395,39233.90000000001,35538.705882352944,38372.11176470588,37144.92352941176,44784.96470588233,43431.88823529413,37935.9176470588,36113.147058823524,44702.48823529411,51841.35669848641
