Year,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
2000,105795.0,19069.0,6006.0,5324.0,19490.0,5565.0,4861.0,3864.0,4132.0,7686.0,4844.0,9797.0,4262.0,5788.0,1543.0,13052.0,2077.0,4978.0,746.0
2001,110051.0,19836.0,6133.0,5466.0,20516.0,5760.0,4964.0,4019.0,4273.0,7975.0,5023.0,10278.0,4373.0,5971.0,1617.0,13757.0,2135.0,5049.0,778.0
2002,114036.0,20783.0,6306.0,5646.0,21744.0,6018.0,5087.0,4214.0,4391.0,8289.0,5249.0,10743.0,4524.0,6234.0,1677.0,14501.0,2171.0,5223.0,798.0
2003,117990.0,21679.0,6566.0,5908.0,23079.0,6296.0,5259.0,4404.0,4542.0,8601.0,5437.0,11300.0,4712.0,6527.0,1760.0,15233.0,2240.0,5380.0,796.0
2004,121904.0,22486.0,6788.0,6192.0,24247.0,6588.0,5430.0,4648.0,4626.0,8969.0,5653.0,11911.0,4924.0,6839.0,1829.0,16078.0,2344.0,5633.0,827.0
2005,125888.0,23284.0,6966.0,6445.0,25483.0,6853.0,5603.0,4867.0,4795.0,9284.0,5892.0,12329.0,5101.0,7133.0,1923.0,16933.0,2413.0,5817.0,861.0
2006,130719.0,24129.0,7207.0,6690.0,26876.0,7147.0,5785.0,5021.0,4935.0,9649.0,6068.0,12728.0,5341.0,7527.0,2000.0,17730.0,2525.0,6057.0,897.0
2007,135895.0,24997.0,7443.0,6998.0,28186.0,7461.0,5978.0,5179.0,5045.0,10021.0,6275.0,13234.0,5568.0,7925.0,2087.0,18558.0,2608.0,6281.0,932.0
2008,144450.0,26556.0,7759.0,7416.0,30227.0,7884.0,6256.0,5446.0,5285.0,10655.0,6759.0,14054.0,5914.0,8569.0,2209.0,19908.0,2760.0,6635.0,986.0
2009,148562.0,27169.0,7963.0,7667.0,31307.0,8087.0,6442.0,5676.0,5395.0,10917.0,6858.0,14414.0,6138.0,8909.0,2303.0,20600.0,2787.0,6828.0,1018.0
2010,154226.0,28051.0,8281.0,7920.0,32920.0,8422.0,6618.0,5961.0,5572.0,11256.0,7116.0,14916.0,6386.0,9248.0,2410.0,21431.0,2822.0,7099.0,1044.0
2011,159167.0,28867.0,8552.0,8184.0,33853.0,8778.0,6792.0,6117.0,5730.0,11608.0,7313.0,15428.0,6677.0,9626.0,2499.0,22157.0,2904.0,7427.0,1065.0
2012,164816.0,29798.0,8820.0,8445.0,35268.0,9091.0,6930.0,6317.0,5908.0,11958.0,7623.0,15940.0,6950.0,9992.0,2628.0,22884.0,3009.0,7720.0,1082.0
2013,171966.0,31024.0,9154.0,8751.0,36972.0,9465.0,7159.0,6564.0,6101.0,12451.0,7927.0,16459.0,7191.0,10470.0,2721.0,23942.0,3084.0,8039.0,1130.0
2014,177548.0,31968.0,9401.0,8929.0,38339.0,9764.0,7342.0,6774.0,6320.0,12830.0,8235.0,16956.0,7410.0,10836.0,2830.0,24761.0,3162.0,8334.0,1168.0
2015,182202.0,32824.0,9632.0,9082.0,39549.0,10041.0,7451.0,6899.0,6402.0,13128.0,8434.0,17400.0,7609.0,11082.0,2903.0,25358.0,3199.0,8564.0,1155.0
2016,188527.0,33765.0,9821.0,9229.0,40796.0,10315.0,7655.0,7079.0,6538.0,13476.0,8649.0,17854.0,7821.0,11361.0,2989.0,26056.0,3284.0,8822.0,1191.0
2017,196236.0,34864.0,10012.0,9406.0,42123.0,10610.0,7768.0,7234.0,6728.0,13902.0,8837.0,18388.0,8104.0,11906.0,3116.0,26949.0,3335.0,9178.0,1693.0
2018,206256.0,36427.0,10449.0,9668.0,43914.0,11036.0,8069.0,7573.0,6872.0,14388.0,9219.0,19028.0,8367.0,12455.0,3196.0,27966.0,3426.0,9572.0,1762.0
2019,213765.0,37547.0,10619.0,9896.0,45385.0,11351.0,8176.0,7738.0,6966.0,14802.0,9509.0,19560.0,8581.0,12758.0,3315.0,28855.0,3508.0,9815.0,1845.0
2020,221822.0,39087.0,10878.0,10202.0,47350.0,11713.0,8314.0,7933.0,7083.0,15310.0,9805.0,20268.0,8856.0,13105.0,3417.0,29968.0,3586.0,10199.0,1875.0
2021,227784.0,40537.0,11159.0,10457.0,49557.0,12164.0,8534.0,8118.0,7285.0,15952.0,10164.0,20946.0,9100.0,13496.0,3546.0,31095.0,3674.0,10599.0,1942.0
2022,233489.0,41981.0,11409.0,10742.0,51585.0,12473.0,8683.0,8286.0,7470.0,16486.0,10468.0,21631.0,9420.0,13769.0,3650.0,32213.0,3781.0,10929.0,1958.0
2023,243801.0,41437.10526315789,11590.15789473684,10828.114728503147,50729.91160336501,12569.105263157893,8900.040284005128,8553.57894736842,7562.63157894737,16300.105263157893,10451.097857297224,21615.368421052626,9461.629735012144,14225.368421052633,3688.0526315789484,32181.947368421053,3809.2631578947367,11017.686253453605,2076.3684210526317
2024,251310.0,42409.63157894737,11832.94736842105,11065.266282649742,52113.09217944611,12873.631578947367,9076.968288937784,8757.473684210525,7711.789473684213,16674.631578947367,10697.024329435586,22129.210526315783,9683.130092847374,14592.210526315792,3781.3157894736855,33013.68421052632,3884.578947368421,11318.357816817006,2134.2105263157896
2025,258819.0,43382.15789473684,12075.73684210526,11302.417836796336,53499.04333159883,13178.15789473684,9253.387197494598,8961.36842105263,7860.947368421055,17049.15789473684,10942.950801573948,22643.05263157894,9904.705403529073,14959.05263157895,3874.5789473684226,33845.42105263159,3959.894736842105,11619.029380180407,2192.0526315789475
