Time,Area,Industry,Employment
201512,MK01 Uusimaa,10-12 Food industry etc.,0.011568610850487158
201512,MK01 Uusimaa,"13-15 Textile, clothing and leather industry",0.0018045873166273702
201512,MK01 Uusimaa,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0015436412072178853
201512,MK01 Uusimaa,"17, 18 Paper industry; Printing",0.007649780167399829
201512,MK01 Uusimaa,19-22 Chemical industry,0.013404511700243666
201512,MK01 Uusimaa,23 Manufacture of other non-metallic mineral products,0.0032102170259797947
201512,MK01 Uusimaa,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.007751839090191094
201512,MK01 Uusimaa,"26, 27 Manufacture of electrical and electronic products",0.021679402769739994
201512,MK01 Uusimaa,28 Manufacture of machinery and equipment n.e.c.,0.011809841031630148
201512,MK01 Uusimaa,"29, 30 Manufacture of transport equipment",0.0015552388120805291
201512,MK01 Uusimaa,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.00796523501966374
201512,MK01 Uusimaa,"681, 68209, 683 Other real estate activities",0.008960309516878574
201512,MK01 Uusimaa,"68201, 68202 Letting and operation of dwellings",0.003630050322007499
201512,MK01 Uusimaa,"A Agriculture, forestry and fishing (01-03)",0.007495532022726667
201512,MK01 Uusimaa,B Mining and quarrying (05-09),0.0004383894638079344
201512,MK01 Uusimaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.008964948558823632
201512,MK01 Uusimaa,F Construction (41-43),0.07151083158306147
201512,MK01 Uusimaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.13346175747784567
201512,MK01 Uusimaa,H Transportation and storage (49-53),0.06400138243449963
201512,MK01 Uusimaa,I Accommodation and food service activities (55-56),0.0351801745903436
201512,MK01 Uusimaa,J Information and communication (58-63),0.06954271803787082
201512,MK01 Uusimaa,K Financial and insurance activities (64-66),0.02972118198149718
201512,MK01 Uusimaa,"M Professional, scientific and technical activities (69-75)",0.08489214807357984
201512,MK01 Uusimaa,N Administrative and support service activities (77-82),0.07906435163010135
201512,MK01 Uusimaa,O Public administration and defence; compulsory social security (84),0.06162735271911645
201512,MK01 Uusimaa,P Education (85),0.05951310935265649
201512,MK01 Uusimaa,Q Human health and social work activities (86-88),0.1320224947143916
201512,MK01 Uusimaa,"R, S Other service activities (90-96)",0.057264333769789864
201512,MK01 Uusimaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.002767188520226803
201512,MK02 Southwest Finland,10-12 Food industry etc.,0.014063025468806986
201512,MK02 Southwest Finland,"13-15 Textile, clothing and leather industry",0.003164062314975772
201512,MK02 Southwest Finland,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0041682258041597
201512,MK02 Southwest Finland,"17, 18 Paper industry; Printing",0.005016080825687638
201512,MK02 Southwest Finland,19-22 Chemical industry,0.022172119305990404
201512,MK02 Southwest Finland,23 Manufacture of other non-metallic mineral products,0.009326405236807328
201512,MK02 Southwest Finland,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.02522723935563018
201512,MK02 Southwest Finland,"26, 27 Manufacture of electrical and electronic products",0.014513004390846955
201512,MK02 Southwest Finland,28 Manufacture of machinery and equipment n.e.c.,0.02388677582997428
201512,MK02 Southwest Finland,"29, 30 Manufacture of transport equipment",0.018614917511758658
201512,MK02 Southwest Finland,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.01346147469934303
201512,MK02 Southwest Finland,"681, 68209, 683 Other real estate activities",0.007232819094263479
201512,MK02 Southwest Finland,"68201, 68202 Letting and operation of dwellings",0.0018520185107118667
201512,MK02 Southwest Finland,"A Agriculture, forestry and fishing (01-03)",0.044571596383116786
201512,MK02 Southwest Finland,B Mining and quarrying (05-09),0.0016199241193438833
201512,MK02 Southwest Finland,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.005821306265127581
201512,MK02 Southwest Finland,F Construction (41-43),0.08059832986770618
201512,MK02 Southwest Finland,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.11448884762766375
201512,MK02 Southwest Finland,H Transportation and storage (49-53),0.05928827544393973
201512,MK02 Southwest Finland,I Accommodation and food service activities (55-56),0.03563359400533343
