Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,1.0,0.030145288505101116,0.0024467422690106996,0.12642820011082406,0.005163294120128542,0.004786703221324273,0.06793884374729477,0.11491515279615447,0.0560742530031696,0.037184066821375074,0.039733196114214706,0.019587560459977,0.00940158959150214,0.05836324015821212,0.07315530881112846,0.04981546167100017,0.06873684733215889,0.17015229300793303,0.019625351378643473,0.02860816485980668,0.005408495662173795,0.0002513535520607256,0.012078592806806232
00100,1.0,0.0021456571074891686,0.0,0.015514751392613988,0.01142975036104807,2.0631318341242005e-05,0.010274396533938518,0.13286569011759852,0.027749123168970498,0.09853517639777182,0.1518258716731999,0.09898906540127914,0.018547555188776564,0.14835981019187125,0.032040437383948836,0.04889622446874355,0.051495770579740044,0.05485867546936249,0.042748091603053436,0.05333195791211058,0.0,0.00035073241180111407,2.0631318341242005e-05
00120,1.0,0.000957166786312515,0.0,0.013519980856664273,0.0004785833931562575,0.0004785833931562575,0.008255563531945441,0.08016271835367313,0.03254367073462551,0.08375209380234507,0.07729121799473558,0.10959559703278296,0.013878918401531467,0.18592964824120603,0.08578607322325915,0.07106963388370424,0.03864560899736779,0.06736061258674324,0.02022014836085188,0.11007418042593922,0.0,0.0,0.0
00130,1.0,0.0011671754354462202,0.0007182618064284432,0.020919375112228408,0.0,0.0006284790806248878,0.012390016160890645,0.06518225893338121,0.057371161788471896,0.09014185670676962,0.06042377446579278,0.05880768540132878,0.019572634225175075,0.19877895492907163,0.03330939127311905,0.1980606931226432,0.009696534386783983,0.04156940204704615,0.02765307954749506,0.10253187286766026,0.0,0.0010773927096426647,0.0
00140,1.0,0.0051129100979974435,0.0,0.007243289305496378,0.0,0.0,0.036642522368981675,0.09714529186195142,0.06774605879846612,0.11589262888794205,0.12526629740093737,0.006391137622496805,0.04345973583297827,0.1572219855134214,0.034086067319982954,0.025990626331487004,0.021729867916489135,0.15423945462292288,0.04345973583297827,0.057946314443971025,0.0,0.00042607584149978694,0.0
00150,1.0,0.0007496251874062968,0.0,0.13980509745127437,0.0007496251874062968,0.0007496251874062968,0.02586206896551724,0.07627436281859071,0.01780359820089955,0.06709145427286357,0.14842578710644677,0.003373313343328336,0.017428785607196403,0.299287856071964,0.026424287856071964,0.0,0.041979010494752625,0.087143928035982,0.01555472263868066,0.02848575712143928,0.0013118440779610195,0.0014992503748125937,0.0
00160,1.0,0.0013695503309746632,0.0,0.08331431180095869,0.0,0.0,0.015065053640721297,0.05546678840447387,0.13581374115498746,0.08194476146998403,0.021912805295594612,0.005934718100890208,0.007076010043369094,0.05181465418854143,0.024651905957543938,0.38461538461538464,0.0780643688655558,0.024651905957543938,0.0066194932663775395,0.021684546907098836,0.0,0.0,0.0
00170,1.0,0.00012001920307249159,0.0,0.005040806529044647,0.0,0.00012001920307249159,0.013922227556409025,0.02784445511281805,0.006240998559769563,0.06048967834853577,0.022203552568410945,0.07489198271723475,0.00816130580892943,0.050408065290446474,0.01500240038406145,0.3113298127700432,0.207033125300048,0.04560729716754681,0.05700912145943351,0.06649063850216035,0.0,0.028084493518963034,0.0
00180,1.0,0.0005714013618399123,4.7616780153326035e-05,0.05380696157325841,0.02376077329650969,0.0021427551068996715,0.040998047712013715,0.049378601018999095,0.016142088471977525,0.039188610066187325,0.21789438598161992,0.06485405456883006,0.007952002285605447,0.21060901861816103,0.05380696157325841,0.050902337983905525,0.0482834150754726,0.07113946954906909,0.021046616827770107,0.02747488214846912,0.0,0.0,0.0
00190,1.0,0.0,0.0,0.05625,0.0,0.0,0.041666666666666664,0.03958333333333333,0.03333333333333333,0.11458333333333333,0.004166666666666667,0.0,0.0,0.029166666666666667,0.05,0.29791666666666666,0.04791666666666667,0.06875,0.15833333333333333,0.03958333333333333,0.0,0.01875,0.0
00200,1.0,0.000427715996578272,0.0,0.009837467921300257,0.0,0.0,0.06928999144568007,0.14713430282292558,0.030795551753635585,0.06800684345594525,0.04662104362703165,0.00641573994867408,0.023952095808383235,0.11847733105218135,0.05132591958939264,0.019674935842600515,0.07442258340461934,0.22112917023096665,0.04875962360992301,0.06372968349016253,0.0,0.0,0.0
00210,1.0,0.0,0.0,0.04422803814161087,0.0032460945425035505,0.0,0.030635017244877258,0.2071414079935078,0.015621829985798336,0.020693852708460133,0.17914384256441468,0.02008520998174072,0.025157232704402517,0.2503550415905863,0.12984378170014202,0.0,0.004666260904848854,0.02799756542909312,0.018259281801582473,0.022925542706431323,0.0,0.0,0.0
00220,1.0,0.0,0.0,0.011,0.0,0.0,0.06,0.081,0.534,0.127,0.008,0.0,0.0,0.025,0.007,0.08,0.021,0.029,0.008,0.009,0.0,0.0,0.0
00230,1.0,0.0,0.0,0.009724473257698542,0.0,0.0,0.002025931928687196,0.0032414910858995136,0.8557536466774717,0.0032414910858995136,0.09805510534846029,0.0,0.008914100486223663,0.0,0.018638573743922204,0.0,0.0,0.0004051863857374392,0.0,0.0,0.0,0.0,0.0
00240,1.0,0.002251346787810565,0.0,0.004824314545308354,0.00530674599983919,0.0,0.026774945726461365,0.02645332475677414,0.09463697033046554,0.031036423574817076,0.32194259065691083,0.054997185816515234,0.013186459757176168,0.14786524081370106,0.022513467878105653,0.14070917423816032,0.004341883090777519,0.03393101230200209,0.046554635362225615,0.022674278362949263,0.0,0.0,0.0
00250,1.0,0.0033213763783711972,0.0,0.0018599707718878703,0.0,0.0,0.013551215623754484,0.036800850272352865,0.01315265045834994,0.03653514016208317,0.00810415836322572,0.007705593197821177,0.010229839245383288,0.06071476019662548,0.05579912315663611,0.07745449714361631,0.06815464328417696,0.4697754749568221,0.09020858243656171,0.046632124352331605,0.0,0.0,0.0
00260,1.0,0.00044689408610159393,0.0,0.0010427528675703858,0.0,0.0,0.0010427528675703858,0.02562192760315805,0.017279904662594964,0.07716371220020855,0.013704751973782214,0.0017875763444063757,0.004468940861015939,0.16311634142708178,0.049605243557276926,0.0,0.07254580664382541,0.4638760613734545,0.08550573514077164,0.02279159839118129,0.0,0.0,0.0
00270,1.0,0.0004897159647404506,0.0,0.002938295788442703,0.0,0.0,0.004897159647404506,0.062193927522037215,0.00930460333006856,0.05827619980411362,0.13173359451518118,0.002938295788442703,0.01860920666013712,0.19245837414299707,0.039666993143976495,0.0,0.10235063663075417,0.3036238981390793,0.023016650342801176,0.047502448579823706,0.0,0.0,0.0
00280,1.0,0.0,0.0,0.017005545286506468,0.0,0.0,0.35046210720887244,0.07615526802218114,0.11293900184842884,0.011090573012939002,0.036044362292051754,0.005914972273567467,0.02865064695009242,0.06284658040665435,0.049168207024029575,0.05212569316081331,0.06062846580406654,0.10646950092421442,0.009426987060998152,0.02088724584103512,0.0,0.0,0.00018484288354898336
00290,1.0,0.0,0.0,0.0005691519635742744,0.0,0.0,0.029690760766457977,0.018023145513185353,0.0,0.019256308100929615,0.004553215708594195,0.00018971732119142478,0.0,0.021722633276418137,0.040978941377347755,0.016505406943653957,0.10311136406753936,0.7361032062227282,0.006924682223487005,0.00237146651489281,0.0,0.0,0.0
00300,1.0,0.0,0.0,0.01124031007751938,0.0,0.0,0.01744186046511628,0.034108527131782945,0.018992248062015504,0.017829457364341085,0.005813953488372093,0.0003875968992248062,0.09302325581395349,0.33798449612403103,0.023255813953488372,0.0,0.06782945736434108,0.34031007751937986,0.0069767441860465115,0.024806201550387597,0.0,0.0,0.0
00310,1.0,0.0,0.0,0.00860832137733142,0.0,0.0,0.00430416068866571,0.007173601147776184,0.0014347202295552368,0.00860832137733142,0.00430416068866571,0.0,0.011477761836441894,0.015781922525107604,0.0014347202295552368,0.0,0.0,0.9368723098995696,0.0,0.0,0.0,0.0,0.0
00320,1.0,0.0,0.0,0.009788768675940238,0.0,0.0005151983513652757,0.11385883565172591,0.14219474497681608,0.0030911901081916537,0.0674909840288511,0.03760947964966512,0.0010303967027305513,0.024214322514167955,0.04636785162287481,0.019577537351880475,0.027820710973724884,0.20401854714064915,0.2581143740340031,0.013395157135497167,0.030911901081916538,0.0,0.0,0.0
00330,1.0,0.0008227067050596463,0.0,0.003702180172768408,0.0,0.0,0.023447141094199916,0.14273961332784862,0.005758946935417524,0.07157548334018922,0.25586178527354997,0.019333607568901685,0.012751953928424516,0.09502262443438914,0.02632661456190868,0.006993006993006993,0.10407239819004525,0.16618675442204853,0.013574660633484163,0.05183052241875771,0.0,0.0,0.0
00340,1.0,0.01366120218579235,0.0,0.01366120218579235,0.0,0.0,0.08469945355191257,0.05191256830601093,0.03278688524590164,0.03278688524590164,0.23224043715846995,0.02459016393442623,0.03551912568306011,0.09016393442622951,0.00819672131147541,0.0,0.0,0.30327868852459017,0.03551912568306011,0.01912568306010929,0.0,0.02185792349726776,0.0
00350,1.0,0.001563314226159458,0.0,0.0036477331943720686,0.0,0.004689942678478374,0.055758207399687336,0.31005732152162585,0.020323084940072955,0.042209484106305366,0.05992704533611256,0.015112037519541427,0.0484627410109432,0.03804064616988015,0.041688379364252216,0.0,0.09536216779572694,0.20218863991662325,0.028139656070870246,0.03230849400729546,0.0005211047420531526,0.0,0.0
00360,1.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747,0.24096385542168675,0.03614457831325301,0.08433734939759036,0.024096385542168676,0.0,0.18072289156626506,0.25301204819277107,0.0,0.0,0.024096385542168676,0.0,0.060240963855421686,0.0,0.0,0.0,0.0
00370,1.0,0.0,0.0,0.27045001108401684,0.00022168033695411216,0.0,0.09022389714032365,0.14364885834626467,0.04832631345599645,0.03059188649966748,0.2006207049434715,0.010862336510751497,0.0006650410108623365,0.038350698293061404,0.03635557526047439,0.0,0.016847705608512526,0.08423852804256263,0.017512746619374863,0.01108401684770561,0.0,0.0,0.0
