Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,1.0,0.026819592454432772,0.002520722334619465,0.12534179107370216,0.005050292265599787,0.004834158125927418,0.06967692791231274,0.11001859680492229,0.05530463959526881,0.03791026514982351,0.04287755853527621,0.018812939061969406,0.009711290291321856,0.06097215703556649,0.07570129840583166,0.04905865787861603,0.06918356908666684,0.17165474488166552,0.01917695445510182,0.026833917134255113,0.0035403024866801545,0.00017526667076745735,0.014824358359672487
00100,1.0,0.000523093614383137,0.0,0.017145846249225046,0.013929789212647242,0.0,0.011081835089894606,0.12680176689398637,0.01999380037197768,0.0893521388716677,0.17647628642281463,0.08625232486050836,0.023248605083694977,0.1664018908865468,0.0397938623682579,0.040840049597024176,0.04438546187228766,0.05480858648481091,0.042234965902045875,0.04585787352758834,0.0,0.0008718226906385617,0.0
00120,1.0,0.00041649312786339027,0.0,0.023184784117728723,0.0,0.0,0.0030542829376648617,0.07885603220880189,0.03248646397334444,0.1361932528113286,0.07885603220880189,0.11384145494932667,0.010828821324448146,0.17048452033874775,0.038456198806053034,0.058170206858253505,0.04872969596001666,0.06886019714008053,0.023184784117728723,0.1116201582673886,0.00013883104262113008,0.0023601277245592113,0.00027766208524226016
00130,1.0,0.0006898335776493921,0.00034491678882469606,0.012072087608864362,0.00017245839441234803,0.00034491678882469606,0.014745192722255756,0.03966543071484004,0.00991635767871001,0.07588169354143313,0.08804001034750367,0.11502974907303613,0.020953694921100285,0.21557299301543503,0.027420884711563336,0.17530395792015177,0.01483142191946193,0.055790290592394584,0.023540570837285505,0.10338880745020264,0.0,0.006294731396050703,0.0
00140,1.0,0.0019747235387045812,0.0,0.008688783570300158,0.0,0.0,0.045023696682464455,0.089652448657188,0.25078988941548186,0.09281200631911532,0.02962085308056872,0.010268562401263823,0.056477093206951025,0.11334913112164297,0.0339652448657188,0.005134281200631911,0.024091627172195894,0.12085308056872038,0.038704581358609796,0.04462875197472354,0.0,0.0339652448657188,0.0
00150,1.0,0.00122040517451794,0.0,0.11764705882352941,0.0,0.0,0.025872589699780325,0.06809860873810104,0.010495484500854283,0.055162313888210884,0.12545765194044423,0.019770563827190626,0.013424456919697339,0.30827434708323165,0.037100317305345375,0.0,0.04857212594581401,0.11642665364901147,0.022699536246033682,0.029045643153526972,0.0,0.000732243104710764,0.0
00160,1.0,0.0011043622308117063,0.0,0.11678630590833794,0.0,0.0002760905577029266,0.013528437327443401,0.045002760905577026,0.14936499171728326,0.07951408061844285,0.025124240750966316,0.008282716731087797,0.003589177250138045,0.05273329652125897,0.036720044174489236,0.36664826062948647,0.013528437327443401,0.034787410270568746,0.029265599116510214,0.02153506350082827,0.0,0.0022087244616234127,0.0
00170,1.0,0.00030721966205837174,0.0,0.0060419866871479775,0.0,0.00010240655401945725,0.007987711213517665,0.022119815668202765,0.0034818228366615463,0.04782386072708653,0.02529441884280594,0.06594982078853047,0.0052227342549923195,0.045570916538658475,0.009114183307731696,0.3871991807475678,0.20962621607782897,0.04157706093189964,0.06820276497695853,0.052636968766001026,0.0,0.0017409114183307732,0.0
00180,1.0,0.0002326771836753688,4.653543673507376e-05,0.08757969193540881,0.025361813020615197,0.002699055330634278,0.012890315975615432,0.05086323235143562,0.014193308204197496,0.03220252222067104,0.22923356135697334,0.06030992600865559,0.008748662106193867,0.26045883940620784,0.02415189166550328,0.044906696449346174,0.03550653822886128,0.05384150030248034,0.02215086788589511,0.034575829494159806,0.0,0.0,4.653543673507376e-05
00190,1.0,0.0,0.0,0.02570093457943925,0.0,0.0,0.04672897196261682,0.016355140186915886,0.0,0.09579439252336448,0.011682242990654205,0.002336448598130841,0.0,0.035046728971962614,0.04906542056074766,0.32242990654205606,0.04672897196261682,0.06074766355140187,0.2733644859813084,0.014018691588785047,0.0,0.0,0.0
00200,1.0,0.0036215482118605704,0.0,0.01041195110909914,0.0,0.0,0.05387052965142598,0.12675418741511996,0.018560434585785424,0.040742417383431415,0.1104572204617474,0.009053870529651425,0.019465821638750568,0.11543684925305568,0.04210049796287913,0.022634676324128564,0.09913988229968311,0.24671797193300135,0.03214124038026256,0.04843820733363513,0.0004526935264825713,0.0,0.0
00210,1.0,0.0006816632583503749,0.0,0.027266530334014997,0.0015905476028175414,0.0,0.029538741195182912,0.1626902976596228,0.027493751420131787,0.025448761645080663,0.1056578050443081,0.014769370597591456,0.03635537377868666,0.23221995001136106,0.2260849806862077,0.0,0.011815496478073164,0.04839809134287662,0.01931379231992729,0.03067484662576687,0.0,0.0,0.0
00220,1.0,0.0,0.0,0.006787330316742082,0.0,0.0,0.027149321266968326,0.02262443438914027,0.42458521870286575,0.13725490196078433,0.01809954751131222,0.003770739064856712,0.0030165912518853697,0.03770739064856712,0.029411764705882353,0.05279034690799397,0.033182503770739065,0.11689291101055807,0.03770739064856712,0.049019607843137254,0.0,0.0,0.0
00230,1.0,0.0,0.0,0.00031446540880503143,0.0,0.0,0.0018867924528301887,0.005031446540880503,0.7839622641509434,0.002830188679245283,0.18836477987421385,0.0006289308176100629,0.005660377358490566,0.0,0.010062893081761006,0.0,0.0,0.0006289308176100629,0.0,0.0006289308176100629,0.0,0.0,0.0
00240,1.0,0.004830917874396135,0.0,0.0037267080745341614,0.004899930986887509,0.025534851621808144,0.04527260179434092,0.024844720496894408,0.12491373360938578,0.029261559696342306,0.2712905452035887,0.12795031055900621,0.006694271911663216,0.1,0.04002760524499655,0.12594893029675638,0.006349206349206349,0.028709454796411318,0.012077294685990338,0.017598343685300208,6.901311249137337e-05,0.0,0.0
00250,1.0,0.0014984334559324344,0.0,0.0023157607955319437,0.0,0.0,0.013485901103391908,0.03310175725378014,0.09017844980247923,0.040185260863642554,0.010897697861326794,0.0016346546791990192,0.008854379512328021,0.0569404713254325,0.026154474867184307,0.0904508922490124,0.05149162239476911,0.44884893066339737,0.07914453071788585,0.042092357989374746,0.0,0.0027244244653316986,0.0
00260,1.0,0.0004393673110720562,0.0,0.0010251903925014645,0.0,0.0,0.0026362038664323375,0.03471001757469244,0.001611013473930873,0.05360281195079086,0.015524311657879321,0.003222026947861746,0.006590509666080844,0.05697129466900996,0.013473930872876391,0.0,0.09475688342120679,0.5741066198008201,0.11731107205623902,0.02401874633860574,0.0,0.0,0.0
00270,1.0,0.0,0.0,0.003167420814479638,0.0,0.0,0.16470588235294117,0.029411764705882353,0.0058823529411764705,0.05384615384615385,0.25610859728506785,0.0018099547511312218,0.0027149321266968325,0.1,0.05113122171945701,0.0,0.09954751131221719,0.17058823529411765,0.020361990950226245,0.04072398190045249,0.0,0.0,0.0
00280,1.0,0.00021159542953872197,0.0,0.006347862886161659,0.0,0.0,0.39547185780787136,0.022429115531104528,0.14790520524756665,0.00761743546339399,0.026237833262801522,0.0019043588658484976,0.03216250528988574,0.06369022429115531,0.014600084638171815,0.07638595006347863,0.05162928480744816,0.12462970799830723,0.009944985188319933,0.018620397799407534,0.0,0.0,0.00021159542953872197
00290,1.0,0.0,0.0,0.001080010800108001,0.0,0.0,0.00045000450004500047,0.022590225902259023,0.0,0.015750157501575015,0.0013500135001350013,0.0,9.000090000900009e-05,0.014040140401404014,0.004410044100441005,0.014130141301413015,0.10746107461074611,0.8115381153811538,0.005040050400504005,0.002070020700207002,0.0,0.0,0.0
