Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
Ahvenanmaa,1.0,0.036285739267290375,0.0010492261956806855,0.06828713823555128,0.009180729212205998,0.004634082364256361,0.0716971233715135,0.08761038733933724,0.12581970796537553,0.02885372038121885,0.049226195680685494,0.04861414706653843,0.01197866573402116,0.03733496546297106,0.02885372038121885,0.06452741103436216,0.06531433068112268,0.19393197516831337,0.03173909241934074,0.03392498032700883,0.0,0.0,0.0
Etelä-Karjala,1.0,0.02412301326060378,0.0025157528449167685,0.162912630489984,0.003949967083607637,0.004749365183861563,0.065174456879526,0.10798927866077307,0.06007241606319947,0.040040440139189316,0.02402896642527979,0.009263613279413148,0.010415687012132042,0.0445781999435719,0.060495626822157436,0.06649111257406189,0.08388977710900028,0.1870121320417568,0.014835888272359635,0.026145020220069596,0.0,0.0,2.3511708830997837e-05
Etelä-Pohjanmaa,1.0,0.07818046077879212,0.0036149785851812073,0.17826035704462403,0.0035363920941990073,0.0050950241653459774,0.0656066222216401,0.11270612581697206,0.05477478421459351,0.02889363318445559,0.010465101049129654,0.012036830868773657,0.008002724331687383,0.03422441682274817,0.030072430549188595,0.040236283382886484,0.07122555632686742,0.22495383043654796,0.010910424498028789,0.02627408348504892,0.00011787973647330025,0.0,2.619549699406672e-05
Etelä-Savo,1.0,0.06135695154213977,0.001018781734229423,0.15920929391853034,0.00471597351167491,0.00647419360139343,0.06227714149563732,0.10263404374188671,0.04821138077788915,0.03283106298371592,0.012077493139655258,0.007821614604729119,0.008150253873835384,0.03613388763823389,0.03863154608344151,0.05134988579785398,0.07198843189772745,0.24938790936128957,0.014887358890513827,0.027720722349113495,0.0,0.0,6.57278538212531e-05
Kainuu,1.0,0.0523427095524436,0.043383510230437065,0.08878485814601074,0.003672464586948626,0.005851729286896162,0.06949432987610477,0.09750191694580088,0.043827434521167115,0.03337503531215949,0.022599782073530004,0.009604907381250253,0.009403123612736592,0.03732999717502724,0.052625206828362726,0.07950280479438233,0.07244037289640422,0.22878243674078858,0.01912910125509504,0.02776544654747972,4.0356753702732155e-05,0.0,4.0356753702732155e-05
Kanta-Häme,1.0,0.04726277618258044,0.002170367075127054,0.1755975249727019,0.0029252773621277687,0.01199768134697564,0.07181084105094296,0.11875008425338024,0.051239535730173494,0.03100524393038649,0.016190129547997464,0.012051603510332834,0.008074843962739785,0.039834998180126986,0.042301937153718605,0.06112077216537928,0.07625941952791146,0.1879591809223386,0.01465334789231744,0.028538304956794866,4.0441622517895415e-05,0.0,1.3480540839298473e-05
Keski-Suomi,1.0,0.029139592321309322,0.0018020118932784957,0.14115053159350852,0.0037206245561220703,0.005989039527660883,0.0715610723030772,0.1082691145761562,0.04240027984184696,0.03290261715727324,0.04291968326990958,0.008501256108290315,0.01158587646678468,0.0553535653335312,0.04192327669362618,0.05577756813194967,0.10188787245995824,0.19831670889027866,0.018677323270333585,0.026871177349770507,0.00010600069960461739,0.0,1.0600069960461739e-05
Kymenlaakso,1.0,0.023846261747790715,0.0011747790713985131,0.14547973067751438,0.005277738813297798,0.008188385467807547,0.07032893813999158,0.105589844297938,0.083076167765465,0.037820872492635715,0.012729695609482396,0.007644830972085847,0.00820591948379857,0.0437123018656193,0.053583952868565016,0.08440875298078272,0.0602468789451536,0.20493757890307196,0.015184457848225558,0.027475803057932388,0.0,0.0,5.2602047973067754e-05
Lapland,1.0,0.03152161866915758,0.027927742507480646,0.10436489717081203,0.007219416430505201,0.00633282143026772,0.06728622769659452,0.10075518895555942,0.05059924322783908,0.04524800911926286,0.012950619824897487,0.006633630448205437,0.010417491252790399,0.04097335465383215,0.049380175102512545,0.07222582841220335,0.08083846555736744,0.2290739831863591,0.02347893545271757,0.026376201257065055,1.58320535756693e-05,0.0,1.58320535756693e-05
North Ostrobothnia,1.0,0.022318524782099648,0.002975803304279953,0.12846363991153897,0.004195394822427475,0.004935280343436972,0.08307857421620918,0.09876252113958632,0.050499219461428387,0.029416547417718226,0.04323858462339014,0.01596038766749057,0.00932580980876805,0.06366267724730064,0.04523871471315208,0.05025530115779888,0.08927409912839859,0.21654253935215298,0.014407441134382724,0.02680662156888253,2.4391830362950434e-05,0.0,0.0
Pirkanmaa,1.0,0.017851375991812114,0.0010930427826881897,0.15636970681611542,0.0040442582959463015,0.004620589945000074,0.06849900384055486,0.11301068697738892,0.0446458292965276,0.0341228083250113,0.05684319307607081,0.0159832665086723,0.010662135507494796,0.06564715585299569,0.04695612426902764,0.042464712107436166,0.08067152573867334,0.19418401872084184,0.017975585398935772,0.023843237791457375,4.968376284946317e-06,0.0,4.968376284946317e-06
Pohjanmaa,1.0,0.04320860485541111,0.001246923352163683,0.21544666963036854,0.006570743925314712,0.006332202066639921,0.06544721177095644,0.09498303099959882,0.04307849111431576,0.027660012794517873,0.02610949071313173,0.01289210318019669,0.006277988007850195,0.04415192947835233,0.04151712622117167,0.04345798952584384,0.08163552972556844,0.20166545588602036,0.0123174341570256,0.025502293254686805,4.337124703178028e-05,3.252843527383521e-05,0.0
Pohjois-Karjala,1.0,0.039288962708110886,0.0034405030252699013,0.14938505951674774,0.003737098113655238,0.005694625696998458,0.06424249614426385,0.10295804168149641,0.043381974927828526,0.0333372879345118,0.026515600901649068,0.0109937912761498,0.00927353976351485,0.038458496460631944,0.044509036263692806,0.06855301142879741,0.09020445288092696,0.21516985012061535,0.01783525131490489,0.028987226638193538,0.0,0.0005140981532012497,1.9773005892355755e-05
