Postal code area,WHOLE COUNTRY,Ahvenanmaa,Etelä-Karjala,Etelä-Pohjanmaa,Etelä-Savo,Kainuu,Kanta-Häme,Keski-Suomi,Kymenlaakso,Lapland,North Ostrobothnia,Pirkanmaa,Pohjanmaa,Pohjois-Karjala,Pohjois-Pohjanmaa,Pohjois-Savo,Päijät-Häme,Satakunta,Uusimaa,Varsinais-Suomi
"Workplaces, total (TP)",1.0,0.0051861444430431535,0.019337085766489914,0.03343309842908424,0.028594542551915274,0.010878950853789133,0.03329028391086792,0.041019405636735236,0.025877111842223792,0.027098285830295048,0.05122778739883788,0.08419684850104078,0.04099128216237879,0.022517235515202277,0.01218537412350336,0.03397008101757761,0.03208009565496715,0.018259605155208622,0.31658990569408074,0.08348848849068784
"A Agriculture, forestry and fishing (TP)",1.0,0.0054080844302561186,0.017011413827786766,0.08916779638780775,0.058453958397107916,0.020451596915496858,0.05380388040990656,0.04206935758953951,0.02408128161397064,0.03193830993717293,0.0406991151732482,0.05768137490707133,0.06698153088147403,0.03253596886342765,0.03639888631361059,0.06304572819638198,0.032812932756082276,0.01040801154502121,0.05397880497368843,0.06899316336496553
B Mining and quarrying (TP),1.0,0.0014367816091954023,0.01993534482758621,0.05334051724137931,0.011314655172413793,0.1413433908045977,0.03771551724137931,0.029454022988505746,0.018318965517241378,0.2507183908045977,0.043642241379310345,0.04489942528735632,0.017959770114942528,0.04633620689655173,0.08512931034482758,0.03987068965517242,0.008081896551724138,0.008441091954022989,0.03897270114942529,0.045617816091954026
C Manufacturing (TP),1.0,0.002394772513989781,0.025744673455910465,0.04867053630391714,0.03794793368322269,0.007577074137151993,0.04796844044350214,0.04688053943206701,0.029289909978798094,0.022387125925411006,0.05632755204893817,0.1140627715407876,0.0703416634805881,0.027565951826491953,0.016944145146154114,0.028768551666608737,0.047561780959994436,0.025421431302353064,0.2161968648986827,0.11200514406868027
"D Electricity, gas, steam and air conditioning supply (TP)",1.0,0.008425531914893617,0.018212765957446808,0.02595744680851064,0.028170212765957447,0.011319148936170214,0.017617021276595746,0.035148936170212766,0.022638297872340427,0.04561702127659575,0.04519148936170213,0.0668936170212766,0.05097872340425532,0.017191489361702127,0.008170212765957446,0.029787234042553193,0.022808510638297873,0.0334468085106383,0.4074042553191489,0.10178723404255319
"E Water supply; sewerage, waste management and remediation activities (TP)",1.0,0.007252363903424218,0.017534196272835766,0.034242173873129535,0.03460938217203709,0.010006426145230882,0.07693013862113283,0.05232718259432663,0.04085192325346553,0.029652070136785093,0.05113375562287708,0.07417607637932618,0.05388781786468374,0.025612778848801983,0.018268612870650878,0.03745524648857064,0.04792068300743597,0.029560268062058203,0.2554851739649316,0.0846415128981915
F Construction (TP),1.0,0.005355514304009521,0.021551417464927204,0.033264988001836915,0.02695867586849237,0.009585594442683708,0.036013893290730695,0.042650074058742486,0.02705569605515921,0.027146248229381595,0.05795985951476971,0.08676838694237647,0.03799310509873421,0.02243753516981767,0.01580135440180587,0.0368935429831767,0.03909913522673618,0.019986158453368864,0.3296034461570304,0.09442004566416785
G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),1.0,0.0038239455470154104,0.019991587319796566,0.03508852433941341,0.027333562770066155,0.009961378149975145,0.034740545294635,0.040097893006003596,0.02470268823371955,0.025582195709533097,0.048483805590608386,0.0877174869029865,0.03563152460708959,0.01985392528010401,0.011318878819165615,0.033295093877863176,0.03406753087836029,0.018469656992084433,0.3789874192191503,0.08614202133761616
H Transportation and storage (TP),1.0,0.019865681349769213,0.02032020186980338,0.0347159638577821,0.02448925215701333,0.00949791155657605,0.03173023423479903,0.032929228020406404,0.038164050561489575,0.028446715305586685,0.04684695980628022,0.07043500748391546,0.03277249680660152,0.019019332795222832,0.009921085833849241,0.03334456573698935,0.029073640160806224,0.018596158517949643,0.37756549405596873,0.09346665935254335
I Accommodation and food service activities (TP),1.0,0.006570628345879767,0.023848071946016854,0.024852574480908544,0.028693319467259126,0.011569505666576064,0.031080490197237028,0.04282726101702927,0.027405192687221545,0.0400382892730947,0.04688072418723927,0.08597359930984767,0.031482291211193704,0.02129545373970385,0.008508727354376676,0.0335385669885014,0.03429489830889044,0.01815195168933691,0.36446897268934875,0.0859026932485612
J Information and communication (TP),1.0,0.00583941605839416,0.011004202610042027,0.00917938509179385,0.010042026100420261,0.004744525547445255,0.013359876133598762,0.038553417385534174,0.009190444591904446,0.009621765096217651,0.04944702499447025,0.09957973899579739,0.025547445255474453,0.012574651625746516,0.002399911523999115,0.02006193320061933,0.016246405662464058,0.010628179606281795,0.566522893165229,0.05683477106834771
K Financial and insurance activities (TP),1.0,0.011620863712843522,0.011620863712843522,0.023331463825014023,0.015905776780706673,0.0065058889512058325,0.0245877734155917,0.020639371845204712,0.012899607403252944,0.012181716208637129,0.03899046550757151,0.06573191250701066,0.03138530566461021,0.013438025799214806,0.006864834548513741,0.028491306786315198,0.0216489063376332,0.011149747616376892,0.5520358945597308,0.08195176668536175
L Real estate activities (TP),1.0,0.004954428604814209,0.020285113344239308,0.025473241411544754,0.027763496143958868,0.009394718392147698,0.025426501519046508,0.04706707174573498,0.021593830334190232,0.031876606683804626,0.049263846693152605,0.08441224585183454,0.02823089506894134,0.02061229259172704,0.007712082262210797,0.03790605281607852,0.030895068941341437,0.017013320869362,0.39172703902781025,0.08946015424164525
"M Professional, scientific and technical activities (TP)",1.0,0.0026803999518130346,0.014004336826888326,0.018717624382604506,0.017731297434044092,0.008011083002047946,0.02229400072280448,0.036953379110950486,0.019274786170340924,0.01929737381038429,0.052523792314179016,0.09044843994699434,0.029529574750030117,0.013597759306107697,0.006362185278882063,0.026924466931694976,0.024153716419708468,0.01265660763763402,0.46928833875436693,0.07792735814962053
N Administrative and support service activities (TP),1.0,0.001892141904636048,0.01343721092276457,0.011665205012073668,0.011485001021155948,0.008073138793113804,0.01723951513112844,0.021732601304676896,0.017341630725981813,0.01755186871538582,0.029595502108386695,0.04484075974002571,0.017960331094799314,0.011004457045375365,0.004493086173548457,0.019822439000949075,0.020753492954023955,0.009737022309254075,0.21373394682780908,0.050625307848484485
O Public administration and defence; compulsory social security (TP),1.0,0.005874880914576056,0.02472566246780283,0.025828305282100138,0.029921315408771743,0.01807452101196147,0.0405066864260259,0.04314420803782506,0.04043611728591087,0.03637839172929678,0.05199181397974666,0.06355633181609682,0.0380896933770862,0.02828940404361173,0.011467485268692,0.03379379697258389,0.019547651811862674,0.015057690272044035,0.34765886877668395,0.07940792491443492
P Education (TP),1.0,0.003177282113244216,0.02180625611323143,0.03377380564239274,0.029957231353445465,0.011449722866841833,0.033377444493456844,0.05752350996976148,0.02253504919353292,0.030180983614941537,0.06695306956138164,0.09279965222505641,0.04694961738363284,0.028697825767310434,0.015304654686331295,0.0407804478880983,0.029100579838003363,0.016417023072054622,0.3132595590162572,0.07101257487709609
Q Human health and social work activities (TP),1.0,0.0048345609123684186,0.019265931840955344,0.041029203640383045,0.03752724605642387,0.013630775905705403,0.03512546098777931,0.04705174426412405,0.030603390390793673,0.033343491420720434,0.061777527555964176,0.09355081970600085,0.04745978946933463,0.028847246469634207,0.013395762528020825,0.04520521058231666,0.037710608142309636,0.02475646415916862,0.2716083179240313,0.09399243825088066
"R Arts, entertainment and recreation (TP)",1.0,0.007612906114954882,0.016412529947829203,0.01948008329414926,0.023443272653993416,0.011352186471418016,0.026264526096594343,0.04169185642954703,0.02297306374689326,0.029712724748662142,0.04231880163901391,0.09415373592172141,0.02872752513378563,0.02122657352052126,0.005418597881820828,0.029824679250352655,0.03148160587537225,0.015628848435995612,0.39916258032735497,0.07091198137077091
S Other service activities (TP),1.0,0.00640523478180729,0.019184983794909606,0.034376296023224735,0.030997035466875565,0.013117675068737232,0.03651137428382717,0.04293196934089059,0.028124663993978772,0.026296791238498995,0.05002841650922384,0.07540359123235488,0.038354607314563076,0.02491436646544706,0.01181205167196596,0.035651198869483744,0.031273520421485956,0.017418552140454357,0.36402316329508627,0.07902861619280217
T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),1.0,0.0,0.0,0.0010562235944101398,0.014949626259343516,0.0,0.0012187195320116997,0.008937276568085798,0.0,0.003249918752031199,0.00016249593760155997,0.0006499837504062399,0.0029249268768280793,0.0008124796880077998,8.124796880077999e-05,0.00024374390640233994,0.003737406564835879,0.007068573285667858,0.007799805004874878,0.0004062398440038999
U Activities of extraterritorial organisations and bodies (TP),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034965034965034965,0.04895104895104895,0.0,0.0,0.0,0.0,0.5472027972027972,0.0
X Industry unknown (TP),1.0,0.0,3.638083457634518e-05,0.00010914250372903554,7.276166915269036e-05,0.0,3.638083457634518e-05,0.00014552333830538072,0.0,0.0,7.276166915269036e-05,0.000400189180339797,3.638083457634518e-05,7.276166915269036e-05,0.0,3.638083457634518e-05,7.276166915269036e-05,0.00010914250372903554,0.0005820933532215229,0.0003274275111871066
