Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
Forssa,1.0,0.082987278360029,0.005075472941796849,0.22028870872058534,0.0035594225825588293,0.008536022674840155,0.07524223848131303,0.10991365104475645,0.0542152791510118,0.034012260233339926,0.008206446509788412,0.013314877068090435,0.0053720914903434185,0.03948322457319887,0.03549535297607277,0.034869158262474456,0.06739832575308154,0.1641948454287786,0.010744182980686837,0.026530881286665347,0.0004943642475776152,0.0,0.0
Helsinki,1.0,0.0050881770252568445,0.0004167974797284862,0.08541100561864655,0.006506371047190136,0.003841844301783027,0.0729084344653625,0.1354727132974635,0.06676202487793788,0.0441304630241093,0.07202476967879529,0.03423558259626939,0.011885494365114593,0.08743274404304381,0.04861509564690217,0.054448907124530425,0.06646160591527644,0.14641364714033625,0.02503626679369066,0.03259275097162529,0.00018133396845330244,9.066698422665122e-05,1.6238862846564396e-05
Hämeenlinna,1.0,0.02540802823114248,0.0012351124834583148,0.16292456991618878,0.0020732245258050287,0.011843846493162771,0.07576091751213057,0.1297309219232466,0.04933833259814733,0.03557565063961182,0.019761799735333038,0.01517423908248787,0.008204675782973092,0.038729598588442875,0.03994265549183944,0.0745037494486105,0.07267313630348478,0.18429642699603,0.019078076753418615,0.0333480370533745,0.00011027790030877812,0.0,0.0
Joensuu,1.0,0.04234471363522834,0.004649464927280063,0.15925378009183655,0.003669619012853273,0.005475609521796768,0.07047205517877385,0.10146208380564468,0.046898115237564604,0.037272570078195545,0.023170473976445272,0.011277834348402467,0.008607273914964745,0.03684989144844281,0.038117927337701016,0.060327768064708256,0.08628407846452381,0.2091490710676478,0.01952006762858076,0.03083632730696075,0.00024976464485388766,0.0005379546196852966,3.8425329977521184e-05
Jyväskylä,1.0,0.030834969396004157,0.0019107812155508194,0.14585979905300844,0.004241514346607313,0.006351772722023329,0.07397452991632458,0.10906151245682369,0.044892859767556616,0.03980094279205031,0.03938099087654463,0.009532908481978814,0.01046730149397894,0.052997931736816134,0.03833111108778045,0.05164358680931033,0.0956965427458556,0.19276842801499228,0.020871610200632027,0.02899767976566683,0.0011443689697529633,0.0,3.149639366292559e-05
Kajaani,1.0,0.054699882147356445,0.032307879871581256,0.09009631405697566,0.004632828057056935,0.0049985776405087985,0.0614865688625188,0.10273499410736782,0.04982322103466493,0.040313731864916484,0.02023814361766977,0.010403543707075222,0.00800585199333523,0.042955256634291054,0.05632543585158695,0.0820091843784289,0.06839517210549843,0.21554842118096476,0.021944975007111796,0.03031657658389889,0.0,0.0,0.0
Kemi,1.0,0.0291417501895056,0.018234650046323592,0.1962435778657458,0.0076644487492630335,0.0061062915859513185,0.07142255537774783,0.0999326202307757,0.06615851090710015,0.03857491788090626,0.006864313989724585,0.007832898172323759,0.01145456076812937,0.03554282826581319,0.03769055840983745,0.042744041101659226,0.06893792638760213,0.20816137454729217,0.017266065863724415,0.024172492209214184,0.0013054830287206266,0.0,0.0
Kokkola,1.0,0.0574217435207001,0.0020419611802984404,0.2273981824301582,0.007135644564119825,0.005744418265454953,0.0669583754067093,0.10508246381689666,0.05205879053068552,0.0284079434533827,0.01774935487490183,0.01110737125546954,0.005071244249971951,0.03401772691574105,0.032716257152473914,0.031078200381465276,0.07671939863121284,0.198653651969034,0.011399079995512174,0.0290138000673174,2.2439133849433412e-05,0.0,0.0
Kotka,1.0,0.0180841849991339,0.001073965009527109,0.15122120214793003,0.004191927940412264,0.007587043131820544,0.06731335527455395,0.10174952364455223,0.10188809977481379,0.038939892603499046,0.014827645937987181,0.007690975229516716,0.0074484670015589815,0.04126104278538022,0.05813268664472545,0.06686298285120389,0.05799411051446388,0.21274900398406374,0.015416594491598823,0.02501299151221202,3.464403256539061e-05,0.0,0.0
Kouvola,1.0,0.035043682357543356,0.0021515191028817315,0.1439561872473595,0.00423784065719129,0.007758508280088668,0.0778132742208893,0.11086843134698135,0.06702307993219454,0.03810796714043552,0.010920589385839093,0.00981223106011214,0.007986699700091276,0.04208501760333812,0.04231320902334072,0.09150475942104577,0.05580910157778068,0.20048246185943408,0.02024383883165993,0.031294823314643366,0.0002933889685747816,0.0,0.0
Kuopio,1.0,0.05508937879828108,0.003191191802069825,0.11056017494342309,0.004310016019528568,0.005021995067002314,0.07783456658275485,0.1095812037531467,0.05278816080555344,0.03704833829175884,0.023749586797874235,0.015866961629414904,0.010310982276807282,0.04560480077300582,0.04205761944719912,0.049991100261906576,0.08032649324891296,0.2278968647494088,0.01795204312558802,0.02966155567421873,0.00010171129249624939,0.0,5.0855646248124696e-05
Lahti,1.0,0.030749969043655324,0.0008805360263060138,0.19150282734614696,0.003838586739677779,0.007374489220312866,0.08557709505661572,0.12020692596618192,0.048567065200941076,0.0370788217327298,0.022219776288815815,0.011777169351842934,0.008901668890937358,0.04393049268742347,0.047356328164770305,0.0316580218207834,0.06370127815307569,0.1961944333613087,0.02007346972469491,0.02731037519089746,0.0006604020197295104,0.0,2.751675082206293e-05
Lappeenranta,1.0,0.026030904680621688,0.002785014823465996,0.16557362321444613,0.004626718174467703,0.004132602641272123,0.0757119755637409,0.12290000898391878,0.06046177342556823,0.04557092803881053,0.021853382445422693,0.01051118497888779,0.009163597161081664,0.0434597071242476,0.05053454316772976,0.06050669301949511,0.07719432216332764,0.17318749438505077,0.01718174467702812,0.027962447219477136,0.0,0.0,2.245979696343545e-05
Mikkeli,1.0,0.05594354721373491,0.0011639749745380474,0.14207769532955042,0.007274843590862797,0.0055652553470100395,0.06470973374072457,0.11050487414520588,0.047904845045831514,0.03731994762112614,0.016113778553761095,0.011530627091517533,0.00960279353993889,0.0395387749163393,0.026298559580969008,0.06521897279208497,0.0736214171395315,0.22493816382947768,0.021315291721227994,0.031172704786847083,0.006765604539502401,0.0,0.00010912265386294194
Oulu,1.0,0.02336784704681933,0.0024588929963367512,0.1363431075723868,0.004482879748423465,0.004783968686750414,0.08494889851630062,0.10574076242410049,0.05075857685295151,0.034959771172406874,0.039108107656022614,0.014686449325058963,0.008664670558519981,0.06276031647792851,0.042938628038071025,0.04743823494973488,0.0884532392151615,0.20408811869595037,0.015982804476188883,0.027624910091497583,8.363581620193032e-06,0.0,8.363581620193032e-06
Pieksämäki,1.0,0.05986616024597576,0.0007234581298607343,0.2123801772472418,0.0019895098571170193,0.005968529571351058,0.07505878097305119,0.09775727979743172,0.046436968710435886,0.03183215771387231,0.0061041779706999455,0.007777174896002894,0.009224091155724362,0.033233857840477485,0.03368601917164044,0.035449448363175984,0.0628504250316513,0.23476216313980827,0.011801410743353228,0.028260083197684933,9.043226623259179e-05,0.0,0.0
Pori,1.0,0.01878855860908581,0.0010515984296130118,0.179005421574126,0.008833426808749299,0.006449803701626472,0.07786502149934567,0.11315199102636007,0.055781454477472424,0.039072723873621235,0.02147597681809684,0.011146943353897924,0.008412787436904094,0.04115255187885586,0.04070854365301926,0.04320901103009908,0.055524397083567024,0.23364180220601982,0.0179005421574126,0.02593942793045429,0.0,0.0,7.010656197420079e-05
Rovaniemi,1.0,0.03614828487924935,0.027354765933446136,0.050863969645695534,0.009075526842024303,0.004230118443316413,0.06947649079628775,0.11029072450392248,0.05499153976311337,0.06586166230836282,0.018022868276675385,0.008126954827462441,0.011331590011793057,0.04481361841767933,0.05622211967389632,0.08029533917858792,0.08167974157821874,0.20873711736655898,0.02274009126801005,0.03017484489565708,0.00010254832589857971,0.0,0.0
Savonlinna,1.0,0.08016304347826086,0.001358695652173913,0.15379140786749482,0.003946687370600414,0.00744047619047619,0.057971014492753624,0.10559006211180125,0.05480072463768116,0.044384057971014496,0.015075051759834368,0.010351966873706004,0.007634575569358178,0.03564958592132505,0.027303312629399584,0.044966356107660456,0.07569875776397515,0.22424948240165632,0.015139751552795032,0.03170289855072464,6.469979296066253e-05,0.0,0.0
Seinäjoki,1.0,0.08004926108374384,0.003707544723878662,0.18689395903551984,0.0037464350531501165,0.004744620171117449,0.0694062743064558,0.11696914700544464,0.05665024630541872,0.02851957479906663,0.010746694322011927,0.012911589318122894,0.007129893699766658,0.03248638838475499,0.02543427534353124,0.0393181228934405,0.0689784806844698,0.21055224267565464,0.012094892403422349,0.028610318900700028,0.0001944516463572725,0.0,2.5926886180969666e-05
