Region,Information,2019,2020,2021
Askola,"Inhabitants, total (HE)",4943.0,4878.0,4847.0
Askola,Males (HE),2496.0,2486.0,2453.0
Askola,Females (HE),2447.0,2392.0,2394.0
Askola,Average age of inhabitants (HE),42.0,42.0,43.0
Askola,0-2 years (HE),131.0,119.0,122.0
Askola,3-6 years (HE),256.0,235.0,215.0
Askola,7-12 years (HE),443.0,427.0,422.0
Askola,13-15 years (HE),195.0,200.0,192.0
Askola,16-17 years (HE),144.0,135.0,119.0
Askola,18-19 years (HE),109.0,111.0,107.0
Askola,20-24 years (HE),162.0,157.0,158.0
Askola,25-29 years (HE),218.0,232.0,224.0
Askola,30-34 years (HE),263.0,245.0,261.0
Askola,35-39 years (HE),327.0,323.0,306.0
Askola,40-44 years (HE),351.0,347.0,351.0
Askola,45-49 years (HE),321.0,303.0,312.0
Askola,50-54 years (HE),378.0,376.0,360.0
Askola,55-59 years (HE),343.0,354.0,336.0
Askola,60-64 years (HE),332.0,327.0,349.0
Askola,65-69 years (HE),317.0,301.0,303.0
Askola,70-74 years (HE),287.0,300.0,299.0
Askola,75-79 years (HE),149.0,174.0,184.0
Askola,80-84 years (HE),124.0,115.0,126.0
Askola,85 years or over (HE),93.0,97.0,101.0
Askola,"Aged 18 or over, total (KO)",3774.0,3762.0,3777.0
Askola,Basic level studies (KO),987.0,978.0,957.0
Askola,"With education, total (KO)",2787.0,2784.0,2820.0
Askola,Matriculation examination (KO),172.0,156.0,156.0
Askola,Vocational diploma (KO),2058.0,2052.0,2078.0
Askola,Academic degree - Lower level university degree (KO),347.0,359.0,365.0
Askola,Academic degree - Higher level university degree (KO),210.0,217.0,221.0
Askola,"Aged 18 or over, total (HR)",3774.0,3762.0,3777.0
Askola,Average income of inhabitants (HR),26391.0,26989.0,27856.0
Askola,Median income of inhabitants (HR),24471.0,24619.0,25168.0
Askola,Inhabitants belonging to the lowest income category (HR),713.0,702.0,699.0
Askola,Inhabitants belonging to the middle income category (HR),2134.0,2143.0,2159.0
Askola,Inhabitants belonging to the highest income category (HR),927.0,917.0,919.0
Askola,Accumulated purchasing power of inhabitants (HR),99599773.0,101533970.0,105210261.0
Askola,"Households, total (TE)",2084.0,2110.0,2111.0
Askola,Average size of households (TE),2.3,2.3,2.3
Askola,Average floor area per person (TE),43.8,44.8,45.2
Askola,One-person households (TE),662.0,697.0,690.0
Askola,Young one-person households (TE),94.0,102.0,94.0
Askola,Young couples without children (TE),48.0,63.0,67.0
Askola,Households with children (TE),563.0,543.0,526.0
Askola,Households with small children (TE),116.0,108.0,111.0
Askola,Households with children under school age (TE),254.0,242.0,233.0
Askola,Households with school-age children (TE),287.0,283.0,286.0
Askola,Households with teenagers (TE),245.0,244.0,222.0
Askola,One-parent households with children (TE),110.0,98.0,96.0
Askola,Adult households (TE),858.0,890.0,885.0
Askola,Pensioner households (TE),673.0,688.0,712.0
Askola,Households living in owner-occupied dwellings (TE),1791.0,1757.0,1766.0
Askola,Households living in rented dwellings (TE),253.0,288.0,289.0
Askola,Households living in other dwellings (TE),40.0,65.0,56.0
Askola,"Households, total (TR)",2084.0,2110.0,2111.0
Askola,Average income of households (TR),47414.0,47770.0,49474.0
Askola,Median income of households (TR),41701.0,40996.0,42348.0
Askola,Households belonging to the lowest income category (TR),411.0,402.0,389.0
Askola,Households belonging to the middle income category (TR),1230.0,1253.0,1274.0
Askola,Households belonging to the highest income category (TR),443.0,455.0,448.0
Askola,Accumulated purchasing power of households (TR),98811619.0,100795570.0,104439933.0
Askola,Free-time residences (RA),588.0,572.0,577.0
Askola,"Buildings, total (RA)",2377.0,2365.0,2404.0
Askola,Other buildings (RA),344.0,353.0,368.0
Askola,Residential buildings (RA),2033.0,2012.0,2036.0
Askola,Dwellings (RA),2304.0,2372.0,2363.0
Askola,Average floor area per dwelling (RA),101.4,100.7,100.8
Askola,Dwellings in small houses (RA),2187.0,2249.0,2255.0
Askola,Dwellings in blocks of flats (RA),55.0,48.0,44.0
Askola,Other dwellings (RA),62.0,75.0,64.0
