Region,Information,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MK01 Uusimaa,"Inhabitants, total (HE)",1532309.0,1549058.0,1566835.0,1585473.0,1603388.0,1620261.0,1638293.0,1655624.0,1671024.0,1689725.0,1702678.0,1714741.0
MK01 Uusimaa,Males (HE),741391.0,750126.0,759593.0,769181.0,778493.0,787495.0,797682.0,806972.0,815181.0,825227.0,832256.0,839306.0
MK01 Uusimaa,Females (HE),790918.0,798932.0,807242.0,816292.0,824895.0,832766.0,840611.0,848652.0,855843.0,864498.0,870422.0,875435.0
MK01 Uusimaa,Average age of inhabitants (HE),39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0
MK01 Uusimaa,0-2 years (HE),55759.0,55952.0,55756.0,55300.0,55183.0,54830.0,53901.0,52411.0,50959.0,49553.0,48816.0,49980.0
MK01 Uusimaa,3-6 years (HE),70831.0,72059.0,73569.0,74808.0,75710.0,75912.0,76141.0,75945.0,75362.0,74606.0,72965.0,70447.0
MK01 Uusimaa,7-12 years (HE),99514.0,100732.0,101870.0,103946.0,106143.0,108725.0,110966.0,113357.0,115274.0,116328.0,117405.0,117377.0
MK01 Uusimaa,13-15 years (HE),52216.0,50758.0,50338.0,50134.0,50460.0,50662.0,51432.0,52767.0,53938.0,55371.0,56339.0,57902.0
MK01 Uusimaa,16-17 years (HE),37284.0,36777.0,35623.0,34837.0,34086.0,33970.0,34650.0,34641.0,34646.0,35325.0,36553.0,36964.0
MK01 Uusimaa,18-19 years (HE),38006.0,38377.0,38153.0,37694.0,36515.0,35643.0,35041.0,35066.0,35606.0,35491.0,35307.0,36170.0
MK01 Uusimaa,20-24 years (HE),98150.0,100485.0,103332.0,104314.0,105051.0,104363.0,103280.0,101404.0,99076.0,97640.0,95659.0,94309.0
MK01 Uusimaa,25-29 years (HE),113459.0,113827.0,113300.0,114269.0,115893.0,118351.0,121965.0,125526.0,126901.0,128407.0,127804.0,125776.0
MK01 Uusimaa,30-34 years (HE),116553.0,117545.0,119561.0,121897.0,123341.0,124580.0,125189.0,125209.0,126772.0,129666.0,132694.0,135675.0
MK01 Uusimaa,35-39 years (HE),105693.0,108855.0,112851.0,116902.0,119262.0,120125.0,121230.0,123362.0,125614.0,127942.0,129610.0,130241.0
MK01 Uusimaa,40-44 years (HE),112063.0,109352.0,106368.0,103666.0,104779.0,107314.0,110647.0,114339.0,118076.0,120602.0,121608.0,122754.0
MK01 Uusimaa,45-49 years (HE),113922.0,115341.0,116501.0,116468.0,114393.0,112437.0,109878.0,106946.0,103968.0,104935.0,107403.0,110718.0
MK01 Uusimaa,50-54 years (HE),102654.0,103420.0,105181.0,108341.0,111086.0,112859.0,114328.0,115167.0,114926.0,113088.0,111021.0,108405.0
