Business_ID,business_line_code
1946868-2,45322
2456941-0,66190
2341310-7,49410
0587677-3,56103
2447577-2,74109
0786385-3,64990
0762279-3,70220
2293835-8,02300
1043464-6,82300
1046653-3,68209
0174074-8,68209
1047394-4,32200
1639623-0,41200
0762788-5,69201
1051694-0,64990
1050521-3,43390
2235930-5,43220
1049655-6,73111
0424581-4,47521
1968038-4,47112
2377488-5,45201
1043465-4,68209
1911659-9,35301
1944894-8,49410
1043479-3,68310
1044850-3,68209
1044849-0,70220
1044802-8,62020
1491395-1,46181
1044456-1,85520
0174090-8,35301
0356671-2,28290
0398397-0,69201
0888264-2,68209
1718071-4,36000
1043709-7,41200
1043587-6,70220
1043552-6,22290
1043515-5,59200
2408256-5,25110
1049185-1,47781
1048728-9,46495
1043460-3,71110
0219675-6,68209
0232997-7,56290
1035399-3,68209
1035357-1,46450
1035351-2,66120
1035348-3,47523
1035345-9,49410
1035342-4,47761
1035184-0,46901
0301880-4,86909
0397745-8,47783
0401994-8,46733
1034557-1,69102
0219692-4,68209
0669560-8,43120
1048908-1,74909
1835182-9,81100
1048601-6,71126
2188061-7,43999
1048238-1,56102
1048182-1,73120
2290339-0,66120
1047929-7,66190
2468742-5,08920
0985828-1,16239
1047482-4,68209
1048865-2,68209
0751419-4,55101
1977464-7,41200
1466830-0,36000
1045490-3,70220
1880709-9,73111
1888388-4,43220
1882846-3,77350
1882206-1,70220
0949066-7,70220
1881524-0,41200
0952474-0,71123
0955319-7,78200
1880628-0,47719
1045706-3,66190
0985261-3,47719
0990428-4,74901
1056201-5,43120
1066347-3,82300
1069743-8,25990
1070624-2,43210
0832406-9,10820
0796071-7,66190
0688834-6,41200
0664824-6,46480
1883799-2,46462
1915613-6,81210
1915055-1,58190
0146639-8,68209
1904229-4,41200
2333990-4,68202
0145952-6,28990
1888102-9,46495
1888002-6,68209
0146874-8,68320
0228475-6,68202
0433125-3,16239
0492519-0,31010
0548836-7,47783
0617850-4,47912
1884513-2,74101
1522810-4,32120
1888614-5,85599
0897983-1,93120
1892654-9,41200
1891724-7,62010
0860936-3,68310
1891129-1,52299
1891062-7,68310
1890877-0,41200
1837338-2,68209
2079924-3,45201
2339991-5,41100
1894125-5,70220
0112123-4,56302
1567090-4,72193
1567014-6,73111
0617366-6,68202
0472543-9,46462
1046139-6,30120
0672824-6,68209
1893067-9,58190
1901402-3,47641
0630263-2,68209
0905027-4,43999
1929863-6,47591
1900189-8,43999
0838836-1,81300
1898267-1,63110
1898113-4,66190
1897369-5,46170
1896685-8,66300
1895724-9,70220
0146429-6,68209
0146431-7,68320
0146433-3,68209
1888798-1,73111
1894598-5,73111
0626072-7,41200
1034474-7,70220
1034261-0,62010
0581377-2,86901
1065679-1,96022
0112093-6,43991
1070710-6,86909
1070611-1,45201
0179213-4,68209
1070534-6,69201
0357150-3,49410
1072049-0,56101
1065237-9,18200
0595320-6,22290
1065222-1,56101
0990662-6,55902
1460945-8,01491
1774921-0,85599
2161913-6,28990
1056789-5,63110
2233003-5,79900
9104335-5,68201
1071052-4,41200
2442802-8,70220
2004665-5,02200
1045368-7,25990
1074051-2,47799
1070760-8,46190
1073806-8,74901
1073648-4,46741
1093133-5,68202
1073541-4,59110
1494838-8,30110
1072643-8,46190
1557021-7,46189
1615982-5,62010
1071948-1,52291
1964513-2,41200
2002535-2,68209
1056507-2,46150
1056336-8,74909
1056321-0,46190
1053886-7,71126
1033961-4,46901
2188408-7,79900
1058117-9,68209
1031361-7,93120
1064879-1,68209
1064672-9,46462
1067436-7,46770
1623980-9,70220
1063063-9,43999
1063005-7,68320
1062937-1,66190
1062927-5,70220
1062904-8,68209
1062881-1,47719
1055729-1,49410
1054032-6,46189
1056150-6,49320
1054500-4,41200
1056126-6,46732
1855670-1,41200
