Name of region in Finnish,Year,Tax_Revenue,Total_Amount_Paid,Tax_Advance,Tax_Return,Residual_Tax
Ahvenanmaa,2011,109268647.71,27729444.82,28926652.13,3578614.36,2381148.89
Ahvenanmaa,2012,81264498.11,19704383.09,22192063.91,4044618.9,1556692.97
Ahvenanmaa,2013,76378612.14,18285727.57,19030242.2,2535048.73,1790333.99
Ahvenanmaa,2014,95489159.03,18678543.04,17419659.02,2198146.87,3456803.95
Ahvenanmaa,2015,168165773.47,30480073.24,30603297.99,2922105.9,2798671.76
Ahvenanmaa,2016,163486710.56,32216216.39,33321813.919999998,3321706.38,2215885.38
Ahvenanmaa,2017,163530869.69,31925716.72,33654660.23,5804994.9,4076190.8
Ahvenanmaa,2018,166375767.74,31519527.56,33099170.86,5325002.47,3736632.88
Ahvenanmaa,2019,176390297.35999998,32697422.78,30681808.1,2998321.28,5013860.99
Ahvenanmaa,2020,160696747.12,27656605.9,22017016.46,2314772.98,7954236.1
Ahvenanmaa,2021,190331577.87,34540813.49,30680787.61,2817409.08,6677989.2
Etelä-Karjala,2011,232498479.42,60157711.6,61815538.13,5858987.25,4200388.0200000005
Etelä-Karjala,2012,225776595.22,54656854.41,55822454.2,5934192.99,4767951.44
Etelä-Karjala,2013,203063936.59,49893696.730000004,48860841.17,3033880.8,4066267.26
Etelä-Karjala,2014,245239063.79,49580349.28,52489836.129999995,5910152.71,3000208.36
Etelä-Karjala,2015,197970826.26000002,39752354.61,40406409.99,3442956.3,2788311.81
Etelä-Karjala,2016,189778980.76,38094301.25,38215356.51,3536371.42,3414670.57
Etelä-Karjala,2017,174885567.79,35248204.49,33599985.54,3178338.09,4746745.57
Etelä-Karjala,2018,209358388.62,42098282.81,37276571.28,3915354.5,8713388.18
Etelä-Karjala,2019,190530991.2,38344530.11,39425188.74,6407199.71,5326531.9799999995
Etelä-Karjala,2020,218163379.48,43924527.97,41836723.56,3851427.31,5938870.72
Etelä-Karjala,2021,400359438.51,80522063.64,77201863.63,4393277.71,7714072.43
Etelä-Pohjanmaa,2011,338361278.35,88165167.55,89064353.19,8940423.15,8039660.96
Etelä-Pohjanmaa,2012,349627643.21,85965235.26,86315145.16,7310867.3,6959450.46
Etelä-Pohjanmaa,2013,356361792.17,88200396.48,88951300.34,8472649.3,7720696.98
Etelä-Pohjanmaa,2014,380570464.73,77241609.4,78730637.27,8445656.02,6955356.57
Etelä-Pohjanmaa,2015,380140919.21,76868660.35,79756474.03,9233768.23,6344810.06
