"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202303","TOTAL In total","Imports by countries of origin",19869093264,-10.6,100.0,100.0,19869093264,-10.6,100.0,100.0
"202303","TOTAL In total","Exports by countries of destination",18966719157,2.4,100.0,100.0,18966719157,2.4,100.0,100.0
"202303","A Agricultural, forestry and fishery products","Imports by countries of origin",527870758,-5.8,2.7,100.0,527870758,-5.8,2.7,100.0
"202303","A Agricultural, forestry and fishery products","Exports by countries of destination",186747905,26.9,1.0,100.0,186747905,26.9,1.0,100.0
"202303","B Mining and quarrying products","Imports by countries of origin",2672190054,-15.1,13.4,100.0,2672190054,-15.1,13.4,100.0
"202303","B Mining and quarrying products","Exports by countries of destination",167051786,-42.0,0.9,100.0,167051786,-42.0,0.9,100.0
"202303","C Industrial products","Imports by countries of origin",15125893501,-8.4,76.1,100.0,15125893501,-8.4,76.1,100.0
"202303","C Industrial products","Exports by countries of destination",17659874652,1.7,93.1,100.0,17659874652,1.7,93.1,100.0
"202303","C 16-18 Forest industry products","Imports by countries of origin",365703257,-14.6,1.8,100.0,365703257,-14.6,1.8,100.0
"202303","C 16-18 Forest industry products","Exports by countries of destination",3223576009,3.4,17.0,100.0,3223576009,3.4,17.0,100.0
"202303","C 19-22 Chemical industry products","Imports by countries of origin",3621224133,-15.8,18.2,100.0,3621224133,-15.8,18.2,100.0
"202303","C 19-22 Chemical industry products","Exports by countries of destination",3891149974,-1.9,20.5,100.0,3891149974,-1.9,20.5,100.0
"202303","C 24-25 Metals and metal products","Imports by countries of origin",1972321428,-24.7,9.9,100.0,1972321428,-24.7,9.9,100.0
"202303","C 24-25 Metals and metal products","Exports by countries of destination",3210169683,-11.6,16.9,100.0,3210169683,-11.6,16.9,100.0
"202303","C 26-27 Electrical and electronics products","Imports by countries of origin",2803442850,-2.0,14.1,100.0,2803442850,-2.0,14.1,100.0
"202303","C 26-27 Electrical and electronics products","Exports by countries of destination",2547366079,24.6,13.4,100.0,2547366079,24.6,13.4,100.0
"202303","C 28 Machinery and equipment","Imports by countries of origin",1919688671,4.1,9.7,100.0,1919688671,4.1,9.7,100.0
"202303","C 28 Machinery and equipment","Exports by countries of destination",2700545714,20.7,14.2,100.0,2700545714,20.7,14.2,100.0
"202303","C 29-30 Vehicles","Imports by countries of origin",2006827341,0.3,10.1,100.0,2006827341,0.3,10.1,100.0
"202303","C 29-30 Vehicles","Exports by countries of destination",887573202,-24.0,4.7,100.0,887573202,-24.0,4.7,100.0
"202303","D Electricity, gas, heat, cooling","Imports by countries of origin",286643453,-51.2,1.4,100.0,286643453,-51.2,1.4,100.0
"202303","D Electricity, gas, heat, cooling","Exports by countries of destination",136100569,-18.2,0.7,100.0,136100569,-18.2,0.7,100.0
"202303","ZZ Other products","Imports by countries of origin",7179885585,-12.1,36.1,100.0,7179885585,-12.1,36.1,100.0
"202303","ZZ Other products","Exports by countries of destination",2506338496,6.2,13.2,100.0,2506338496,6.2,13.2,100.0
"202303","X Unspecified","Imports by countries of origin",900714118,2.2,4.5,100.0,900714118,2.2,4.5,100.0
"202303","X Unspecified","Exports by countries of destination",657787616,68.0,3.5,100.0,657787616,68.0,3.5,100.0
"202212","TOTAL In total","Imports by countries of origin",22934872425,7.3,100.0,100.0,92361002220,26.6,100.0,100.0
"202212","TOTAL In total","Exports by countries of destination",21796561280,8.1,100.0,100.0,81838813293,18.8,100.0,100.0
"202212","A Agricultural, forestry and fishery products","Imports by countries of origin",574118376,3.4,2.5,100.0,2187180290,10.3,2.4,100.0
"202212","A Agricultural, forestry and fishery products","Exports by countries of destination",200848564,32.0,0.9,100.0,803030898,6.7,1.0,100.0
"202212","B Mining and quarrying products","Imports by countries of origin",3167715204,15.2,13.8,100.0,13124648161,63.3,14.2,100.0
"202212","B Mining and quarrying products","Exports by countries of destination",274230441,-14.5,1.3,100.0,1135919424,8.0,1.4,100.0
"202212","C Industrial products","Imports by countries of origin",16942763735,6.7,73.9,100.0,68121052552,21.3,73.8,100.0
"202212","C Industrial products","Exports by countries of destination",20312608483,8.0,93.2,100.0,76316277215,18.5,93.3,100.0
"202212","C 16-18 Forest industry products","Imports by countries of origin",391652520,-6.6,1.7,100.0,1660358144,10.1,1.8,100.0
"202212","C 16-18 Forest industry products","Exports by countries of destination",3731273389,6.0,17.1,100.0,14476779796,11.0,17.7,100.0
"202212","C 19-22 Chemical industry products","Imports by countries of origin",4322002997,20.9,18.8,100.0,17713814011,33.9,19.2,100.0
"202212","C 19-22 Chemical industry products","Exports by countries of destination",4274439924,9.0,19.6,100.0,17528574423,38.3,21.4,100.0
"202212","C 24-25 Metals and metal products","Imports by countries of origin",2143901616,-3.6,9.3,100.0,9950770263,35.8,10.8,100.0
"202212","C 24-25 Metals and metal products","Exports by countries of destination",3443773438,8.7,15.8,100.0,14363346087,25.5,17.6,100.0
"202212","C 26-27 Electrical and electronics products","Imports by countries of origin",3237767304,4.1,14.1,100.0,12076293954,15.9,13.1,100.0
"202212","C 26-27 Electrical and electronics products","Exports by countries of destination",2578015607,20.7,11.8,100.0,9339686522,21.0,11.4,100.0
"202212","C 28 Machinery and equipment","Imports by countries of origin",2026428656,14.4,8.8,100.0,7811083928,19.1,8.5,100.0
"202212","C 28 Machinery and equipment","Exports by countries of destination",2806872839,16.9,12.9,100.0,9867930670,9.9,12.1,100.0
"202212","C 29-30 Vehicles","Imports by countries of origin",2053044401,-10.5,9.0,100.0,8249585104,3.7,8.9,100.0
"202212","C 29-30 Vehicles","Exports by countries of destination",2159734965,-13.8,9.9,100.0,5674550523,-8.3,6.9,100.0
"202212","D Electricity, gas, heat, cooling","Imports by countries of origin",832061439,21.0,3.6,100.0,3005006430,73.7,3.3,100.0
"202212","D Electricity, gas, heat, cooling","Exports by countries of destination",239144150,6.6,1.1,100.0,898035332,58.5,1.1,100.0
"202212","ZZ Other products","Imports by countries of origin",8760074932,9.9,38.2,100.0,34899096817,34.5,37.8,100.0
"202212","ZZ Other products","Exports by countries of destination",2802451118,11.8,12.9,100.0,10587945272,19.4,12.9,100.0
"202212","X Unspecified","Imports by countries of origin",1030034349,-1.5,4.5,100.0,4017696614,13.2,4.3,100.0
"202212","X Unspecified","Exports by countries of destination",572133192,32.8,2.6,100.0,1905506402,32.2,2.3,100.0
"202209","TOTAL In total","Imports by countries of origin",23366132038,28.0,100.0,100.0,69426129795,34.6,100.0,100.0
