"INTERNATIONAL TRADE IN GOODS BY REGION, CC BY 4.0"

,,,"Cum. statistical value (euro) from the beginning of the year","Cum. change %","Share of total%","Share of enterprises in industrial sector %","Share of enterprises in trade sector %","Share of enterprises in other industries %","Share of private domestic enterprises %","Share of state or municipal enterprises %","Share of foreign-owned enterprises %","Number of places of enterprises","Number of enterprise places engaged in Extra-EU trade"
"202306","1 Uusimaa","Imports by countries of origin",22243000000,-13.2,56.9,35.3,56.8,7.9,55.7,3.6,40.7,11278,4709
"202306","1 Uusimaa","Exports by countries of destination",11390000000,0.6,29.9,68.3,15.7,16.0,57.2,3.3,39.5,5422,3162
"202306","2 Varsinais-Suomi","Imports by countries of origin",2150000000,-34.5,5.5,67.2,30.2,2.6,62.6,0.8,36.6,2955,1065
"202306","2 Varsinais-Suomi","Exports by countries of destination",3255000000,-22.6,8.5,91.3,6.8,1.8,60.3,0.2,39.5,1344,749
"202306","3 Satakunta","Imports by countries of origin",1151000000,-20.5,2.9,85.8,7.5,6.7,27.6,0.3,72.1,1079,369
"202306","3 Satakunta","Exports by countries of destination",2723000000,-10.8,7.1,72.1,26.2,1.7,22.6,0.3,77.1,494,280
"202306","4 Kanta-Häme","Imports by countries of origin",527000000,-7.0,1.3,45.2,51.9,3.0,68.8,2.7,28.5,803,265
"202306","4 Kanta-Häme","Exports by countries of destination",963000000,-3.6,2.5,90.1,2.8,7.0,26.5,5.4,68.0,348,171
"202306","5 Pirkanmaa","Imports by countries of origin",2060000000,-12.9,5.3,53.1,37.7,9.2,51.4,5.8,42.7,2593,1030
"202306","5 Pirkanmaa","Exports by countries of destination",4089000000,22.0,10.7,79.3,2.5,18.2,51.9,16.1,32.0,1340,780
"202306","6 Päijät-Häme","Imports by countries of origin",580000000,-16.4,1.5,79.1,16.6,4.3,60.7,1.3,38.0,1069,397
"202306","6 Päijät-Häme","Exports by countries of destination",1099000000,-9.1,2.9,97.1,1.8,1.1,91.0,0,9.0,522,328
"202306","7 Kymenlaakso","Imports by countries of origin",345000000,-37.3,0.9,52.8,31.1,16.1,29.0,0,71.0,651,200
"202306","7 Kymenlaakso","Exports by countries of destination",1629000000,18.1,4.3,88.4,4.0,7.6,63.2,0,36.8,301,189
"202306","8 Etelä-Karjala","Imports by countries of origin",260000000,6.8,0.7,81.7,9.6,8.7,80.3,0,19.7,460,146
"202306","8 Etelä-Karjala","Exports by countries of destination",1503000000,16.3,3.9,93.2,1.4,5.4,86.4,0,13.6,265,165
"202306","9 Etelä-Savo","Imports by countries of origin",158000000,4.2,0.4,74.3,20.4,5.3,49.2,0.4,50.5,429,130
"202306","9 Etelä-Savo","Exports by countries of destination",251000000,-2.7,0.7,97.8,0.8,1.4,54.4,0,45.6,209,115
"202306","10 Pohjois-Savo","Imports by countries of origin",265000000,-19.0,0.7,76.9,18.1,5.0,75.1,0.3,24.6,786,264
"202306","10 Pohjois-Savo","Exports by countries of destination",962000000,-17.4,2.5,98.2,1.4,0.4,75.4,0,24.5,382,215
"202306","11 Pohjois-Karjala","Imports by countries of origin",178000000,-20.7,0.5,66.0,29.9,4.1,70.1,1.3,28.6,542,169
"202306","11 Pohjois-Karjala","Exports by countries of destination",559000000,-10.4,1.5,98.4,1.2,0.4,64.3,0,35.7,265,161
"202306","12 Keski-Suomi","Imports by countries of origin",644000000,6.3,1.6,46.2,43.2,10.6,32.8,1.2,66.0,941,333
"202306","12 Keski-Suomi","Exports by countries of destination",1694000000,31.5,4.4,68.5,28.9,2.6,51.5,0.9,47.6,440,268
"202306","13 Etelä-Pohjanmaa","Imports by countries of origin",394000000,-18.8,1.0,54.9,43.0,2.0,78.7,0,21.3,1069,330
"202306","13 Etelä-Pohjanmaa","Exports by countries of destination",426000000,-2.2,1.1,91.0,5.4,3.7,60.5,0,39.5,495,249
"202306","14 Pohjanmaa","Imports by countries of origin",1196000000,4.7,3.1,53.7,9.7,36.6,38.7,0.6,60.7,1176,347
"202306","14 Pohjanmaa","Exports by countries of destination",2099000000,13.4,5.5,95.1,2.5,2.4,62.1,0,37.9,588,312
"202306","15 Keski-Pohjanmaa","Imports by countries of origin",1253000000,-26.2,3.2,12.9,86.9,0.2,4.8,0,95.2,345,107
"202306","15 Keski-Pohjanmaa","Exports by countries of destination",1038000000,-28.9,2.7,39.5,60.3,0.2,8.4,0,91.6,162,83
"202306","16 Pohjois-Pohjanmaa","Imports by countries of origin",1012000000,-24.1,2.6,71.7,25.1,3.2,45.4,0.1,54.5,1657,526
"202306","16 Pohjois-Pohjanmaa","Exports by countries of destination",1139000000,-10.3,3.0,90.8,5.4,3.8,38.8,0,61.2,706,382
"202306","17 Kainuu","Imports by countries of origin",55000000,6.2,0.1,34.4,3.3,62.3,17.3,61.1,21.6,201,48
"202306","17 Kainuu","Exports by countries of destination",413000000,-1.5,1.1,14.7,53.4,31.9,12.1,22.2,65.8,71,42
"202306","18 Lappi","Imports by countries of origin",1304000000,-27.1,3.3,96.1,2.9,1.0,89.2,0,10.8,821,174
"202306","18 Lappi","Exports by countries of destination",2325000000,-15.4,6.1,88.9,0.9,10.2,84.5,0,15.5,364,151
"202306","19 Ahvenanmaa","Imports by countries of origin",134000000,-69.7,0.3,16.0,16.3,67.7,79.7,8.9,11.4,412,109
"202306","19 Ahvenanmaa","Exports by countries of destination",119000000,99.6,0.3,41.1,7.3,51.7,78.6,0.1,21.3,114,41
"202306","20 Unknown","Imports by countries of origin",3176000000,4.1,8.1,6.7,33.5,59.8,1.0,0.7,98.2,917,100
"202306","20 Unknown","Exports by countries of destination",469000000,-56.4,1.2,12.7,23.6,63.7,0.8,0,99.2,280,61
"202306","21 Total","Imports by countries of origin",39085000000,-15.2,100.0,42.5,45.7,11.7,50.1,2.7,47.2,30184,10818
"202306","21 Total","Exports by countries of destination",38146000000,-3.3,100.0,77.1,12.2,10.7,54.7,3.1,42.2,14112,7904
"202212","1 Uusimaa","Imports by countries of origin",52476000000,28.1,56.7,36.2,52.6,11.2,53.2,8.1,38.8,12834,6084
"202212","1 Uusimaa","Exports by countries of destination",23877000000,23.4,29.2,67.6,16.6,15.8,57.2,4.9,37.9,6718,4004
"202212","2 Varsinais-Suomi","Imports by countries of origin",5798000000,0.5,6.3,73.1,25.0,2.0,65.4,0.5,34.1,3408,1391
"202212","2 Varsinais-Suomi","Exports by countries of destination",8734000000,8.6,10.7,93.9,5.0,1.2,56.8,0,43.2,1650,931
"202212","3 Satakunta","Imports by countries of origin",2963000000,29.9,3.2,87.6,6.4,6.0,23.7,0.3,76.0,1234,460
"202212","3 Satakunta","Exports by countries of destination",6587000000,35.6,8.0,69.9,28.8,1.3,24.0,0.2,75.8,621,335
"202212","4 Kanta-Häme","Imports by countries of origin",1096000000,-3.1,1.2,46.9,49.8,3.2,67.9,1.5,30.6,946,373
"202212","4 Kanta-Häme","Exports by countries of destination",1913000000,4.6,2.3,89.7,2.3,8.0,25.7,4.2,70.2,469,228
"202212","5 Pirkanmaa","Imports by countries of origin",4760000000,10.6,5.1,53.8,38.6,7.7,56.9,4.7,38.4,2964,1357
"202212","5 Pirkanmaa","Exports by countries of destination",6985000000,17.8,8.5,90.3,3.5,6.2,64.5,3.4,32.1,1648,972
"202212","6 Päijät-Häme","Imports by countries of origin",1382000000,13.5,1.5,80.0,16.4,3.5,62.7,0.5,36.7,1202,499
"202212","6 Päijät-Häme","Exports by countries of destination",2378000000,15.8,2.9,97.4,1.5,1.1,91.2,0,8.8,637,403
"202212","7 Kymenlaakso","Imports by countries of origin",1111000000,10.3,1.2,46.2,28.3,25.5,27.1,0.1,72.8,758,284
"202212","7 Kymenlaakso","Exports by countries of destination",3310000000,4.0,4.0,87.0,5.6,7.4,61.7,0,38.3,423,269
"202212","8 Etelä-Karjala","Imports by countries of origin",517000000,-1.0,0.6,83.7,12.1,4.2,76.7,0.1,23.2,545,237
"202212","8 Etelä-Karjala","Exports by countries of destination",2985000000,15.5,3.6,94.4,1.0,4.6,85.7,0,14.3,385,283
"202212","9 Etelä-Savo","Imports by countries of origin",316000000,1.4,0.3,70.4,22.2,7.5,51.6,0.3,48.1,520,181
"202212","9 Etelä-Savo","Exports by countries of destination",516000000,7.9,0.6,95.3,0.9,3.8,58.3,0,41.7,274,152
"202212","10 Pohjois-Savo","Imports by countries of origin",655000000,2.2,0.7,78.4,16.7,4.9,76.6,0.6,22.8,963,360
"202212","10 Pohjois-Savo","Exports by countries of destination",2157000000,12.1,2.6,98.3,1.3,0.4,79.2,0,20.8,465,266
"202212","11 Pohjois-Karjala","Imports by countries of origin",443000000,-0.5,0.5,63.5,32.6,4.0,68.3,1.1,30.6,647,240
"202212","11 Pohjois-Karjala","Exports by countries of destination",1207000000,17.3,1.5,98.3,1.3,0.4,65.7,0,34.3,335,211
"202212","12 Keski-Suomi","Imports by countries of origin",1233000000,-3.7,1.3,47.2,41.1,11.7,36.2,1.3,62.5,1095,437
"202212","12 Keski-Suomi","Exports by countries of destination",2996000000,5.1,3.7,71.3,25.6,3.1,55.3,0.7,43.9,544,325
"202212","13 Etelä-Pohjanmaa","Imports by countries of origin",942000000,14.8,1.0,53.7,43.6,2.7,77.2,0.1,22.7,1240,449
"202212","13 Etelä-Pohjanmaa","Exports by countries of destination",843000000,9.1,1.0,88.7,7.4,3.9,62.8,0,37.2,635,323
"202212","14 Pohjanmaa","Imports by countries of origin",2300000000,18.7,2.5,53.4,11.2,35.5,39.7,2.4,57.9,1387,458
"202212","14 Pohjanmaa","Exports by countries of destination",3917000000,7.2,4.8,94.1,3.0,2.9,63.5,0.1,36.4,725,392
"202212","15 Keski-Pohjanmaa","Imports by countries of origin",3554000000,21.4,3.8,27.2,72.5,0.3,4.1,0,95.9,418,146
"202212","15 Keski-Pohjanmaa","Exports by countries of destination",2862000000,20.6,3.5,41.9,57.8,0.3,5.1,0,94.9,221,115
"202212","16 Pohjois-Pohjanmaa","Imports by countries of origin",2785000000,17.9,3.0,78.6,18.5,2.9,37.4,0.2,62.4,1900,666
"202212","16 Pohjois-Pohjanmaa","Exports by countries of destination",2463000000,12.2,3.0,90.1,6.9,3.0,42.9,0,57.1,908,484
"202212","17 Kainuu","Imports by countries of origin",110000000,17.3,0.1,33.7,8.5,57.8,29.4,54.4,16.2,243,71
"202212","17 Kainuu","Exports by countries of destination",814000000,56.6,1.0,16.6,37.5,45.8,14.4,36.4,49.2,111,61
"202212","18 Lappi","Imports by countries of origin",2996000000,24.4,3.2,95.4,3.1,1.5,87.8,0.1,12.2,969,269
"202212","18 Lappi","Exports by countries of destination",5127000000,20.8,6.3,88.9,0.8,10.4,82.2,0,17.8,502,217
"202212","19 Ahvenanmaa","Imports by countries of origin",1098000000,185.0,1.2,3.5,4.7,91.7,61.4,35.4,3.2,500,147
"202212","19 Ahvenanmaa","Exports by countries of destination",163000000,44.1,0.2,57.1,11.4,31.5,69.2,0.1,30.6,168,57
"202212","20 Unknown","Imports by countries of origin",5936000000,179.1,6.4,6.7,31.2,62.1,0.7,0.1,99.2,1211,132
"202212","20 Unknown","Exports by countries of destination",2051000000,118.7,2.5,9.6,27.9,62.5,0.3,0,99.7,468,91
"202212","21 Total","Imports by countries of origin",92469000000,26.8,100.0,44.2,42.1,13.7,48.9,5.5,45.6,34984,14241
"202212","21 Total","Exports by countries of destination",81885000000,18.8,100.0,77.9,12.9,9.2,55.1,2.2,42.7,17907,10119
"202112","1 Uusimaa","Imports by countries of origin",40962000000,20.9,56.2,29.6,58.6,11.8,50.6,5.8,43.5,14210,7428
"202112","1 Uusimaa","Exports by countries of destination",19341000000,16.7,28.1,60.2,21.0,18.8,52.4,5.6,42.0,6926,4248
"202112","2 Varsinais-Suomi","Imports by countries of origin",5771000000,19.6,7.9,71.3,25.7,3.0,68.8,0.2,31.0,3735,1697
"202112","2 Varsinais-Suomi","Exports by countries of destination",8039000000,16.2,11.7,93.5,4.7,1.8,56.4,0,43.6,1751,1028
"202112","3 Satakunta","Imports by countries of origin",2281000000,23.8,3.1,82.9,7.2,9.9,28.3,0.4,71.3,1365,580
"202112","3 Satakunta","Exports by countries of destination",4859000000,22.8,7.1,68.1,29.9,2.0,26.4,0.2,73.4,639,363
"202112","4 Kanta-Häme","Imports by countries of origin",1131000000,12.8,1.6,37.9,54.8,7.3,67.0,1.1,31.9,1061,486
"202112","4 Kanta-Häme","Exports by countries of destination",1829000000,39.0,2.7,91.2,2.7,6.1,25.6,0.9,73.4,466,243
"202112","5 Pirkanmaa","Imports by countries of origin",4303000000,22.0,5.9,48.6,43.4,8.0,56.4,4.7,38.9,3349,1706
"202112","5 Pirkanmaa","Exports by countries of destination",5927000000,21.7,8.6,92.1,4.3,3.6,64.5,1.2,34.2,1661,1018
"202112","6 Päijät-Häme","Imports by countries of origin",1218000000,6.4,1.7,72.0,23.9,4.1,67.5,0.2,32.3,1371,646
"202112","6 Päijät-Häme","Exports by countries of destination",2054000000,24.7,3.0,96.6,2.1,1.3,90.8,0.2,9.1,677,425
"202112","7 Kymenlaakso","Imports by countries of origin",1007000000,17.7,1.4,45.5,29.9,24.6,40.3,0.2,59.5,884,387
"202112","7 Kymenlaakso","Exports by countries of destination",3181000000,5.9,4.6,84.3,5.4,10.2,74.1,0,25.9,414,267
"202112","8 Etelä-Karjala","Imports by countries of origin",523000000,14.4,0.7,75.4,16.9,7.8,85.7,0.3,14.0,630,301
"202112","8 Etelä-Karjala","Exports by countries of destination",2583000000,32.9,3.7,95.6,1.2,3.1,87.8,0,12.2,385,281
"202112","9 Etelä-Savo","Imports by countries of origin",311000000,8.7,0.4,68.5,21.9,9.5,56.8,1.5,41.7,563,204
"202112","9 Etelä-Savo","Exports by countries of destination",478000000,20.0,0.7,93.6,2.0,4.3,57.9,0,42.1,277,169
"202112","10 Pohjois-Savo","Imports by countries of origin",641000000,13.6,0.9,70.3,20.0,9.8,78.6,1.5,19.8,1061,478
"202112","10 Pohjois-Savo","Exports by countries of destination",1925000000,32.1,2.8,97.3,1.6,1.1,79.8,0,20.2,466,277
"202112","11 Pohjois-Karjala","Imports by countries of origin",445000000,16.9,0.6,53.4,40.3,6.3,74.4,1.0,24.6,723,301
"202112","11 Pohjois-Karjala","Exports by countries of destination",1029000000,26.9,1.5,97.4,2.0,0.6,62.5,0,37.5,363,238
"202112","12 Keski-Suomi","Imports by countries of origin",1281000000,26.9,1.8,46.1,38.4,15.5,33.9,8.9,57.2,1248,595
"202112","12 Keski-Suomi","Exports by countries of destination",2850000000,15.1,4.1,74.6,22.8,2.6,54.5,1.7,43.8,578,342
"202112","13 Etelä-Pohjanmaa","Imports by countries of origin",821000000,18.0,1.1,49.4,44.8,5.7,87.3,0.2,12.6,1407,560
"202112","13 Etelä-Pohjanmaa","Exports by countries of destination",773000000,21.4,1.1,86.3,8.9,4.8,68.6,0,31.4,629,339
"202112","14 Pohjanmaa","Imports by countries of origin",1938000000,50.9,2.7,47.2,14.7,38.1,42.9,0.4,56.7,1538,574
"202112","14 Pohjanmaa","Exports by countries of destination",3656000000,13.3,5.3,92.4,4.3,3.3,63.5,0.1,36.4,736,404
