,NACE code,meaning
0,*A-X,ALL GROUPS
1,A,"AGRICULTURE, FORESTRY AND FISHING"
2,A 01,"Crop and animal production, hunting and related service activities"
3,A 011,Growing of non-perennial crops
4,A 012,Growing of perennial crops
5,A 013,Plant propagation
6,A 014,Animal production
7,A 015,Mixed farming
8,A 016,Support activities to agriculture and post-harvest crop activities
9,A 017,"Hunting, trapping and related service activities"
10,A 02,Forestry and logging
11,A 021,Silviculture and other forestry activities
12,A 022,Logging
13,A 023,Gathering of wild growing non-wood products
14,A 024,Support services to forestry
15,A 03,Fishing and aquaculture
16,A 031,Fishing
17,A 032,Aquaculture
18,B,MINING AND QUARRYING
19,B 05,Mining of coal and lignite
20,B 051,Mining of hard coal
21,B 052,Mining of lignite
22,B 06,Extraction of crude petroleum and natural gas
23,B 061,Extraction of crude petroleum
24,B 062,Extraction of natural gas
25,B 07,Mining of metal ores
26,B 071,Mining of iron ores
27,B 072,Mining of non-ferrous metal ores
28,B 08,Other mining and quarrying
29,B 081,"Quarrying of stone, sand and clay"
30,B 089,Mining and quarrying n.e.c.
31,B 09,Mining support service activities
32,B 091,Support activities for petroleum and natural gas extraction
33,B 099,Support activities for other mining and quarrying
34,C,MANUFACTURING
35,C 10,Manufacture of food products
36,C 101,Processing and preserving of meat and production of meat products
37,C 102,"Processing and preserving of fish, crustaceans and molluscs"
38,C 103,Processing and preserving of fruit and vegetables
39,C 104,Manufacture of vegetable and animal oils and fats
40,C 105,Manufacture of dairy products
41,C 106,"Manufacture of grain mill products, starches and starch products"
42,C 107,Manufacture of bakery and farinaceous products
43,C 108,Manufacture of other food products
44,C 109,Manufacture of prepared animal feeds
45,C 11,Manufacture of beverages
46,C 110,Manufacture of beverages
47,C 12,Manufacture of tobacco products
48,C 120,Manufacture of tobacco products
49,C 13,Manufacture of textiles
50,C 131,Preparation and spinning of textile fibres
51,C 132,Weaving of textiles
52,C 133,Finishing of textiles
53,C 139,Manufacture of other textiles
54,C 14,Manufacture of wearing apparel
55,C 141,"Manufacture of wearing apparel, except fur apparel"
56,C 142,Manufacture of articles of fur
57,C 143,Manufacture of knitted and crocheted apparel
58,C 15,Manufacture of leather and related products
59,C 151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
60,C 152,Manufacture of footwear
61,C 16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
62,C 161,Sawmilling and planing of wood
63,C 162,"Manufacture of products of wood, cork, straw and plaiting materials"
64,C 17,Manufacture of paper and paper products
65,C 171,"Manufacture of pulp, paper and paperboard"
66,C 172,Manufacture of articles of paper and paperboard
67,C 18,Printing and reproduction of recorded media
68,C 181,Printing and service activities related to printing
69,C 182,Reproduction of recorded media
70,C 19,Manufacture of coke and refined petroleum products
71,C 191,Manufacture of coke oven products
72,C 192,Manufacture of refined petroleum products
73,C 20,Manufacture of chemicals and chemical products
74,C 201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
75,C 202,Manufacture of pesticides and other agrochemical products
76,C 203,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
77,C 204,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
78,C 205,Manufacture of other chemical products
79,C 206,Manufacture of man-made fibres
80,C 21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
81,C 211,Manufacture of basic pharmaceutical products
82,C 212,Manufacture of pharmaceutical preparations
83,C 22,Manufacture of rubber and plastic products
84,C 221,Manufacture of rubber products
85,C 222,Manufacture of plastics products
86,C 23,Manufacture of other non-metallic mineral products
87,C 231,Manufacture of glass and glass products
88,C 232,Manufacture of refractory products
89,C 233,Manufacture of clay building materials
90,C 234,Manufacture of other porcelain and ceramic products
91,C 235,"Manufacture of cement, lime and plaster"
92,C 236,"Manufacture of articles of concrete, cement and plaster"
93,C 237,"Cutting, shaping and finishing of stone"
94,C 239,Manufacture of abrasive products and non-metallic mineral products n.e.c.
95,C 24,Manufacture of basic metals
96,C 241,Manufacture of basic iron and steel and of ferro-alloys
97,C 242,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
98,C 243,Manufacture of other products of first processing of steel
99,C 244,Manufacture of basic precious and other non-ferrous metals
